标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
内六角螺丝套件	材质：不锈钢；头型：内六角；规格：M5*30；套件组成：平垫+弹垫		紧固件/螺丝套件	套	不锈钢内六角螺丝M5*30带平弹垫	C	不锈钢牌号/是否含螺母缺失，会影响螺丝套件SKU区分
内六角螺丝套件	材质：不锈钢；头型：内六角；规格：M5*10；套件组成：平垫+弹垫		紧固件/螺丝套件	套	不锈钢内六角螺丝M5*10带平弹垫	C	不锈钢牌号/是否含螺母缺失，会影响螺丝套件SKU区分
内六角螺丝套件	材质：不锈钢；头型：内六角；规格：M5*16；套件组成：平垫+弹垫		紧固件/螺丝套件	套	不锈钢内六角螺丝M5*16带平弹垫	C	不锈钢牌号/是否含螺母缺失，会影响螺丝套件SKU区分
不锈钢螺母	材质：不锈钢；规格：M5		紧固件/螺母	只	不锈钢M5螺母	C	不锈钢牌号/牙距缺失，会影响螺母SKU区分
不锈钢螺丝套件	材质：不锈钢；规格：M6*20；套件组成：平垫+弹垫		紧固件/螺丝套件	套	不锈钢M6*20螺丝带平弹垫	C	头型/不锈钢牌号/是否含螺母缺失，会影响螺丝套件SKU区分
脱漆剂	类型：脱漆剂		化工耗材/脱漆剂	瓶	脱漆剂	C	品牌/容量缺失，无法稳定区分脱漆剂SKU；SDS需补充用于化学品管理
油布	特征：加厚；尺寸：6m*6m		覆盖材料/油布	块	加厚油布6m*6m	C	材质/克重/防水等级缺失，会影响油布SKU区分
全螺纹丝杆	强度等级：10.9；规格：M12*1m；螺纹形式：全牙		紧固件/螺杆	根	10.9级M12*1m全芽丝杆	C	原称“全芽”按全牙归一；材质/表面处理缺失，会影响丝杆SKU区分
五点式安全带	类型：五点式		安全防护/安全带	副	五点式安全带	C	执行标准/承载等级缺失，会影响安全带SKU区分
螺丝套件	强度等级：8.8；规格：M20*200；套件组成：平垫+弹垫		紧固件/螺丝套件	套	8.8级M20*200螺丝带平 弹垫	C	材质/头型/是否含螺母缺失，会影响螺丝套件SKU区分
镀锌外丝直接	表面：镀锌；连接：外丝；规格：6分；长度：100mm		管件/镀锌管件	只	镀锌外丝直接6分*100mm	C	材质/压力等级缺失，会影响镀锌外丝直接SKU区分
不锈钢双外丝变径接头	材质：304不锈钢；连接：双外丝；规格：2寸/1.5寸		管件/不锈钢管件	只	304不锈钢双外丝变径2寸/1.5寸	C	压力等级缺失，会影响变径接头SKU区分
不锈钢双外丝变径接头	材质：304不锈钢；连接：双外丝；规格：1.5寸/1.2寸		管件/不锈钢管件	只	304不锈钢双外丝变径1.5寸/1.2寸	C	压力等级缺失，会影响变径接头SKU区分
泥浆管接头加工件	定制：是；用途：泥浆管；连接：焊接；管径：Φ168		定制件/管路接头	个	加工焊接泥浆管接头Φ168	C	定制管路接头；材质/壁厚/图纸缺失，会影响加工件SKU区分
轴向压力表	类型：轴向；仪表类型：压力表		仪表/压力仪表	只	轴向压力表	C	量程/接口/表径缺失，无法稳定区分压力表SKU
PVC钢丝软管	材质：PVC；结构：钢丝增强；规格：1寸		管材/塑料软管	米	PVC钢丝软管1寸	C	压力等级/壁厚缺失，会影响PVC钢丝软管SKU区分
卡箍	规格：50；类型：卡箍		管夹/卡箍	只	卡箍50	C	材质/适配管径缺失；规格50含义需确认
镀锌外丝直接	表面：镀锌；连接：外丝；规格：1寸；长度：100mm		管件/镀锌管件	只	镀锌外丝直接1寸*100mm	C	材质/压力等级缺失，会影响镀锌外丝直接SKU区分
镀锌变径接头	表面：镀锌；规格：1寸/6分；类型：大小头/变径		管件/镀锌管件	只	镀锌大小头1寸/6分	C	连接形式/压力等级缺失，会影响镀锌变径接头SKU区分
不锈钢外丝变径接头	材质：304不锈钢；连接：外丝；规格：6分/4分		管件/不锈钢管件	只	304不锈钢外丝变径6分/4分	C	压力等级缺失，会影响变径接头SKU区分
防护罩加工件	定制：是；尺寸：1.2m*2.7m*0.8m		定制件/防护罩	件	加工防护罩1.2米*2.7米*0.8米	C	定制防护罩；材质/图纸/用途缺失，会影响加工件SKU区分
橡胶垫片	材质：橡胶；规格：50		密封件/垫片	个	橡胶垫片50	C	内径/外径/厚度缺失；规格50含义需确认
螺纹锁固胶	品牌：乐泰；型号：243		胶粘剂/螺纹锁固胶	瓶	乐泰243胶水	B	容量/包装单位需确认，按品牌型号先建候选
发泡胶	类型：发泡胶		胶粘剂/发泡胶	瓶	发泡胶	C	品牌/容量/阻燃等级缺失，无法稳定区分发泡胶SKU
