标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
闭门器	品类：闭门器		五金建材/门窗五金	个	闭门器	C	型号、适用门重范围缺失，无法区分闭门器SKU
开关	位数：二位		电气材料/开关	个	二位开关	C	明装/暗装、电流、品牌缺失，无法区分开关SKU
花篮螺栓	规格：14*200		吊装索具/紧固调节	个	14*200花篮	C	开体/闭体形式、材质缺失
钢丝绳	直径：10厘		吊装索具/钢丝绳	米	10厘钢丝绳	C	结构、强度等级缺失，无法区分钢丝绳SKU
钢丝绳夹	规格：10厘		吊装索具/钢丝绳夹	个	10厘卡扣；钢丝绳卡扣	C	由卡扣归一为钢丝绳夹；材质、标准缺失
花篮螺栓	规格：10厘		吊装索具/紧固调节	套	10厘花篮	C	长度、材质、开体/闭体形式缺失
扁平吊装带	额定载荷：5T；长度：6m；执行标准：国标；颜色：彩色		吊装索具/吊带	根	5T*6m国标彩色吊带	B	材质、安全系数缺失
水泵	功率：7500W；扬程：50米		设备备件/泵	台	7500w50米扬程水泵	C	流量、电压、口径、泵类型缺失
耐磨水管	规格：50；特征：加厚、耐磨		管材/水管	米	50加厚耐磨水管	C	材质、压力等级缺失，无法区分水管SKU
接线端子	适配线径：50mm2		电气材料/接线端子	个	50平方接线端子	C	型号、孔径、材质缺失
铝合金抱箍	规格：50；材质：铝合金		管道紧固/抱箍	个	50铝合金抱箍	B	宽度、适配管径缺失
铝合金抱箍	规格：80；材质：铝合金		管道紧固/抱箍	个	80铝合金抱箍	B	宽度、适配管径缺失
管钳	规格：18寸		工具/手动工具	支	18寸管钳	B	品牌、材质缺失
管钳	规格：24寸		工具/手动工具	支	24寸管钳	B	品牌、材质缺失
污水泵	功率：5.5kW；类型：污水泵		设备备件/泵	台	5.5千w污水泵	C	流量、扬程、电压、口径缺失
管卡	规格：100		管道紧固/管卡	个	100管卡	C	材质、表面处理缺失，无法区分管卡SKU
消防接头	规格：100		消防材料/消防接头	个	100连接头；连接头	C	由连接头按消防接头归一；材质、接口标准缺失
消防水带	规格：65；用途：消防		消防材料/消防水带	米	65消防水管；消防水带/水管	C	原名称含水管，按消防水带归一；压力等级、接口形式缺失
消防水带	规格：80；用途：消防		消防材料/消防水带	米	80消防水带	C	压力等级、接口形式缺失
消防接头	规格：65		消防材料/消防接头	个	65连接头；连接头	C	由连接头按消防接头归一；材质、接口标准缺失
消防接头	规格：80		消防材料/消防接头	个	80连接头；连接头	C	由连接头按消防接头归一；材质、接口标准缺失
管卡	规格：65		管道紧固/管卡	个	65管卡	C	材质、表面处理缺失，无法区分管卡SKU
