标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
PVC管	品牌：公元；材质：PVC；直径：Φ110		管材/PVC管	米	公元PVCΦ110管	C	压力等级/壁厚缺失，会影响PVC管SKU区分
PVC直接	品牌：公元；材质：PVC；直径：Φ110；类型：直接		管件/PVC管件	只	公元PVCΦ110直接	C	压力等级/连接方式缺失，会影响PVC直接SKU区分
PVC直接	品牌：公元；材质：PVC；直径：Φ75；类型：直接		管件/PVC管件	只	公元PVCΦ75直接	C	压力等级/连接方式缺失，会影响PVC直接SKU区分
网线对接头	类型：网线对接头		弱电安防/网络配件	只	网线对接头	C	网线类别/屏蔽类型缺失，会影响网线对接头SKU区分
成品网线	长度：30米；配置：两端插头		弱电安防/网络线缆	根	30米网线带两端插头；网线成品线	C	网线类别/屏蔽类型缺失，会影响成品网线SKU区分
铜接线端子	材质：铜；额定电流：100A	俗称：铜鼻子	电气/接线端子	只	100A铜鼻子	C	线径/孔径缺失，会影响铜接线端子SKU区分
不锈钢挂锁	规格：40；材质：不锈钢		五金/锁具	把	40不锈钢挂锁	B	锁梁规格/钥匙通开情况缺失，需后续确认
万向脚轮	类型：万向脚轮		物流搬运/脚轮	只	万向车轮	C	尺寸/载重缺失，无法区分不同万向脚轮SKU
插销	规格：300；类型：插销		五金/门窗五金	套	插销300	C	规格300单位未明确，材质缺失，会影响插销SKU区分
五坑钻头	品牌：博世；柄型：五坑；直径：Φ40；长度：1米		工具/钻头	根	博世五坑钻头Φ40*1米	B	材质/适配设备未明确，需后续确认
空调	品牌：格力；能效等级：1级		行政后勤/空调设备	台	格力1级能效空调	C	匹数/型号/冷暖类型缺失，无法区分不同空调SKU
加厚货架	特征：加厚；尺寸：2m*2m*0.6m		仓储设备/货架	套	加厚货架2m*2m*0.6m	C	层数/承重/材质缺失，会影响货架SKU区分
内丝变径直接	规格：25变20；连接形式：内丝；类型：直接		管件/管路接头	只	25变20内丝直接	C	材质/压力等级缺失，会影响管路接头SKU区分
不锈钢防松螺母	规格：M20；材质：不锈钢；类型：防松螺母		紧固件/螺母	只	M20不锈钢防松螺帽	C	不锈钢牌号/牙距缺失，会影响螺母SKU区分
不锈钢户外箱	材质：不锈钢；适用环境：户外；尺寸：500*600*200		电气/配电箱壳体	个	不锈钢户外箱500*600*200	C	防护等级/板厚缺失，会影响户外箱SKU区分
漏电保护器	品牌：德力西；极数：4P；额定电流：63A		电气/低压电器	只	德力西漏保4P/63A	C	分断能力/漏电动作电流缺失，会影响漏电保护器SKU区分
漏电保护器	品牌：德力西；极数：2P；额定电流：16A		电气/低压电器	只	德力西漏保2P/16A	C	分断能力/漏电动作电流缺失，会影响漏电保护器SKU区分
时控开关	品牌：德力西；类型：时控开关		电气/低压电器	只	德力西时控开关	C	电压/型号缺失，会影响时控开关SKU区分
交流接触器	品牌：施耐德；系列：CJX2；线圈电压：220V		电气/低压电器	只	施耐德cjx2-220V接触器	C	额定电流/型号完整值缺失，会影响交流接触器SKU区分
接线端子	型号：UK5N		电气/接线端子	只	接线端子UK5N	B	额定电流/线径范围未在原表列明，按型号保留
喷火枪	类型：喷火枪		工具/燃气工具	把	喷火枪	C	气源/接口/品牌缺失，无法区分不同喷火枪SKU
不锈钢锁扣	材质：不锈钢；类型：锁扣		五金/锁具配件	套	不锈钢锁扣	C	尺寸/孔距缺失，会影响锁扣SKU区分
不锈钢挂锁	材质：不锈钢；类型：挂锁		五金/锁具	把	不锈钢挂锁	C	规格缺失，无法区分不同不锈钢挂锁SKU
槽钢	规格：6#		钢材/型钢	米	槽钢6#	C	材质/执行标准缺失，会影响槽钢SKU区分
方柱加工件	定制：是；截面：70mm*70mm；长度：1m	加工：是	定制件/金属加工件	根	加工方柱70mm*70mm*1m	C	材质/图纸/用途缺失，定制加工件需复核
方柱加工件	定制：是；截面：70mm*70mm；长度：0.3m	加工：是	定制件/金属加工件	根	加工方柱70mm*70mm*0.3m	C	材质/图纸/用途缺失，定制加工件需复核
航空插头插座套装	安装方式：明装；芯数：3芯；额定电流：16A		电气/插头插座	套	明装航空插头插座3芯/16A	C	电压/防护等级/型号缺失，会影响航空插头插座SKU区分
漏电保护器	品牌：德力西；极数：2P；额定电流：25A		电气/低压电器	只	德力西漏保开关2P/25A	C	分断能力/漏电动作电流缺失，会影响漏电保护器SKU区分
断路器	品牌：德力西；极数：2P；额定电流：10A		电气/低压电器	只	德力西断路器2P/10A	C	分断能力/脱扣曲线缺失，会影响断路器SKU区分
电柜风扇防雨罩组合	用途：电柜；包含：风扇+防雨罩；电压：380V		电气/配电柜散热	个	电柜风扇防雨罩组合380V	C	风扇尺寸/功率/防护等级缺失，会影响组合件SKU区分
温控开关	用途：电柜风扇；颜色：蓝色；类型：温控开关		电气/温控元件	只	电柜风扇温控开关蓝色	C	温控范围/型号缺失，会影响温控开关SKU区分
设备按钮标识贴	用途：设备按钮；类型：标识贴		标签耗材/设备标识	件	设备按钮标示贴	C	标示贴按标识贴归一；材质/尺寸/内容缺失，无法区分标识贴SKU
