标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
内丝直通	规格：80；连接：内丝；类型：直通		管件/管接头	个	80内丝直通	C	材质/螺纹标准缺失，可能影响管接头SKU区分
单头外丝无缝管加工件	加工：是；形态：无缝管；连接：单头外丝		定制件/钢管加工件	个	加工单头外丝无缝管	C	管径/长度/螺纹标准/材质缺失，定制加工件需复核加工要求
内六角螺丝	规格：M6*40；头型：内六角		紧固件/螺丝	套	6*40内六角螺丝；M6*40内六角螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
长销加工件	加工：是；规格：20*340		定制件/金属加工件	件	加工长销20*340	C	材质/热处理/图纸缺失，定制加工件需复核加工要求
螺丝组件	规格：M4*15；成套：是		紧固件/螺丝	套	M4*15螺丝	C	头型/材质/强度等级/套包含内容缺失，可能影响紧固件SKU区分
螺丝组件	规格：M5*15；成套：是		紧固件/螺丝	套	M5*15螺丝	C	头型/材质/强度等级/套包含内容缺失，可能影响紧固件SKU区分
螺丝组件	规格：M6*15；成套：是		紧固件/螺丝	套	M6*15螺丝	C	头型/材质/强度等级/套包含内容缺失，可能影响紧固件SKU区分
螺丝组件	规格：M8*15；成套：是		紧固件/螺丝	套	M8*15螺丝	C	头型/材质/强度等级/套包含内容缺失，可能影响紧固件SKU区分
螺丝组件	规格：M10*15；成套：是		紧固件/螺丝	套	M10*15螺丝	C	头型/材质/强度等级/套包含内容缺失，可能影响紧固件SKU区分
自喷漆	颜色：红色；类型：自喷漆		化工耗材/涂料	支	红色自喷漆	C	容量/品牌缺失，可能影响涂料SKU区分
反光警示带	宽度：10cm；颜色：黄黑；功能：反光		安全防护/警示用品	卷	10cm反光警示带黄黑	C	长度/材质缺失，无法稳定区分警示带SKU
传动皮带	型号：XPL2800		备品备件/传动件	个	XPL2800皮带	B	皮带类型需确认；单位建议条，按原单位先保留
传动皮带	型号：XPL2650		备品备件/传动件	个	XPL2650皮带	B	皮带类型需确认；单位建议条，按原单位先保留
不锈钢双卡抱箍	规格：325；材质：不锈钢；型式：双卡		管道紧固/抱箍	个	325双卡抱箍 不锈钢；325不锈钢双卡抱箍	B	厚度/密封件/压力等级缺失，按规格材质型式先建候选
合成纤维垫块	尺寸：86*65；材质：合成纤维		密封材料/非金属垫块	个	86*65合成纤维垫块	C	厚度/耐温等级缺失，可能影响垫块SKU区分
螺杆	规格：M48*120		紧固件/螺杆	支	48*120螺杆；M48*120螺杆	C	材质/强度等级缺失，可能影响紧固件SKU区分
螺母	规格：M48		紧固件/螺母	个	48螺母；M48螺母	C	原单位为支，螺母建议按个管理；材质/强度等级缺失，可能影响紧固件SKU区分
胶粘剂	品牌：东泰；型号：S1-5910；进口：是		化工耗材/胶粘剂	支	进口东泰s1-5910胶；东泰S1-5910胶粘剂	B	胶种/容量缺失，按品牌型号先建候选
PPR直通	材质：PPR；规格：63；类型：直通		PPR管件/直通	个	63PPR直通	B	压力等级缺失，按材质规格类型先建候选
PPR管	材质：PPR；规格：63		PPR管材/管	米	63PPR管	C	压力等级/壁厚缺失，可能影响PPR管SKU区分
PPR弯头	材质：PPR；规格：63；类型：弯头		PPR管件/弯头	个	63PPR弯头	C	角度/压力等级缺失，可能影响PPR弯头SKU区分
PPR截止阀	材质：PPR；规格：63；类型：截止阀		PPR管件/阀门	个	63PPR截止阀	C	压力等级/连接方式缺失，可能影响阀门SKU区分
PPR外接直通	材质：PPR；规格：63；连接：外接；类型：直通		PPR管件/直通	个	63PPR外接直通	C	螺纹/压力等级缺失，可能影响PPR外接直通SKU区分
手扳葫芦	额定载荷：2T；链长：6米		吊装索具/葫芦	台	2T*6米手扳葫芦	B	品牌/执行标准缺失，按载荷和链长先建候选
重型梅花敲击扳手	规格：36；类型：梅花敲击；特征：重型		工具/手动工具	支	36重型梅花敲击扳手	B	材质/品牌缺失，按规格和类型先建候选
重型梅花敲击扳手	规格：46；类型：梅花敲击；特征：重型		工具/手动工具	支	46重型梅花敲击扳手	B	材质/品牌缺失，按规格和类型先建候选
重型梅花敲击扳手	规格：55；类型：梅花敲击；特征：重型		工具/手动工具	支	55重型梅花敲击扳手	B	材质/品牌缺失，按规格和类型先建候选
帆布手套	材质：帆布；结构：双层		劳保耗材/手套	双	帆布双层手套；双层帆布手套	B	尺码缺失；与同类帆布手套可合并复核
万向套筒	规格：1寸；结构：万向转向		工具/套筒	个	1寸万向转向套筒	C	方榫/适配规格缺失，可能影响套筒SKU区分
膨胀螺丝	规格：M24*150		紧固件/膨胀件	个	24*150膨胀螺丝；M24*150膨胀螺丝	C	材质/类型缺失，可能影响膨胀螺丝SKU区分
雨鞋	品牌：回力；类型：雨鞋		劳保耗材/足部防护	双	回力雨鞋	C	尺码/材质缺失，无法稳定区分雨鞋SKU
平光防护眼镜	颜色：白色；镜片：平光		劳保耗材/眼面防护	个	白色平光眼镜	B	是否防冲击/执行标准缺失，按颜色和镜片类型先建候选
尼龙绳	规格/直径：18；材质：尼龙		吊装索具/绳索	米	18尼龙绳；18尼龙绳子	C	直径单位/承载缺失，可能影响绳索SKU区分
玻璃胶	颜色：白色；类型：玻璃胶		化工耗材/胶粘剂	支	白色玻璃胶	C	容量/品牌/酸性中性缺失，可能影响玻璃胶SKU区分
电子清洗剂	用途：电子元件清洗		清洁耗材/清洗剂	支	电子清洗剂	C	容量/品牌/是否带电清洗缺失，无法稳定区分清洗剂SKU
油布	特征：加厚		劳保耗材/覆盖防护	m2	加厚油布	B	材质/厚度缺失；单位m2/平方米需统一
黄油嘴	螺纹：M10*1.5		润滑配件/黄油嘴	个	10*1.5黄油嘴	C	直/弯型式缺失，可能影响黄油嘴SKU区分
黄油嘴	螺纹：M12*1.5		润滑配件/黄油嘴	个	12*1.5黄油嘴	C	直/弯型式缺失，可能影响黄油嘴SKU区分
黄油嘴	螺纹：M14*1.5		润滑配件/黄油嘴	个	14*1.5黄油嘴	C	直/弯型式缺失，可能影响黄油嘴SKU区分
黄油嘴	螺纹：M16*1.5		润滑配件/黄油嘴	个	16*1.5黄油嘴	C	直/弯型式缺失，可能影响黄油嘴SKU区分
黄油嘴	螺纹：M18*1.5		润滑配件/黄油嘴	个	18*1.5黄油嘴	C	直/弯型式缺失，可能影响黄油嘴SKU区分
黄油嘴	螺纹：M20*1.5		润滑配件/黄油嘴	个	20*1.5黄油嘴	C	直/弯型式缺失，可能影响黄油嘴SKU区分
角钢	规格：3*3*0.4；执行标准：国标		钢材/型材	米	3*3*0.4国标角铁；角铁	C	规格单位需统一，材质缺失，可能影响型材SKU区分
液压内外牙弯头	螺纹/型号：M52*28H；连接：内外牙；类型：弯头		液压/高压管路	个	液压M52*28H内外牙弯头	C	压力等级/角度缺失，可能影响液压弯头SKU区分
高压钢丝管	公称直径：50；结构：钢丝增强		液压/高压管路	米	50高压钢丝管	C	压力等级/层数缺失，可能影响高压钢丝管SKU区分
铜头铝合金夹	规格：50；组成：铜头、铝扣		液压/高压管路	个	铜头铝套组件；50铜头铝扣	B	按同类物料统一名称；连接形式需确认
铁锤	规格：大号；材质：铁		工具/手动工具	个	大铁锤	C	重量/柄材质缺失，“大号”不够精确，无法稳定区分铁锤SKU
橡胶水带	规格：50；材质：橡胶；特征：加厚		管材/水带	米	50加厚橡胶水带	C	压力等级/接口形式缺失，可能影响水带SKU区分
收纳箱	尺寸：85*65；规格：大		行政后勤/收纳用品	个	85*65大收纳箱	C	高度/材质缺失，可能影响收纳箱SKU区分
塑料方凳	材质：塑料；类型：方凳		行政后勤/生活用品	个	塑料方凳	C	尺寸/颜色缺失，无法稳定区分方凳SKU
