标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
高压对丝接头	螺纹：30*2；连接形式：对丝		液压/高压管路	只	高压接头30*2对丝	C	材质/压力等级缺失，可能影响高压接头SKU区分
高压对丝接头	螺纹：36*2；连接形式：对丝		液压/高压管路	只	高压接头36*2对丝	C	材质/压力等级缺失，可能影响高压接头SKU区分
高压对丝接头	螺纹：52*2；连接形式：对丝		液压/高压管路	只	高压接头52*2对丝	C	材质/压力等级缺失，可能影响高压接头SKU区分
O型圈套装	品牌：派克；套装：ABC		密封件/O型圈	盒	派克O型圈套装ABC	C	材质/规格明细/系列缺失，无法唯一确定套装内容
弹性销	规格：M4*28		紧固件/销	只	弹性销M4*28	C	材质/执行标准缺失，可能影响弹性销SKU区分
弹性销	规格：M6*28		紧固件/销	只	弹性销M6*28	C	材质/执行标准缺失，可能影响弹性销SKU区分
T型螺丝套件	螺丝规格：M16*50；套件组成：平垫+弹垫+螺母		紧固件/螺丝套件	套	T型螺丝M16*50平弹帽	C	材质/强度等级缺失，可能影响套件SKU区分
注浆泵连杆压力表	适配设备：注浆泵；部件：连杆压力表；量程：16MPa		注浆设备/配件	件	注浆泵连杆压力表16MPa	C	适配型号/接口/精度缺失，可能影响压力表SKU区分
离心机滤网	定制：是；适配设备：离心机；尺寸：1.4米*0.31米*0.72米		定制件/设备滤网	个	订做离心机滤网1.4米*0.31米*0.72米；定做离心机滤网1.4米*0.31米*0.72米	C	定制件材质/目数/图纸缺失，无法唯一确定滤网SKU
抗盐膨润土	类型：抗盐膨润土		化工原料/膨润土	吨	抗盐膨润土	C	单位T按吨归一；指标/厂家/包装缺失，可能影响SKU区分
T型螺丝套件	螺丝规格：M16*100；套件组成：平垫+弹垫+螺母		紧固件/螺丝套件	套	T型螺丝M16*100平弹帽	C	材质/强度等级缺失，可能影响套件SKU区分
重型高压接头	规格：36*2；类型：重型		液压/高压管路	只	重型高压接头36*2	C	材质/压力等级/连接形式缺失，可能影响接头SKU区分
电磁阀	进口：是；型号：2622200		阀门/电磁阀	只	进口电磁阀2622200	B	品牌/电压/接口/介质缺失，按型号先建候选
重型管夹加工件	加工：是；类型：重型管夹；规格：60		定制件/管夹卡箍	只	加工重型管夹60	C	定制件材质/图纸/安装孔距缺失，无法唯一确定SKU
