标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
带牙铁管加工件	加工：是；规格：80*150；工序：带牙		定制件/钢管加工件	根	加工80*150铁管带牙	C	牙型/图纸缺失，定制加工件需复核加工要求
膨胀螺丝	规格：8*60		五金备件/紧固件	个	8*60膨胀螺丝	C	原始规格未明确是否为M8，材质/表面处理缺失
无缝管	规格：325*12		原材料/钢管	米	325*12无缝管	B	材质/执行标准缺失，按规格和壁厚候选
焊接弯头	规格：325；特征：加厚；连接：焊接		工程材料/管件	个	325加厚焊接弯头	C	角度/材质/壁厚缺失，可能影响管件SKU区分
法兰盘	规格：325；类型：法兰盘		工程材料/管件	个	325法兰盘	C	压力等级/材质/孔距缺失，可能影响法兰SKU区分
法兰胶垫	规格：325；材质：胶		工程材料/密封垫	个	325胶垫	C	厚度/压力等级/材质等级缺失，可能影响密封垫SKU区分
螺丝	规格：22*100		五金备件/紧固件	个	22*100螺丝	C	原始规格未明确是否为M22，材质/强度等级缺失
螺母	规格：22		五金备件/紧固件	个	22螺母	C	原始规格未明确是否为M22，材质/强度等级缺失
不锈钢球阀	品牌：埃美柯；规格：80；材质：不锈钢；特征：厚		工程材料/阀门	个	埃美柯80不锈钢厚球阀	B	压力等级缺失，按品牌/规格/材质/特征先建候选
鸭嘴吊具	额定载荷：20T；类型：鸭嘴吊具		吊装索具/吊具	个	20T鸭嘴吊具	B	执行标准/开口尺寸缺失
油布	类型：油布		建筑材料/防护覆盖	平方	油布	C	厚度/材质缺失，无法稳定区分油布SKU
鞋垫	类型：鞋垫		劳保耗材/足部防护	双	鞋垫	C	尺码/材质缺失，无法稳定区分鞋垫SKU
无缝管加工件	加工：是；规格：325*12；长度：12米		定制件/钢管加工件	根	加工325*12无缝管加工12米	C	材质/图纸/端部处理缺失，定制加工件需复核加工要求
卡簧	规格：40；类型：卡簧		五金备件/紧固件	个	40卡簧	C	内卡簧/外卡簧类型缺失，可能影响SKU区分
螺丝	规格：16*160		五金备件/紧固件	个	16*160螺丝	C	原始规格未明确是否为M16，材质/强度等级缺失
不锈钢骑马卡	规格：40；材质：不锈钢		五金备件/管道紧固	个	40不锈钢骑马卡	B	规格40的适配管径/厚度需确认
膨胀螺丝	规格：6厘		五金备件/紧固件	个	6厘膨胀螺丝	C	长度/材质缺失，6厘不足以唯一确定膨胀螺丝SKU
卡槽弯头	定制：是；规格：168；特征：加长、带卡槽		定制件/管路接头	个	定做加长168弯头带卡槽	C	图纸/角度/材质缺失，定制管路接头需复核加工要求
卡槽弯头	定制：是；规格：219；特征：加长、带卡槽		定制件/管路接头	个	定做加长219弯头带卡槽	C	图纸/角度/材质缺失，定制管路接头需复核加工要求
扁平吊装带	执行标准：国标；额定载荷：3T；长度：3米	颜色：彩色	吊装索具/吊带	付	国标彩色3T*3米吊带	B	宽度/材质/安全系数缺失
扁平吊装带	执行标准：国标；额定载荷：5T；长度：6米	颜色：彩色	吊装索具/吊带	付	国标彩色5T*6米吊带	B	宽度/材质/安全系数缺失
弓形卸扣	额定载荷：6.5T；型式：弓形		吊装索具/卸扣	个	6.5T弓形卸扣	B	销轴形式/执行标准缺失
弓形卸扣	额定载荷：4.75T；型式：弓形		吊装索具/卸扣	个	4.75T弓形卸扣	B	销轴形式/执行标准缺失
集装袋	载重：1.5T		包装材料/集装袋	个	1.5T吨袋；吨袋	C	尺寸/吊带形式/是否覆膜缺失，可能影响集装袋SKU区分
无缝钢管	外径：48mm；壁厚：4.0mm		钢材/钢管	米	48*4.0无缝管	B	材质/执行标准缺失，按外径和壁厚先建候选
防锈润滑剂	品牌/型号：WD-40		化工耗材/润滑剂	瓶	WD40润滑剂	C	容量规格缺失，WD-40不足以唯一确定瓶装SKU
弓形卸扣	额定载荷：9.5T；型式：弓形		吊装索具/卸扣	个	9.5T弓形卸扣	B	销轴形式/执行标准缺失
敲击螺丝刀	长度：400mm		工具/手动工具	个	400敲击螺丝刀	C	一字/十字类型和刀杆规格缺失，长度不足以唯一确定SKU
接地线	品牌：起帆；截面积：16mm2；用途：接地		电气材料/电线电缆	米	起帆16平方地线	C	导体材质/芯数/颜色缺失，可能影响电线SKU区分
DT铜鼻子	型号：DT；适配线径：150mm2；材质：铜		电气材料/电缆附件	个	DT150平方铜鼻子	B	孔径/是否镀锡缺失
DT铜鼻子	型号：DT；适配线径：120mm2；材质：铜		电气材料/电缆附件	个	DT120平方铜鼻子	B	孔径/是否镀锡缺失
DT铜鼻子	型号：DT；适配线径：95mm2；材质：铜		电气材料/电缆附件	个	DT95平方铜鼻子	B	孔径/是否镀锡缺失
