标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
滚筒刷	规格：150		工具器具/涂装工具	支	150滚筒	B	原规格未明确单位，按原规格保留；材质缺失
滚筒刷	规格：250		工具器具/涂装工具	支	250滚筒	B	原规格未明确单位，按原规格保留；材质缺失
伸缩加长杆	类型：伸缩加长杆		工具器具/涂装工具	支	伸缩加长杆	C	长度范围/接口规格缺失，无法区分伸缩加长杆SKU
六角螺丝	规格：10*40；类型：六角		五金备件/紧固件	套	10*40六角螺丝	C	原始规格未明确是否为M10；强度等级/材质缺失，可能影响紧固件SKU区分
美纹纸	颜色：黄色；宽度：5cm		化工耗材/胶粘带	米	黄色美纹纸5CM；黄色美纹纸5cm	B	按米计量保留宽度和颜色；品牌/厚度未说明
膨胀螺丝	规格：10*70；类型：膨胀螺丝		五金备件/紧固件	个	10*70爆炸螺丝；爆炸螺丝	C	材质/表面处理缺失，可能影响膨胀螺丝SKU区分
外墙漆	品牌：立邦；用途：外墙		化工耗材/涂料	桶	立邦外墙漆	C	颜色/包装重量/型号缺失，无法区分外墙漆SKU
方钢	规格：30*30*3		原材料/型钢	米	30*30*3方钢	C	材质牌号/执行标准缺失，可能影响型钢SKU区分
地坪漆底漆	品牌/系列：好地坪漆；类型：底漆；包装：20KG		化工耗材/涂料	桶	好地坪漆底漆20KG	B	颜色/配套体系需确认，按品牌系列、底漆和包装候选
注浆机活塞	定制：是；适用设备：注浆机；类型：活塞		定制件/设备备件	套	定做注浆机活塞	C	定制件图纸/材质/密封结构缺失，需按设备备件复核
自喷漆	品牌：三和；颜色：翠绿色；类型：自喷漆		化工耗材/涂料	支	三和喷漆翠绿色	C	容量缺失，可能影响自喷漆SKU区分；单位按原“支”保留
自喷漆	颜色：中黄；类型：自喷漆		化工耗材/涂料	支	中黄色喷漆	C	品牌/容量缺失，无法区分自喷漆SKU
金刚磨片	类型：金刚磨片		工具器具/磨切耗材	个	金刚磨片	C	规格/粒度/用途缺失，无法区分金刚磨片SKU
UPVC给水管	品牌：公元；规格：32；材质：UPVC；用途：给水		工程材料/UPVC管件	米	公元32UPVC给水管	A	
UPVC三通	品牌：公元；规格：32；材质：UPVC；类型：三通		工程材料/UPVC管件	个	公元三通32	A	
UPVC直通	规格：32；材质：UPVC；类型：直通		工程材料/UPVC管件	个	32直通	B	品牌未说明，按UPVC直通规格候选
UPVC斜三通	规格：32；材质：UPVC；类型：斜三通		工程材料/UPVC管件	个	32斜三通	B	品牌未说明，按UPVC斜三通规格候选
管卡	规格：32；类型：管卡		工程材料/管道紧固	个	32管卡	C	材质/适配管材缺失，无法区分管卡SKU
UPVC异径接头	规格：32*25；材质：UPVC；类型：大小头/异径		工程材料/UPVC管件	个	32*25大小头	A	
UPVC弯头	规格：32；材质：UPVC；类型：弯头		工程材料/UPVC管件	个	32弯头	C	角度缺失，可能影响UPVC弯头SKU区分
UPVC45度弯头	规格：32；材质：UPVC；角度：45度		工程材料/UPVC管件	个	32*45弯头	A	
立式排污泵	功率：2.2kW；安装：立式；类型：排污泵		设备/泵类设备	台	2.2千瓦立式排污泵	C	流量/扬程/电压缺失，无法区分排污泵SKU
PPR阀门	品牌：公元；规格：90；材质：PPR；类型：阀门		工程材料/PPR管件	个	公元90PPR阀门	A	
编织袋	类型：编织袋		包装材料/编织袋	个	编织袋	C	规格/承重缺失，无法区分编织袋SKU
高帮劳保鞋	特征：进口、高帮		劳保耗材/足部防护	双	进口高帮劳保鞋	C	尺码/防护标准缺失，无法区分劳保鞋SKU
床垫	类型：床垫		行政后勤/生活用品	个	床垫	C	尺寸/材质缺失，无法区分床垫SKU
被子	类型：被子		行政后勤/生活用品	个	被子	C	尺寸/重量缺失，无法区分被子SKU
枕头	类型：枕头		行政后勤/生活用品	个	枕头	C	规格/材质缺失，无法区分枕头SKU
床品四件套	类型：四件套		行政后勤/生活用品	套	四件套	C	尺寸/材质缺失，无法区分床品四件套SKU
环卫夹	类型：环卫夹		劳保耗材/清洁工具	个	环卫夹	C	规格/长度缺失，无法区分环卫夹SKU
镀锌堵头	规格：25；表面：镀锌；类型：堵头		工程材料/管件	个	25镀锌堵头	C	材质/螺纹规格缺失，可能影响堵头SKU区分
冲击钻头	品牌：方大同；规格：18*800		工具器具/工具配件	支	方大同18*800冲击钻头	B	柄型缺失，按品牌和规格候选
高压变径接头	定制：是；规格：36*3+36；类型：变头		定制件/液压接头	个	定做36*3+36高压变头	C	定制件图纸/螺纹/压力等级缺失，需按液压接头复核
吊带	载荷：5T；长度：8米		吊装索具/吊带	付	5T*8米吊带	A	
生料带	类型：生料带		工程材料/水暖五金	个	生料带	C	宽度/长度/厚度缺失，无法区分生料带SKU
高压外丝变径接头	定制：是；规格：M36变1寸；连接：外丝		定制件/液压接头	个	定做M36变1寸高压外丝	C	定制件图纸/压力等级/螺纹制式缺失，需按液压接头复核
地线	品牌：起帆；截面积：6平方；用途：地线		电气材料/电线电缆	米	6平方起帆地线	B	颜色/线型缺失，按品牌、截面积和用途候选
洗衣机进水管	长度：2米；用途：洗衣机		工程材料/水暖五金	条	2米洗衣机管	B	接口规格缺失，按洗衣机进水管长度候选
五坑钻头	品牌：方大同；规格：40*1200；柄型：五坑		工具器具/工具配件	个	方大同40*1200五孔钻头	A	
五孔插座	品牌：公牛；类型：五孔插座		电气材料/插头插座	个	公牛五孔插座	B	额定电流/明装或暗装未说明，按品牌和类型候选
PPR管	品牌：公元；规格：25；材质：PPR		工程材料/PPR管件	米	公元25PPR管	A	
PPR接头	品牌：公元；规格：25；材质：PPR		工程材料/PPR管件	个	公元25PPR接头	C	接头形式缺失，无法区分PPR接头SKU
