标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
螺丝	规格：12*40		五金备件/紧固件	套	12*40螺丝	C	原规格未明确是否为M12；材质/强度等级缺失，可能影响紧固件SKU区分
无缝管	规格：68*6		原材料/钢管	米	68*6无缝管	C	材质/执行标准缺失，可能影响无缝管SKU区分
纱布	包装：大包		劳保耗材/急救用品	包	纱布大包	C	尺寸/卷数或片数缺失，无法区分纱布SKU
雨衣	特征：加厚		劳保耗材/雨具	套	加厚雨衣	C	尺码/材质缺失，可能影响雨衣SKU区分
电池	规格：7号		电气材料/电池	个	7号电池	A	
漏电断路器	品牌：施耐德；极数：2P；电流：63A		电气材料/低压电器	个	施耐德2P63A漏保；施耐德2P63a漏电保护开关	B	型号/漏电动作电流缺失，按品牌、极数和电流先建候选
钢丝绳铝扣	材质：铝；用途：钢丝绳扣压		吊装索具/钢丝绳配件	个	钢丝绳铝扣	C	适配钢丝绳直径缺失，无法区分铝扣SKU
角钢	规格：40*40*5；标准：国标		原材料/型钢	米	40*40*5国标角铁	C	材质牌号缺失，可能影响型钢SKU区分
花纹钢板	厚度：3.0		原材料/钢板	平方	3.0花纹钢板	C	材质/长宽规格缺失，可能影响花纹钢板SKU区分
电线	品牌：起帆；截面积：1.5平方		电气材料/电线电缆	米	起帆1.5平方电线	C	线型/颜色缺失，无法区分电线SKU
除甲醛机	用途：办公室；功能：除甲醛		行政后勤/办公设备	个	办公室除甲醛机	C	型号/适用面积缺失，无法区分除甲醛机SKU
焊接异径接头	规格：159*89；连接：焊接；类型：大小头		工程材料/管件	个	焊接159*89大小头	C	材质/壁厚缺失，可能影响焊接异径接头SKU区分
钢管抱箍	加工：是；规格：159；适用：钢管		定制件/管路接头	个	159加工钢管抱箍	C	定制件图纸/材质/厚度缺失，无法唯一确定抱箍SKU
钢管抱箍	加工：是；规格：89；适用：钢管		定制件/管路接头	个	加工89钢管抱箍	C	定制件图纸/材质/厚度缺失，无法唯一确定抱箍SKU
带牙钢管加工件	加工：是；规格：89；工序：带牙		定制件/管路接头	个	加工89钢管带牙	C	牙型/长度/图纸缺失，无法唯一确定钢管加工件SKU
不锈钢球阀	品牌：埃美柯；规格：80；材质：不锈钢；特征：加厚		工程材料/阀门	个	埃美柯80加厚不锈钢球阀	A	
电焊帽	用途：电焊	品质描述：好	劳保耗材/眼面防护	个	好电焊帽	C	防护等级/型号缺失，无法区分电焊帽SKU；“好”按品质描述保留
铝合金窗	定制：是；材质：铝合金		定制件/门窗制品	套	定做铝合金窗	C	定制件尺寸/玻璃规格缺失，无法唯一确定铝合金窗SKU
不锈钢窗护栏	定制：是；材质：不锈钢；用途：窗护栏		定制件/门窗制品	套	不锈钢窗护栏	C	定制件尺寸/图纸缺失，无法唯一确定窗护栏SKU
铜接线端子	截面积：4平方；材质：铜		电气材料/接线端子	个	4平方铜接线端子	C	端子形式缺失，无法区分铜接线端子SKU
铜接线端子	截面积：6平方；材质：铜		电气材料/接线端子	个	6平方铜接线端子	C	端子形式缺失，无法区分铜接线端子SKU
端子压线钳	适用：接线端子；类型：压钳		工具器具/电工工具	个	接线端子压钳	C	压接范围缺失，无法区分端子压线钳SKU
单向阀	品牌：埃美柯；规格：80；类型：单向阀		工程材料/阀门	个	埃美柯80单向阀	C	材质/压力等级/连接形式缺失，可能影响单向阀SKU区分
带牙钢管加工件	加工：是；规格：80；工序：带牙		定制件/管路接头	个	加工80钢管带牙	C	牙型/长度/图纸缺失，无法唯一确定钢管加工件SKU
槽钢	规格：10#；特征：厚		原材料/型钢	米	10#厚槽钢	C	材质牌号/执行标准缺失，且“厚”缺少具体厚度
橡胶板	厚度：2cm		原材料/橡胶材料	kg	2cm橡胶板	C	材质/宽度缺失，可能影响橡胶板SKU区分
屏蔽信号电缆	规格：3*1.5；类型：信号屏蔽		电气材料/电线电缆	米	3*1.5信号屏蔽电缆线	C	屏蔽形式/品牌缺失，可能影响电缆SKU区分
吊带	载荷：20T；长度：6米	原名含“好”	吊装索具/吊带	条	20T*6米吊带好	B	“好”是否为等级描述需确认；执行标准缺失
管片强力胶	用途：管片；类型：强力胶		化工耗材/胶粘剂	桶	管片强力胶水	C	品牌/包装/固化体系缺失，无法区分胶粘剂SKU
焊接弯头	规格：89；连接：焊接		工程材料/管件	个	89焊接弯头	C	材质/角度/壁厚缺失，可能影响焊接弯头SKU区分
焊接弯头	规格：168；连接：焊接		工程材料/管件	个	168焊接弯头	C	材质/角度/壁厚缺失，可能影响焊接弯头SKU区分
双快水泥	类型：双快		建筑材料/水泥砂石	包	双快水泥	B	包装重量缺失，按双快水泥先建候选
雨棚	尺寸：4*4米；特征：加厚	定制：是	定制件/遮雨棚	个	加厚4*4米雨棚	C	定制件材质/结构缺失，无法唯一确定雨棚SKU
镀锌铁皮	厚度：1.2；表面：镀锌		原材料/板材	米	1.2镀锌铁皮	C	宽度/材质缺失，可能影响镀锌铁皮SKU区分
防火棉	特性：阻燃；类型：防火棉		建筑材料/保温防火材料	平方	阻燃防火棉	C	厚度/防火等级缺失，无法区分防火棉SKU
玛氏漏斗粘度计	材质：不锈钢；类型：玛氏漏斗粘度计		工具器具/检测仪器	个	不锈钢玛氏漏斗粘度计	B	量程/执行标准缺失，按不锈钢玛氏漏斗粘度计候选
