标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
定制接头	加工：是；规格：50*150		定制件/管路接头	个	加工50*150接头	C	材质/连接方式/图纸缺失，定制接头需复核加工要求
液压快速接头	型号：GR6-25S；类型：快速接头		液压/高压管路	套	GR6-25S液压快速接头	B	压力等级/螺纹接口缺失，按型号先建候选
减速带	尺寸：60cm*55；款式：大二线		安全防护/交通设施	根	60cm*55减速带大二线	C	尺寸中55未标单位，材质/厚度缺失，可能影响减速带SKU区分
高压接头	型号/规格：36/25S		液压/高压管路	个	36/25s高压接头	C	螺纹/压力等级/连接形式缺失，可能影响液压接头SKU区分
高压接头	型号/规格：33/25S		液压/高压管路	个	33/25s高压接头	C	螺纹/压力等级/连接形式缺失，可能影响液压接头SKU区分
高压接头	型号/规格：36/28S		液压/高压管路	个	36/28s高压接头	C	螺纹/压力等级/连接形式缺失，可能影响液压接头SKU区分
高压弯头	型号/规格：36*2S；类型：弯头		液压/高压管路	个	36*2s高压弯头	C	角度/螺纹/压力等级缺失，可能影响液压弯头SKU区分
法兰电动蝶阀	公称直径：DN50；连接：法兰；驱动：电动		阀门/电动阀门	个	50法兰电动蝶阀	C	电压/压力等级/材质缺失，可能影响电动蝶阀SKU区分
法兰电动蝶阀	公称直径：DN80；连接：法兰；驱动：电动		阀门/电动阀门	个	80法兰电动蝶阀	C	电压/压力等级/材质缺失，可能影响电动蝶阀SKU区分
波纹管	公称直径：20		管材/波纹管	米	20波纹管	C	材质/用途/耐压缺失，可能影响波纹管SKU区分
防锈润滑剂	品牌/型号：WD-40；功能：除锈润滑		化工耗材/润滑剂	支	WD40除锈润滑剂	C	容量规格缺失，WD-40不足以唯一确定支装SKU
管钳	长度：300mm		工具/手动工具	个	300管钳	B	品牌/材质缺失，按长度先建候选
管钳	长度：350mm		工具/手动工具	个	350管钳	B	品牌/材质缺失，按长度先建候选
管钳	长度：400mm		工具/手动工具	个	400管钳	B	品牌/材质缺失，按长度先建候选
内六角扳手套装	品牌：世达；类型：六角扳手套装		工具/手动工具	套	世达六角扳手	C	规格范围/型号缺失，无法唯一确定扳手套装SKU
气动电磁阀	类型：电磁阀；用途：气动		气动元件/阀	个	气动电磁阀	C	电压/口径/位通数/型号缺失，无法唯一确定气动电磁阀SKU
气源处理双联件	型号系列：AFC；类型：双联件		气动元件/气源处理	个	AFC双联件	C	口径/完整规格型号缺失，无法唯一确定双联件SKU
电线	品牌：起帆；截面积：16mm2		电气材料/电线电缆	米	16㎡起帆电线；起帆16平方电线	C	芯数/颜色/导体材质缺失，可能影响电线SKU区分
花纹钢板	厚度：5mm；表面：花纹		钢材/板材	平方	5mm花纹钢板	C	材质/宽长规格缺失，可能影响花纹钢板SKU区分
高强度螺丝	规格：M5*95；强度等级：12.9		紧固件/螺丝	套	M5*95 12.9螺丝	C	头型/材质/是否含螺母垫片需确认
开口/梅花扳手	规格：42号		工具/手动工具	支	42号扳手	C	扳手类型为开口、梅花或两用不明确
开口/梅花扳手	规格：12号		工具/手动工具	支	12号扳手	C	扳手类型为开口、梅花或两用不明确
开口/梅花扳手	规格：19号		工具/手动工具	支	19号扳手	C	扳手类型为开口、梅花或两用不明确
电动扳手套筒	规格：12号；适用：电动扳手		工具/套筒	支	12号电动扳手套筒	B	方榫规格/长度缺失
电动扳手套筒	规格：42号；适用：电动扳手		工具/套筒	个	42号电动扳手套筒	B	方榫规格/长度缺失
扁平吊装带	额定载荷：5T；长度：8米；颜色：彩色		吊装索具/吊带	根	5T*8米彩色吊带	B	材质/安全系数缺失
螺纹钢筋	直径：22mm		钢材/钢筋	条	22钢筋	C	材质/长度/执行标准缺失，可能影响钢筋SKU区分
卸扣	额定载荷：2T		吊装索具/卸扣	个	2T卸扣	B	型式/销轴形式缺失
卸扣	额定载荷：4T		吊装索具/卸扣	个	4T卸扣	B	型式/销轴形式缺失
卸扣	额定载荷：6T		吊装索具/卸扣	个	6T卸扣	B	型式/销轴形式缺失
木方垫	加工：是；规格：100*100		定制件/木制加工件	米	加工100*100木方垫	C	长度/木材种类/用途缺失，定制木制加工件需复核
润滑脂	俗称：黄油		化工耗材/润滑脂	桶	黄油	C	型号/稠度/包装重量缺失，无法唯一确定润滑脂SKU
防锈润滑剂	品牌/型号：WD-40；功能：除锈		化工耗材/润滑剂	支	WD-40除锈剂	C	容量规格缺失，WD-40不足以唯一确定支装SKU
电缆线	芯数：3；截面积：1.5mm2		电气材料/电线电缆	米	3*1.5电缆线	C	护套类型/导体材质/电压等级缺失，可能影响电缆SKU区分
活动扳手	长度：450mm		工具/手动工具	支	450活动扳手	B	品牌/材质缺失，按长度先建候选
高压外丝接头	螺纹：M36*2A；类型：外丝		液压/高压管路	个	M36*2A高压外丝	C	压力等级/适配管径缺失，可能影响液压接头SKU区分
吸油棉	用途：吸油		清洁耗材/吸附材料	张	吸油棉	C	尺寸/克重缺失，无法唯一确定吸油棉SKU
螺丝取出器	类型：螺丝取出器		工具/拆卸工具	套	螺丝取出器	C	规格范围/件数缺失，无法唯一确定套装SKU
