标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
彩条布	宽度：4米		建筑材料/防护覆盖	平方	4米彩条布	B	克重/材质缺失，需确认是否影响同宽度SKU
止水蝴蝶扣	规格：16*600		建筑材料/止水紧固	套	16*600止水蝴蝶扣	B	材质/配套螺杆信息缺失
螺母	规格：16		五金备件/紧固件	个	16螺母	B	原规格未明确是否为M16，材质缺失
加长套筒	规格：18*200；特征：加长		工具器具/手动工具	个	18*200加长套筒	B	驱动方孔规格缺失
顶托	规格：38*600；特征：厚		建筑材料/脚手架配件	套	38*600厚顶托	B	材质/表面处理缺失
中砂	类型：中砂		建筑材料/水泥砂石	包	中沙	C	标准单位为包但每包重量缺失，含泥量未明确
垃圾桶	规格：大号		劳保耗材/清洁工具	个	大垃圾桶	C	容量/材质缺失，仅“大号”无法稳定区分SKU
编织袋	规格：大号		包装材料/编织袋	个	大编织袋；大号编织袋	C	尺寸/承重缺失，仅“大号”无法稳定区分SKU
调和漆	类型：调和漆；颜色：黑色		化工耗材/涂料	桶	黑色调和漆	C	包装容量/品牌缺失，需确认是否影响SKU
LED浴室灯	功率：50W；类型：浴室灯		电气材料/照明	个	50WLED浴室灯	B	防水等级/色温缺失
彩钢瓦	规格：1*0.84		建筑材料/板材	米	1*0.84彩钢瓦	C	厚度/颜色缺失，规格维度含义未完全明确
彩钢瓦	规格：1.6*0.84		建筑材料/板材	米	1.6*0.84彩钢瓦	C	厚度/颜色缺失，规格维度含义未完全明确
止水针头	长度：10cm		工程材料/堵漏注浆材料	个	止水针头10CM	C	直径/材质缺失
止水针头	长度：15cm		工程材料/堵漏注浆材料	个	止水针头15CM	C	直径/材质缺失
聚氨酯堵漏剂	材质：聚氨酯；类型：油性		化工耗材/堵漏材料	KG	油性聚氨酯堵漏剂	B	品牌/包装缺失，需确认是否影响SKU
聚氨酯堵漏剂	材质：聚氨酯；类型：水性		化工耗材/堵漏材料	KG	水性聚氨酯堵漏剂	B	品牌/包装缺失，需确认是否影响SKU
长螺杆	规格：14*200；类型：长螺杆		五金备件/紧固件	套	14*200长螺杆	B	原规格未明确是否为M14，材质缺失
防火涂层测厚仪	用途：防火涂层测厚		工具器具/检测仪器	台	防火涂层测厚仪	C	量程/精度/品牌缺失，无法稳定区分型号
网线防水对接头	特征：防水；用途：网络对接		电气材料/弱电材料	个	防水网络对接头；防水网线对接头	C	接口规格/IP等级缺失
钢丝绳夹头	规格：M10		吊装索具/钢丝绳配件	个	M10钢丝绳夹头	B	适配钢丝绳直径/材质缺失
编织袋	规格：小号		包装材料/编织袋	个	小编织袋	C	尺寸/承重缺失，仅“小号”无法稳定区分SKU
防坠安全网	定制：是；用途：防坠		定制件/安全防护	平方	定做防坠安全网	C	定制件，网孔/材质/执行标准缺失
橡胶支座	定制：是；材质：橡胶；类型：支座		定制件/橡胶件	个	定做橡胶支座	C	定制件，图纸/尺寸/硬度缺失
电子血压计	品牌：鱼跃；类型：电子血压计		劳保耗材/急救用品	台	鱼跃电子血压计	C	型号缺失，需按型号区分SKU
