标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
环形钢丝绳	定制：是；结构：环形；直径：40mm；长度：1.5m		定制件/吊装索具	个	订做环形钢丝绳40mm*1.5m	C	定制吊装件；安全载荷/压制方式缺失，会影响钢丝绳成品SKU区分
弓形卸扣	结构：美式弓形；强度：高强度；额定载荷：17T		吊装索具/卸扣	只	美式高强度弓形卸扣17T	C	材质/执行标准/销轴形式缺失，会影响卸扣SKU区分
手动液压叉车	品牌：诺力；类型：手动液压；额定载荷：2T		物流搬运/叉车	台	诺力手动液压叉车2T	C	货叉长度/升高高度缺失，会影响手动液压叉车SKU区分
垃圾桶	容量：120L		行政后勤/清洁用品	个	垃圾桶120L	C	材质/颜色缺失，会影响垃圾桶SKU区分
电流表	品牌：人民；型号：6L2；变比：600/5A		仪表/电气仪表	只	人民电流表6L2-600/5A	C	精度/安装尺寸缺失，会影响电流表SKU区分
电缆	品牌：起帆；规格：3*2.5		电气/电线电缆	米	起帆电缆3*2.5	C	电缆型号/电压等级缺失，会影响电缆SKU区分
电缆	品牌：起帆；规格：3*6+2*2.5		电气/电线电缆	米	起帆电缆3*6+2*2.5	C	电缆型号/护套材质缺失，会影响电缆SKU区分
浸胶手套	类型：浸胶手套		劳保耗材/手套	付	浸胶手套	C	材质/尺码/涂层类型缺失，无法稳定区分浸胶手套SKU
螺丝套件	强度等级：8.8；规格：M10*80；套件组成：平垫+弹垫		紧固件/螺丝套件	套	8.8级M10*80螺丝带平 弹垫	C	材质/头型/是否含螺母缺失，会影响螺丝套件SKU区分
电线扎丝	用途：电线绑扎		电气耗材/绑扎耗材	卷	电线扎丝	C	材质/长度缺失，无法稳定区分电线扎丝SKU
泡沫棉双面胶	品牌：3M；宽度：10mm；基材：泡沫棉		胶带/工业胶带	卷	10mm宽泡沫棉双面胶3M	C	长度/型号缺失，会影响泡沫棉双面胶SKU区分
氧气乙炔管	介质：氧气+乙炔；类型：软管		焊接工具/气体软管	卷	氧气 乙炔管	C	内径/长度/压力等级缺失，会影响氧气乙炔管SKU区分
割枪	型号：100型；长度：长款		焊接工具/气割工具	把	割枪100型长款	C	适用气体/品牌缺失，会影响割枪SKU区分
三脚插头	品牌：公牛；极数：三脚；电压：220V；额定电流：10A		电气/插头插座	只	公牛三脚插头220V/10A	A	
氧气减压表	介质：氧气；类型：减压表		焊接工具/气体仪表	只	氧气减压表	C	量程/接口缺失，会影响氧气减压表SKU区分
乙炔减压表	介质：乙炔；类型：减压表		焊接工具/气体仪表	只	乙炔减压表	C	量程/接口缺失，会影响乙炔减压表SKU区分
除锈剂	品牌：WD40；容量：350mL		化工耗材/除锈润滑剂	瓶	WD40除锈剂350ML	B	型号/SDS未明，按品牌和容量先建候选
堵漏王	类型：堵漏王		建材/堵漏材料	袋	堵漏王	C	品牌/包装重量/性能缺失，无法稳定区分堵漏王SKU
镀锌外丝直接	表面：镀锌；连接：外丝；规格：3寸；类型：直接		管件/镀锌管件	只	镀锌外丝直接头3寸	C	材质/压力等级缺失，会影响镀锌外丝直接SKU区分
镀锌外丝直接	表面：镀锌；连接：外丝；规格：2寸；类型：直接		管件/镀锌管件	只	镀锌外丝直接头2寸；镀锌外丝直接2寸	C	材质/压力等级缺失，会影响镀锌外丝直接SKU区分
镀锌内丝直接	表面：镀锌；连接：内丝；规格：3寸；类型：直接		管件/镀锌管件	只	镀锌内丝直接头3寸	C	材质/压力等级缺失，会影响镀锌内丝直接SKU区分
镀锌内丝直接	表面：镀锌；连接：内丝；规格：2寸；类型：直接		管件/镀锌管件	只	镀锌内丝直接头2寸；镀锌内丝直接2寸	C	材质/压力等级缺失，会影响镀锌内丝直接SKU区分
不锈钢法兰蝶阀	材质：304；连接：法兰式；公称通径：DN150		阀门/蝶阀	只	304法兰式蝶阀DN150	C	压力等级/密封材质缺失，会影响蝶阀SKU区分
方木	截面：30*30；长度：3.6m		建筑材料/木材	根	方木30*30*3.6m	C	截面单位未明；木材材质/等级缺失，会影响方木SKU区分
锂电手电钻套装	品牌：东成；供电：锂电；配置：二电一充		电动工具/手电钻	台	东成锂电手电钻二电一充	C	电压/夹头规格/型号缺失，会影响手电钻套装SKU区分
焊工眼镜	用途：电焊防护		劳保耗材/眼面防护	付	电焊眼镜	C	遮光号缺失，无法稳定区分焊工眼镜SKU
镀锌平垫	表面：镀锌；规格：M8；类型：平垫		紧固件/垫圈	只	镀锌平垫m8	B	外径/厚度/执行标准缺失，按M8镀锌平垫先建候选
开口销	规格：M3*60；类型：开口销		紧固件/销	只	开口销m3*60	B	材质/执行标准缺失，按规格先建候选
加厚周转箱	特征：加厚；尺寸：570*420*155		容器/周转箱	个	加厚周转箱570*420*155	C	材质/颜色缺失，会影响周转箱SKU区分
对讲机	品牌：小米；代际：二代		通信设备/对讲机	部	小米二代对讲机	B	频段/型号缺失，按品牌和代际先建候选
