标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
橡胶平板输送带	材质：橡胶；宽度：1m；厚度：10mm		输送设备/输送带	件	橡胶平板输送带1m*10mm	C	长度/层数/强度等级缺失，会影响输送带SKU区分
铲刀	类型：铲刀		工具/手动工具	把	铲刀	C	宽度/材质缺失，无法区分铲刀SKU
漆刷	规格：3寸	用途：涂漆	涂装工具/刷子	把	漆刷3寸	B	刷毛材质未明确，可能与羊毛刷等同类需确认
油漆	品牌：立邦；颜色：中黄；包装：18KG		油漆涂料/油漆	桶	立邦中黄油漆18KG	C	油漆类型/型号/SDS缺失，会影响油漆SKU区分
不锈钢挂锁	规格：40；材质：不锈钢；类型：通用挂锁		五金/锁具	把	40不锈钢通用挂锁	B	锁梁规格/钥匙通开情况缺失，需后续确认
自喷漆	颜色：白色		油漆涂料/自喷漆	瓶	白色自喷漆	C	品牌/容量/色号缺失，会影响自喷漆SKU区分
自喷漆	颜色：中灰色		油漆涂料/自喷漆	瓶	中灰色自喷漆	C	品牌/容量/色号缺失，会影响自喷漆SKU区分
彩条布	类型：彩条布		覆盖材料/彩条布	㎡	彩条布	C	宽度/克重缺失，会影响彩条布SKU区分
锂电角磨机套装	品牌：东成；供电：锂电；配置：二电一充		电动工具/角磨机	台	东成锂电角磨机二电一充	C	电池电压/砂轮规格/型号缺失，会影响角磨机SKU区分
PPR堵头	材质：PPR；规格：4分；类型：堵头		管件/PPR管件	只	PPR4分堵头	C	压力等级/品牌缺失，会影响PPR管件SKU区分
PPR堵头	材质：PPR；规格：6分；类型：堵头		管件/PPR管件	只	PPR6分堵头	C	压力等级/品牌缺失，会影响PPR管件SKU区分
PPR堵头	材质：PPR；规格：20mm；类型：闷头/堵头		管件/PPR管件	只	PPR20mm闷头	C	闷头按堵头归一；压力等级/品牌缺失，会影响PPR管件SKU区分
PPR堵头	材质：PPR；规格：25mm；类型：闷头/堵头		管件/PPR管件	只	PPR25mm闷头	C	闷头按堵头归一；压力等级/品牌缺失，会影响PPR管件SKU区分
