标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
钢筋加工件	加工：是；钢筋规格：12；长度：11.93米		定制件/钢筋加工件	个	加工12钢筋11.93米	C	定制件材质/图纸/弯折要求缺失，按钢筋规格和长度低精度候选
钢筋加工件	加工：是；钢筋规格：12；长度：12.94米		定制件/钢筋加工件	个	加工12钢筋12.94米	C	定制件材质/图纸/弯折要求缺失，按钢筋规格和长度低精度候选
钢筋方形箍	加工：是；钢筋规格：12；形状：方形箍		定制件/钢筋加工件	个	加工12钢筋方形箍	C	定制件尺寸/图纸缺失，无法唯一确定钢筋方形箍SKU
充电电钻	供电：充电		工具器具/电动工具	台	充电电钻	C	电压/电池容量/品牌或型号缺失，无法唯一确定充电电钻SKU
厕所刷	用途：厕所清洁		劳保耗材/清洁工具	把	厕所刷子	A	
洁厕剂	类型：洁厕灵		劳保耗材/清洁用品	支	洁厕灵	C	容量/品牌缺失，无法唯一确定洁厕剂SKU
拖把	类型：拖把		劳保耗材/清洁工具	支	拖把	B	输入提示与其他记录同物料，单位个/支需统一
锂电钻	特征：大功率；供电：锂电池		工具器具/电动工具	台	大功率锂电钻	C	电压/电池容量/品牌或型号缺失，大功率描述不足以唯一确定SKU
铜鼻子	电流：300A；材质：铜		电气材料/电缆附件	个	300A铜鼻子	B	线径/孔径缺失，按电流和材质先建候选
铜鼻子	电流：200A；材质：铜		电气材料/电缆附件	个	200A铜鼻子	B	线径/孔径缺失，按电流和材质先建候选
PVC给水管	品牌：公元；规格：40；材质：PVC；用途：给水		工程材料/PVC管件	米	公元40pvc给水管	B	压力等级缺失，按品牌/规格/材质/用途先建候选
异径三通	品牌：公元；规格：40*32；类型：三通		工程材料/PVC管件	个	公元三通40×32	B	材质未明，按PVC管件分组候选需确认
异径三通	品牌：公元；规格：40*25；类型：三通		工程材料/PVC管件	个	公元三通40×25	B	材质未明，按PVC管件分组候选需确认
PVC管卡	品牌：公元；材质：PVC；规格：40		工程材料/管道紧固	个	公元pvc40管卡	A	
PVC45度弯头	品牌：公元；规格：40；角度：45度		工程材料/PVC管件	个	公元40×45°弯头	B	材质未明，按PVC管件名称候选需确认
异径接头	品牌：公元；规格：40*32；类型：异径接头		工程材料/PVC管件	个	公元40×32大接头	B	材质未明，按PVC管件分组候选需确认；大接头归一为异径接头
厚双面胶	类型：双面胶；特征：厚		化工耗材/胶粘带	卷	双面胶厚	C	宽度/长度缺失，无法唯一确定厚双面胶SKU
窗帘支架	用途：窗帘		行政后勤/设施配件	套	窗帘支架	C	长度/安装方式缺失，无法唯一确定窗帘支架SKU
黑模板	厚度：3.0；颜色：黑色		建筑材料/模板木方	张	黑模板3.0厚	C	厚度单位/长宽缺失，无法唯一确定黑模板SKU
一位开关	品牌：公牛；位数：1位		电气材料/开关	套	公牛一位开关	B	电流/安装方式缺失，按品牌和位数先建候选
五孔插座	品牌：公牛；类型：五孔		电气材料/插头插座	套	公牛五孔插座	B	输入提示与其他记录同物料，电流/明装暗装缺失
手持打码机	类型：手持；功能：大字符打码		设备/标识设备	台	手持大字符打码机	C	型号/耗材类型缺失，无法唯一确定手持打码机SKU
洗洁精	类型：洗洁精		劳保耗材/清洁用品	支	洗洁精	C	容量/品牌缺失，无法唯一确定洗洁精SKU
吊带	载荷：5吨；长度：6m		吊装索具/吊带	条	吊带5吨×6m	B	输入提示与其他记录同物料，单位付/条需统一
直通	品牌：公元；规格：110；类型：直通		工程材料/PVC管件	个	公元110直通	B	材质未明，按PVC管件分组候选需确认
管卡	品牌：公元；规格：110		工程材料/管道紧固	个	公元110管卡	B	材质/适配管材缺失，按品牌和规格先建候选
方形集水斗	品牌：公元；规格：110；形状：方形		工程材料/排水管件	个	公元110方形集水斗	B	材质/安装方式缺失，按品牌/规格/形状先建候选
调和漆	颜色：红色；类型：调和漆		化工耗材/涂料	桶	红色调和油漆	C	包装容量/品牌缺失，无法唯一确定调和漆SKU
调和漆	颜色：中黄；类型：调和漆		化工耗材/涂料	桶	中黄调和油漆	C	包装容量/品牌缺失，无法唯一确定调和漆SKU
快速插头	电压：220V；类型：快速插头		电气材料/插头插座	个	220v快速插头	C	电流/极数/IP等级缺失，无法唯一确定快速插头SKU
快速插座	电压：220V；类型：快速插座		电气材料/插头插座	个	220v快速插座	C	电流/极数/IP等级缺失，无法唯一确定快速插座SKU
快速插头	电压：380V；类型：快速插头		电气材料/插头插座	个	380v快速插头	C	电流/极数/IP等级缺失，无法唯一确定快速插头SKU
快速插座	电压：380V；类型：快速插座		电气材料/插头插座	个	380v快速插座	C	电流/极数/IP等级缺失，无法唯一确定快速插座SKU
帆布手套	材质：帆布；特征：加厚、双层		劳保耗材/手套	双	加厚双层帆布手套	A	
滚筒刷	规格：8寸		工具器具/涂装工具	支	8寸滚筒	B	材质缺失，按规格先建候选
滚筒刷	规格：4寸		工具器具/涂装工具	支	4寸滚筒	B	材质缺失，按规格先建候选
小滚筒刷	规格：4寸；类型：小滚筒		工具器具/涂装工具	支	4寸小滚筒	B	材质缺失，按规格和类型先建候选
自喷漆	品牌：三和；颜色：灰色；类型：自喷漆		化工耗材/涂料	支	三和灰色喷漆	C	输入提示与其他记录同物料，容量缺失，可能影响自喷漆SKU区分
垃圾袋	规格：大号		劳保耗材/清洁用品	个	大垃圾袋子	C	尺寸/厚度缺失，大号不足以唯一确定垃圾袋SKU
二氧化碳减压表	适用气体：二氧化碳；类型：压力表/减压表		焊接耗材/气体配件	个	二氧化碳表	C	量程/接口缺失，无法唯一确定二氧化碳减压表SKU
乙炔减压表	适用气体：乙炔；类型：压力表/减压表		焊接耗材/气体配件	个	乙炔表	C	输入提示与其他记录同物料，量程/接口缺失，无法唯一确定乙炔减压表SKU
氧气减压表	适用气体：氧气；类型：压力表/减压表		焊接耗材/气体配件	个	氧气表	C	量程/接口缺失，无法唯一确定氧气减压表SKU
螺丝	规格：M30*100		五金备件/紧固件	个	M30*100螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
螺母	规格：M30		五金备件/紧固件	个	M30螺母	C	材质/强度等级缺失，可能影响紧固件SKU区分
平垫片	规格：M30		五金备件/紧固件	个	M30平垫	B	材质缺失，按规格先建候选
弹簧垫片	规格：M30		五金备件/紧固件	个	M30弹垫	B	材质缺失，按规格先建候选
螺丝	规格：M27*120		五金备件/紧固件	个	M27*120螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
螺母	规格：M27		五金备件/紧固件	个	M27螺母	C	材质/强度等级缺失，可能影响紧固件SKU区分；输入提示与其他记录同类
平垫片	规格：M27		五金备件/紧固件	个	M27平垫	B	材质缺失，按规格先建候选；输入提示与其他记录同类
弹簧垫片	规格：M27		五金备件/紧固件	个	M27弹垫	B	材质缺失，按规格先建候选
