标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
螺丝组件	规格：M6*25；成套：是		紧固件/螺丝	套	M6*25螺丝	C	头型/强度等级/材质缺失，可能影响螺丝组件SKU区分
胶手套	类型：胶手套		劳保耗材/手套	双	胶手套	C	材质/尺码缺失，无法唯一确定手套SKU
砂纸	粒度：细		工具耗材/磨料磨具	张	细砂纸	C	具体目数/尺寸缺失，无法唯一确定砂纸SKU
焊接卡扣	规格：168；连接：焊接；加工：是		定制件/管路接头	个	加工168焊接卡扣	C	定制件材质/图纸/用途缺失，无法唯一确定焊接卡扣SKU
膨胀螺丝	规格：M14*100		紧固件/膨胀件	套	14*100膨胀螺丝	B	材质/表面处理缺失，按规格先建候选
异径接头	规格：80*50；类型：大小头		管件/管接头	个	80*50大小头	C	材质/连接方式缺失，可能影响异径接头SKU区分
膨胀螺丝	规格：M10*80		紧固件/膨胀件	套	10*80膨胀螺丝	B	材质/表面处理缺失，按规格先建候选
电箱罩	定制：是；尺寸：2.3*1.3*0.7；特征：加厚		定制件/电气箱柜	套	2.3*1.3*0.7定做加厚电箱罩	C	定制件材质/厚度/IP等级/图纸缺失，尺寸单位需确认
电箱罩	定制：是；尺寸：1.8*1.6*0.6；特征：加厚		定制件/电气箱柜	套	1.8*1.6*0.6定做加厚电箱罩	C	定制件材质/厚度/IP等级/图纸缺失，尺寸单位需确认
不锈钢增压泵	功率：3kW；材质：不锈钢；类型：增压泵		设备备件/泵	台	3千瓦不锈钢增压泵	C	流量/扬程/电压/接口缺失，无法唯一确定泵SKU
氧气管接头	规格：8厘；适用气体：氧气		焊割耗材/气管接头	个	8厘氧气管接头	C	材质/连接形式缺失，可能影响气管接头SKU区分
高压堵头	规格：1/2英寸；类型：堵头		液压/高压管路	个	1/2高压堵头	C	螺纹标准/压力等级缺失，无法唯一确定高压堵头SKU
高压堵头	规格：3/4英寸；类型：堵头		液压/高压管路	个	3/4高压堵头	C	螺纹标准/压力等级缺失，无法唯一确定高压堵头SKU
高压堵头	规格：1英寸；类型：堵头		液压/高压管路	个	1高压堵头	C	螺纹标准/压力等级缺失，无法唯一确定高压堵头SKU
高压堵头	规格：1.5寸；类型：堵头		液压/高压管路	个	1.5寸高压堵头	C	螺纹标准/压力等级缺失，无法唯一确定高压堵头SKU
高压堵头	规格：2寸；类型：堵头		液压/高压管路	个	2寸高压堵头	C	螺纹标准/压力等级缺失，无法唯一确定高压堵头SKU
不锈钢球阀	品牌：埃美柯；公称直径：DN50；材质：不锈钢		阀门/球阀	个	50埃美柯不锈钢球阀	B	连接方式/压力等级缺失，按品牌/口径/材质先建候选
电动油脂泵	驱动：电动；功能：自动供脂		设备备件/润滑设备	套	自动电动油脂泵	C	电压/容量/压力/型号缺失，无法唯一确定油脂泵SKU
拖把	品类：拖把		行政后勤/清洁用品	个	拖把	B	材质/规格缺失，按通用拖把先建候选
抹布	品类：抹布		行政后勤/清洁用品	条	抹布	B	材质/尺寸缺失，按通用抹布先建候选
油污清洗剂	功能：去油污		清洁耗材/清洗剂	瓶	油污净	B	容量/品牌/浓度缺失，按去油污功能先建候选
漏电断路器	品牌：施耐德；极数：2P；额定电流：40A		电气材料/低压电器	个	2P40A施耐德漏电保护	B	型号/漏电动作电流缺失，按品牌/极数/电流先建候选
时控开关	类型：时控开关		电气材料/低压电器	个	时控开关	C	电压/型号/通道数缺失，无法唯一确定时控开关SKU
铁丝	材质：铁		五金耗材/金属丝	kg	铁丝	C	线径/表面处理缺失，无法唯一确定铁丝SKU
弹簧减压阀	公称直径：DN25；结构：弹簧式		阀门/减压阀	个	DN25弹簧减压阀	C	压力范围/材质/连接方式缺失，无法唯一确定减压阀SKU
透明软管	公称直径：25；特征：透明		管材/软管	米	25透明管	C	材质/压力等级缺失，可能影响软管SKU区分
外丝接头	定制：是；规格：1寸；连接：外丝		定制件/管路接头	个	定做1寸外丝	C	定制件材质/螺纹标准/图纸缺失，无法唯一确定外丝接头SKU
钢焊接件	定制：是；尺寸：80*200；材质：钢；工艺：焊接		定制件/金属加工件	个	定做80*200钢焊接	C	定制件图纸/厚度/用途缺失，无法唯一确定钢焊接件SKU
电磁阀	型号：4M210L-8		气动元件/阀	个	4M210L-8电磁阀	B	电压需确认，按型号先建候选
高压油管	公称直径：80		液压/高压管路	米	80高压管；80高压油管	C	压力等级/层数/接头形式缺失，无法唯一确定高压油管SKU
加厚铜接头	规格：80；材质：铜；特征：加厚		液压/高压管路	个	80加厚铜头	C	连接形式缺失，无法唯一确定铜接头SKU
铜头铝套组件	规格：80；组成：铜头、铝扣；特征：加厚		液压/高压管路	个	80加厚铜头铝扣	C	连接形式缺失，无法唯一确定铜头铝套组件SKU
法兰	规格：DN89；压力等级：16kg		管件/法兰	个	89*16KG法兰盘	C	材质/标准/密封面缺失，可能影响法兰SKU区分
不锈钢球阀	品牌：埃美柯；公称直径：DN80；材质：不锈钢		阀门/球阀	个	80埃美柯不锈钢球阀	B	连接方式/压力等级缺失，按品牌/口径/材质先建候选
不锈钢单向阀	品牌：埃美柯；公称直径：DN80；材质：不锈钢		阀门/单向阀	个	80埃美柯不锈钢单向阀	B	连接方式/压力等级缺失，按品牌/口径/材质先建候选
Y型法兰过滤器	公称直径：DN80；结构：Y型；连接：法兰		阀门/过滤器	个	80Y型法兰过滤器	C	材质/压力等级/滤网目数缺失，无法唯一确定过滤器SKU
气源分配器	定制：是；材质：不锈钢；路数：6路		定制件/气动管路件	个	定做6路不锈钢气源分配器	C	定制件接口规格/压力等级/图纸缺失，无法唯一确定气源分配器SKU
水泵防护罩	定制：是；材质：不锈钢；尺寸：60*90		定制件/金属加工件	个	定做不锈钢水泵防护罩60*90	C	定制件高度/厚度/图纸缺失，无法唯一确定防护罩SKU
双卡管道连接器	规格：325；型式：双卡		管道紧固/管道连接器	个	双卡325管道连接器	C	材质/压力等级/密封件缺失，无法唯一确定管道连接器SKU
喷火枪	功能：多功能		工具/焊割工具	个	多功能喷火枪	B	燃气类型/型号缺失，按多功能喷火枪先建候选
热风机	功率：2000W		工具/电动工具	个	2000W热风机	B	品牌/温度范围/型号缺失，按功率先建候选
