标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
管片密封胶	用途：管片密封		化工耗材/胶粘剂	桶	管片密封胶水	C	胶种/容量/品牌缺失，无法稳定区分管片密封胶SKU
泡沫双面胶	基材：泡沫；特征：厚		化工耗材/胶带	卷	厚泡沫双面胶	C	宽度/长度/厚度缺失，无法区分泡沫双面胶SKU
减压阀	公称直径：DN50；执行标准：国标		阀门/减压阀	个	DN50国标减压阀	C	压力范围/材质/连接方式缺失，无法唯一确定减压阀SKU
扫把	规格：待补		行政后勤/清洁用品	个	扫把	C	材质/规格缺失，无法区分扫把SKU
扫斗	规格：待补		行政后勤/清洁用品	个	扫斗	C	材质/规格缺失，无法区分扫斗SKU
不锈钢抹刀	材质：不锈钢；类型：抹刀		工具/泥瓦工具	个	不锈钢抹刀	C	尺寸/柄材质缺失，无法稳定区分抹刀SKU
氧气瓶手推车	适用气体：氧气；特征：加厚		焊割设备/气瓶搬运	个	加厚氧气车	B	适配瓶规格/承重缺失，按适用气体和加厚特征先建候选
乙炔瓶手推车	适用气体：乙炔；特征：加厚		焊割设备/气瓶搬运	个	加厚乙炔车	B	适配瓶规格/承重缺失，按适用气体和加厚特征先建候选
记号笔	颜色：白色		办公耗材/书写用品	支	白色记号笔	B	粗细缺失；原单位为个，书写用品建议统一为支
铜挂锁	材质：铜		五金建材/锁具	把	铜锁	C	规格尺寸缺失，无法区分铜挂锁SKU
流量计	公称直径：DN150；材质/衬里：橡胶；类型：自动		仪表/流量仪表	台	DN150橡胶自动流量计	C	原理/量程/精度/输出信号缺失，无法唯一确定流量计SKU
梅花双用扳手	规格：14		工具/手动工具	个	14梅花双用扳手	B	品牌/长度缺失，按规格和类型先建候选
铝合金梯子	长度：2.5米；材质：铝合金；特征：加厚		工具/登高工具	台	加厚2.5米铝合金梯子	C	承重/节数缺失，可能影响梯子SKU区分
螺丝组件	规格：M10*55；表面处理：镀锌；成套：是		紧固件/螺丝	套	M10*55镀锌螺丝	C	头型/强度等级缺失，无法稳定区分螺丝组件SKU
角码	材质：不锈钢；形状：L型		五金建材/连接件	个	L不锈钢角码	C	尺寸/厚度/孔位缺失，无法稳定区分角码SKU
窗户	定制：是；品类：窗户		定制件/门窗制品	个	定做窗户	C	定制件尺寸/材质/开启方式/图纸缺失，无法唯一确定窗户SKU
垃圾袋	规格：待补		行政后勤/清洁用品	个	垃圾袋	C	规格/厚度/包装数量缺失，无法区分垃圾袋SKU
建筑模板	尺寸：2.44*1.22*1.5；颜色：黑色		建筑材料/模板木方	块	2.44*1.22*1.5黑模板	B	厚度单位需确认，按原尺寸和颜色先建候选
PPR管	品牌：公元；公称直径：DN200；材质：PPR		PPR管材/管	米	DN200公元PPR管	C	压力等级/壁厚缺失，可能影响PPR管SKU区分
混凝土试模	规格：待补		工具/检测模具	个	混凝土试模	C	尺寸/执行标准缺失，无法稳定区分混凝土试模SKU
救生衣	规格：待补		安全防护/水域防护	件	救生衣	C	浮力等级/尺码/执行标准缺失，无法稳定区分救生衣SKU
机械密封	规格：50		备品备件/密封件	套	50机械密封	C	材质/适配泵型号缺失，规格50不足以稳定区分机械密封SKU
美工刀	类型：美工刀		工具/刀具	个	美工刀	C	刀片宽度/品牌缺失，无法稳定区分美工刀SKU
防锈润滑剂	型号：DM40；功能：防锈润滑		化工耗材/润滑剂	支	DM40防锈润滑剂	C	品牌/容量缺失，无法稳定区分防锈润滑剂SKU
