标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
法兰	公称直径：DN50；压力等级：16kg		管件/法兰	个	DN50*16KG法兰	C	材质/执行标准/密封面缺失，可能影响法兰SKU区分
法兰	公称直径：DN65；压力等级：16kg		管件/法兰	个	DN65*16KG法兰	C	材质/执行标准/密封面缺失，可能影响法兰SKU区分
伸缩杆	长度：2米；结构：伸缩		工具/辅助工具	个	2米伸缩杆	C	材质/用途缺失，可能影响伸缩杆SKU区分
合页	规格：3寸；材质：不锈钢		五金建材/门窗五金	付	3寸不锈钢合页	C	厚度/孔位缺失，可能影响合页SKU区分
高压油管	定制：是；规格：19；压力：420公斤		定制件/液压管路	根	定做19*420公斤高压油管	C	定制件长度/接头形式/图纸缺失，无法唯一确定高压油管SKU
挂锁	材质：铜；钥匙类型：通开		五金建材/锁具	个	通开铜挂锁	C	规格/钥匙数量缺失，无法稳定区分挂锁SKU
量杯	容量：5L		工具耗材/计量工具	个	5L量杯	C	材质/刻度精度缺失，可能影响量杯SKU区分
钢丝绳	定制：是；规格：50；长度：4米		定制件/吊装索具	根	定做50*4米钢丝绳	C	定制件直径单位/结构/强度/证书缺失，无法唯一确定钢丝绳SKU
钢丝绳专用剂	进口：是；包装：5kg；用途：钢丝绳		化工耗材/润滑防护剂	桶	进口5KG钢丝绳专用剂	C	品牌/油脂类型缺失，无法稳定区分钢丝绳专用剂SKU
喷壶	品类：喷壶		行政后勤/清洁用品	个	喷壶	C	容量/材质缺失，无法稳定区分喷壶SKU
U型卸扣	额定载荷：17T；型式：U型；执行标准：国标		吊装索具/卸扣	个	17TU型国标卸扣	B	销轴形式/证书缺失，按载荷、型式和标准先建候选
蝴蝶扣	额定载荷：15T；类型：蝴蝶扣		吊装索具/连接件	个	15T蝴蝶扣	B	材质/标准/证书缺失，按额定载荷和类型先建候选
骑马卡	公称直径：DN200；材质：不锈钢		管道紧固/骑马卡	个	DN200不锈钢骑马卡	C	厚度/孔距缺失，可能影响骑马卡SKU区分
膨胀螺丝	规格：M10*60		紧固件/膨胀件	个	10*60膨胀螺丝	C	材质/类型缺失，可能影响膨胀螺丝SKU区分
抹布	形态：大块；颜色：白色		清洁耗材/擦拭材料	公斤	大块白抹布	B	材质成分缺失，按大块白色抹布先建候选
美工刀	品牌：得力		工具/刀具	个	得力美工刀	C	刀片宽度缺失，无法稳定区分美工刀SKU
美工刀片	品牌：得力		工具耗材/刀片	盒	得力刀片	C	输入单位“合”按明显错字修正为“盒”；规格/片数缺失
注浆针头	类型：注浆针头		堵漏注浆/注浆耗材	个	注浆针头	C	规格/长度/材质缺失，无法稳定区分注浆针头SKU
水性聚氨酯	类型：水性；材料：聚氨酯		化工耗材/堵漏材料	公斤	水性聚氨酯	C	品牌/包装/固含量缺失，可能影响聚氨酯材料SKU区分
油性聚氨酯	类型：油性；材料：聚氨酯		化工耗材/堵漏材料	公斤	油性聚氨酯	C	品牌/包装/固含量缺失，可能影响聚氨酯材料SKU区分
双快水泥	类型：双快水泥		建筑材料/水泥砂石	包	双快水泥	C	强度等级/包装重量缺失，无法稳定区分双快水泥SKU
发泡剂	品类：发泡剂		化工耗材/填缝材料	个	发泡剂	C	容量/品牌缺失，无法稳定区分发泡剂SKU
发泡剂枪	适用材料：发泡剂		工具/施胶工具	个	发泡剂枪	C	规格/结构缺失，无法稳定区分发泡剂枪SKU
注浆枪头	类型：注浆枪头		堵漏注浆/注浆配件	个	注浆枪头	C	接口/适配注浆枪缺失，无法稳定区分注浆枪头SKU
清洗机专用油	用途：清洗机		化工耗材/润滑油	个	清洗机专用油	C	包装/品牌/油品型号缺失，单位“个”需复核
塑料凳	材质：塑料；特征：加厚		行政后勤/生活用品	个	加厚塑料凳；加厚塑料凳子	B	尺寸/承重缺失，按加厚塑料凳先建候选
一体梯凳	承重：600kg；结构：一体		工具/登高工具	个	600KG一体梯凳	C	高度/材质/标准缺失，无法稳定区分梯凳SKU
水泥	标号/型号：PC425		建筑材料/水泥砂石	包	PC425水泥	C	包装重量/执行标准缺失，无法稳定区分水泥SKU
高压清洗机滤网	规格：25mm；部件：滤网		清洗设备/高压清洗机配件	个	25MM高压清洗剂滤网	C	适配型号/过滤精度缺失，无法稳定区分滤网SKU
滑槽	形状：C型；材质：不锈钢		五金建材/导轨滑槽	米	C型不锈钢滑槽	C	截面尺寸/厚度缺失，无法稳定区分滑槽SKU
润滑脂	品牌：克虏伯；型号：NB52		化工耗材/润滑脂	公斤	克虏伯油脂NB52	B	包装规格/用途缺失，按品牌和型号先建候选
PAC污水处理剂	类型：PAC；含量：28%		化工原料/水处理剂	吨	28%PAC污水处理剂	B	包装/执行标准缺失，按PAC类型和含量先建候选
轴承	品牌：SKF；型号：2315；进口：是		备品备件/轴承	个	进口SKF-2315轴承	B	轴承类型/尺寸未列，按品牌和型号先建候选
布手套	材质：布；特征：加厚		劳保耗材/手套	双	加厚布手套	C	尺码缺失，无法稳定区分布手套SKU
刀阀	公称直径：DN150		阀门/刀阀	个	DN150刀阀	C	材质/压力等级缺失，可能影响刀阀SKU区分
膨胀螺丝	规格：M14*70		紧固件/膨胀件	个	14*70膨胀螺丝	C	材质/类型缺失，可能影响膨胀螺丝SKU区分
套筒	规格：17		工具/套筒	个	17套筒	C	方榫规格/长度缺失，无法稳定区分套筒SKU
电缆线	品牌：起帆；规格：3*6+2*4		电气材料/电线电缆	米	3*6+2*4起帆电缆	C	导体材质/护套/电压等级缺失，无法稳定区分电缆SKU
量杯	容量：2000ml		工具耗材/计量工具	个	2000毫升量杯	C	材质/刻度精度缺失，可能影响量杯SKU区分
热水器开关	用途：热水器		电气材料/开关	个	热水器开关	C	电流/安装方式/型号缺失，无法稳定区分热水器开关SKU
小便器感应器	适用：小便器；类型：感应器		行政后勤/卫浴配件	套	小便器感应器	C	电源/接口/型号缺失，无法稳定区分小便器感应器SKU
启动按钮指示灯	功能：启动按钮、指示灯		电气材料/按钮指示	套	启动按钮指示灯	C	电压/颜色/开孔尺寸缺失，按功能组合保留为套
急停按钮	功能：急停		电气材料/按钮指示	套	急停按钮	C	触点/开孔尺寸/品牌缺失，无法稳定区分急停按钮SKU
闪光蜂鸣器	功能：闪光、蜂鸣		电气材料/报警器	套	闪光蜂鸣器	C	电压/声光等级缺失，无法稳定区分闪光蜂鸣器SKU
铝合金扣	规格：50；材质：铝合金；特征：加厚		液压/高压管路	个	50加厚铝合金扣	B	连接形式缺失，按规格、材质和加厚特征先建候选
铝合金扣	规格：80；材质：铝合金；特征：加厚		液压/高压管路	个	80加厚铝合金扣	B	连接形式缺失，按规格、材质和加厚特征先建候选
水泥砖	规格：95；材质：水泥		建筑材料/砌块砖	个	95水泥砖	C	尺寸完整性/强度等级缺失，规格95语义不足
扎带	规格：8*300		电气材料/扎带	个	8*300扎带	C	材质/颜色/包装数量缺失，可能影响扎带SKU区分
喷壶	容量：2L		行政后勤/清洁用品	个	2升喷壶	B	材质/喷头类型缺失，按容量先建候选
铁扎丝	规格原文：500；材质：铁		建筑材料/绑扎材料	卷	500铁扎丝	C	线径/每卷重量缺失，规格500语义需确认
