标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
插座	品牌：公牛；孔位：8孔		电气材料/插头插座	个	8孔公牛插座	C	电流、线长、安装方式缺失，无法区分具体插座SKU
安全绳	类型：五点式；挂钩：双钩		劳保耗材/坠落防护	套	五点式双钩安全绳	C	执行标准、长度、承载缺失，坠落防护用品关键规格不足
普通硅酸盐水泥	标号：PO42.5		建筑材料/水泥砂石	包	PO42.5水泥；po42.5水泥	B	每包重量、品牌缺失
对讲机	品牌：长城；型号：A99；特征：高功率		电气材料/通讯设备	个	A99长城高功率对讲机	A	
电缆线	品牌：起帆；规格：3*4+2*2.5		电气材料/电线电缆	米	3*4+2*2.5起帆电缆线；起帆3*4+2*2.5电线；3*4+2*2.5起帆电缆	C	型号、导体材质、护套、电压等级缺失，无法区分电缆SKU
电缆线	品牌：起帆；规格：3*1.5		电气材料/电线电缆	米	3*1.5起帆电缆线	C	型号、导体材质、护套、电压等级缺失，无法区分电缆SKU
螺丝	规格：14*180		五金备件/紧固件	套	14*180螺丝	C	是否M14、材质、强度等级缺失
螺母	规格：14		五金备件/紧固件	个	14螺母	C	是否M14、材质、强度等级缺失
平垫片	规格：14		五金备件/紧固件	个	14垫片	B	是否M14、材质缺失
弹簧垫片	规格：14		五金备件/紧固件	个	14弹簧垫片	B	是否M14、材质缺失
钻头	规格：16*100		工具器具/工具配件	个	16*100钻头	C	材质、柄型缺失，无法区分钻头SKU
吨袋	承重/容量：1.5吨		包装材料/吨袋	个	1.5吨袋	B	尺寸、吊带形式缺失
土工布	类型：土工布		建筑材料/土工材料	米	土工布	C	克重、宽度缺失，无法区分土工布SKU
风镐	型号：G150		工具器具/气动工具	台	G150风镐	B	品牌、适配气压缺失
羊毛刷	规格：4寸；材质：羊毛		工具器具/涂装工具	支	4寸羊毛刷	A	
丝锥	规格：M20		工具器具/工具配件	支	M20丝锥	C	牙距、材质缺失，无法区分丝锥SKU
万能胶	类型：万能胶		化工耗材/胶粘剂	桶	万能胶	C	品牌、容量缺失，无法区分包装SKU
注浆管	规格：DN25		工程材料/注浆材料	米	DN25注浆管	C	材质、压力等级缺失，无法区分注浆管SKU
混凝土圆斗	容量：3立方；用途：混凝土		工程器具/料斗	个	3立方混凝土圆斗	B	材质、吊装方式缺失
钢箱	加工定做：是；容量：4立方；材质：钢		定制件/金属加工件	个	加工定做4立方钢箱	C	定制件图纸、尺寸、用途缺失，不能唯一确定加工件
膨胀螺丝	规格：M12*80		五金备件/紧固件	个	M12*80膨胀螺丝	B	材质、表面处理缺失
雨衣	类型：一次性		劳保耗材/雨具	套	一次性雨衣	B	材质、厚度缺失
电缆线	品牌：起帆；规格：3*2.5		电气材料/电线电缆	米	3*2.5起帆电缆；3*2.5起帆电缆线	C	型号、导体材质、护套、电压等级缺失，无法区分电缆SKU
花篮螺丝	规格：M20；类型：花篮		吊装索具/拉紧器	个	M20花篮	B	材质、载荷缺失
卷扬机	载荷：1吨		吊装索具/起重设备	台	1吨卷扬机	C	电压、钢丝绳长度、品牌缺失，无法区分卷扬机SKU
钢丝绳	直径：16mm		吊装索具/钢丝绳	米	16厘钢丝绳	C	结构、强度等级缺失，无法区分钢丝绳SKU
卸扣	载荷：8.5T		吊装索具/卸扣	个	8.5T卸扣	B	卸扣形式、执行标准缺失
卸扣	载荷：3T		吊装索具/卸扣	个	3T卸扣	B	卸扣形式、执行标准缺失
钢筋扎丝	长度：50cm；包装：5kg		五金备件/金属丝材	件	50CM*5kg钢筋扎丝	C	丝径、材质缺失，无法区分扎丝SKU
汽油桶	容量：20L；用途：汽油		工具器具/容器	个	20L汽油桶	B	材质、防爆要求缺失
齿轮油	型号：HL-20		化工耗材/润滑油	升	HL-20齿轮油	B	品牌、包装缺失
焊条	直径：5.0		焊接耗材/焊材	件	5.0电焊条	C	牌号、包装缺失，无法区分焊条SKU
焊条	直径：4.0		焊接耗材/焊材	件	4.0电焊条	C	牌号、包装缺失，无法区分焊条SKU
植筋胶	类型：注射式		化工耗材/胶粘剂	支	注射式植筋胶	C	容量、品牌、固化剂体系缺失，无法区分植筋胶SKU
铁钉	规格：3寸		五金备件/紧固件	KG	3寸铁钉	B	材质、表面处理缺失
电源适配器	输出：12V 1A		电气材料/电源电器	个	12V1A适配器	C	输入电压、接口规格缺失，无法区分适配器SKU
反射片	规格：3*3		安全设施/反光材料	片	3*3反射片	C	规格单位、材质、颜色缺失
反射片	规格：5*5		安全设施/反光材料	片	5*5反射片	C	规格单位、材质、颜色缺失
海绵拖把	特征：加长；材质：海绵		劳保耗材/清洁工具	把	加长海绵拖把	A	
钢丝增强管	规格：1寸；结构：钢丝增强		工程材料/软管	米	1寸钢丝增强管	C	压力等级、管体材质缺失，无法区分软管SKU
