标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
镀锌外丝接头	公称直径：DN80；连接：外丝；表面处理：镀锌		管件/镀锌管件	个	DN80镀锌外丝	B	螺纹标准缺失，按公称直径和外丝连接先建候选
球阀	品牌：埃美柯；公称直径：DN80		阀门/球阀	个	DN80埃美柯球阀	C	材质/压力等级/连接方式缺失，可能影响球阀SKU区分
球阀	品牌：埃美柯；公称直径：DN50		阀门/球阀	个	DN50埃美柯球阀	C	材质/压力等级/连接方式缺失，可能影响球阀SKU区分
铜接头	规格：DN80；材质：铜；特征：加厚		液压/高压管路	个	DN80厚铜头；加厚铜接头	B	连接形式缺失，按规格/材质/加厚特征先建候选
铜接头	规格：DN50；材质：铜；特征：加厚		液压/高压管路	个	DN50厚铜头；加厚铜接头	B	连接形式缺失，按规格/材质/加厚特征先建候选
外丝接头	加工：是；规格：89；连接：外丝		定制件/管路接头	个	加工89外丝接头	C	定制件材质/螺纹标准/图纸缺失，无法唯一确定加工接头SKU
外丝接头	加工：是；规格：60；连接：外丝		定制件/管路接头	个	加工60外丝接头	C	定制件材质/螺纹标准/图纸缺失，无法唯一确定加工接头SKU
螺丝组件	规格：M10*40；成套：是		紧固件/螺丝	套	M10*40螺丝	C	头型/强度等级/材质缺失，无法稳定区分螺丝组件SKU
螺丝组件	规格：M12*40；成套：是		紧固件/螺丝	套	M12*40螺丝	C	头型/强度等级/材质缺失，无法稳定区分螺丝组件SKU
加长六角套筒	规格：5；特征：加长；类型：六角		工具/套筒	个	5加长六角套筒	B	方榫规格/长度缺失
加长六角套筒	规格：6；特征：加长；类型：六角		工具/套筒	个	6加长六角套筒	B	方榫规格/长度缺失
加长六角套筒	规格：7；特征：加长；类型：六角		工具/套筒	个	7加长六角套筒	B	方榫规格/长度缺失
加长六角套筒	规格：8；特征：加长；类型：六角		工具/套筒	个	8加长六角套筒	B	方榫规格/长度缺失
加长六角套筒	规格：10；特征：加长；类型：六角		工具/套筒	个	10加长六角套筒	B	方榫规格/长度缺失
加长六角套筒	规格：12；特征：加长；类型：六角		工具/套筒	个	12加长六角套筒	B	方榫规格/长度缺失
加长六角套筒	规格：14；特征：加长；类型：六角		工具/套筒	个	14加长六角套筒	B	方榫规格/长度缺失
混凝土试模	尺寸：150*150*150		工具/检测模具	个	150*150*150混凝土模具	B	材质/执行标准缺失，按尺寸先建候选
卡箍接头	加工：是；规格：168；类型：卡箍接头		定制件/管路接头	个	加工168卡箍接头	C	定制件材质/图纸/沟槽尺寸缺失，无法唯一确定卡箍接头SKU
卡箍接头	加工：是；规格：89；类型：卡箍接头		定制件/管路接头	个	加工89卡箍接头	C	定制件材质/图纸/沟槽尺寸缺失，无法唯一确定卡箍接头SKU
焊接弯头	规格：89；壁厚：10；连接：焊接		管件/弯头	个	89*10焊接弯头	C	角度/材质缺失，可能影响焊接弯头SKU区分
焊接弯头	规格：168；壁厚：10；连接：焊接		管件/弯头	个	168*10焊接弯头	C	角度/材质缺失，可能影响焊接弯头SKU区分
扁钢	规格：50*5		钢材/型材	米	50*5扁铁	B	材质/执行标准缺失，按截面规格先建候选
机械密封	型号：6205		备品备件/密封件	个	6205机械密封	C	材质/适配设备缺失，型号6205不足以稳定区分机械密封SKU
螺丝	规格：M24*230		紧固件/螺丝	个	24*230螺丝；M24*230螺丝	C	头型/强度等级/材质缺失，无法稳定区分螺丝SKU
垫片	规格：M24；特征：加厚		紧固件/垫圈	个	24加厚垫片	C	材质/厚度缺失，无法稳定区分加厚垫片SKU
防松螺母	规格：M24；类型：防松		紧固件/螺母	个	24防松螺母	C	材质/强度等级缺失，可能影响防松螺母SKU区分
机油	品牌：道达尔；牌号：46#；包装：20L		化工耗材/润滑油	桶	道达尔46#机油20升	B	系列型号/油品类型需确认，按品牌/牌号/包装先建候选
橡胶锤	材质：橡胶		工具/手动工具	个	橡皮锤	C	重量/柄材质缺失，无法稳定区分橡胶锤SKU
焊接卡箍	加工：是；规格：219；连接：焊接		定制件/管路接头	个	加工219焊接卡箍	C	定制件材质/图纸/用途缺失，无法唯一确定焊接卡箍SKU
高压油管	规格：76*4		液压/高压管路	米	76*4高压油管	C	76和4的规格含义未明，无法确认管径、层数或壁厚
美工刀	品牌：得力；颜色：黑色		工具/刀具	个	得力黑美工刀	B	刀片宽度缺失，按品牌和颜色先建候选
美工刀片	类型：美工刀片		工具耗材/刀片	盒	美工刀片	C	输入单位“合”疑似“盒”；规格/片数缺失，无法稳定区分刀片SKU
塑料箱	规格：大；型号/规格：75		行政后勤/收纳用品	个	大塑料箱75	C	尺寸/容量缺失，型号/规格75语义需确认
法兰异径接头	加工：是；规格：34*60；连接：法兰；类型：大小头		定制件/管路接头	套	加工34*60法兰大小头	C	定制件材质/压力等级/图纸缺失，无法唯一确定法兰异径接头SKU
钢丝刷	类型：钢丝刷		工具/清理工具	个	钢丝刷	C	尺寸/柄型缺失，无法稳定区分钢丝刷SKU
台钳	开口：400；规格：16寸；特征：加重		工具/夹持工具	台	加重400开口16寸台钳	B	品牌/型号缺失，按开口和规格先建候选
螺丝	规格：M20*30		紧固件/螺丝	个	M20*30螺丝	C	头型/强度等级/材质缺失，无法稳定区分螺丝SKU
螺丝	规格：M20*35		紧固件/螺丝	个	M20*35螺丝	C	头型/强度等级/材质缺失；同类记录存在套/个单位差异需统一
螺丝	规格：M20*130		紧固件/螺丝	个	M20*130螺丝	C	头型/强度等级/材质缺失，无法稳定区分螺丝SKU
内六角扳手套装	品牌：世达；规格范围：1.5-10		工具/手动工具	套	1.5-10世达内六角扳手	B	件数/型号缺失，按品牌和规格范围先建候选
开口梅花扳手套装	品牌：世达；规格范围：8-24		工具/手动工具	套	8-24世达开口梅花扳手	B	件数/型号缺失，按品牌和规格范围先建候选
鸭嘴吊具	额定载荷：20T；型式：鸭嘴；功能：万能		吊装索具/吊具	个	20T鸭嘴万能吊具	B	认证标准/开口范围缺失，按额定载荷和型式先建候选
轴承	品牌：TIMKEN；型号：J90354；进口：是		备品备件/轴承	个	进口TIMKEN-J90354轴承	B	轴承类型/尺寸未列，按品牌和型号先建候选
轴套	加工：是；部件：轴套		定制件/机械加工件	个	加工轴套	C	定制件图纸/材质/尺寸缺失，无法唯一确定轴套SKU
管道增压泵	电压：380V；功率：3kW；类型：管道增压泵		设备备件/泵	个	380V*3千瓦管道增压泵	C	流量/扬程/口径/型号缺失，无法稳定区分泵类SKU
