标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
高压铜球阀	规格：DN20；压力：350kg；材质：铜；类型：球阀		工程材料/阀门	个	DN20*350kg高压铜球阀	A	
棉布	规格：大块		劳保耗材/擦拭材料	KG	大块棉布	A	
垃圾夹	类型：垃圾夹		清洁用品/清洁工具	个	垃圾夹	A	
电箱	规格：250A		电气材料/配电箱	个	250A电箱	C	箱体尺寸缺失，可能影响配电箱SKU区分
五孔插座	类型：五孔		电气材料/插头插座	个	五孔插座	B	品牌缺失，按五孔插座候选
线槽	规格：30*15		电气材料/电气辅材	米	30*15线槽	A	
高压油管	规格：DN51；等级：4SH		液压/高压管路	米	DN51*4SH高压油管	B	接头形式缺失；按米计量暂按油管本体候选
高压油管	规格：DN32；等级：4SH		液压/高压管路	米	DN32*4SH高压油管	B	接头形式缺失；按米计量暂按油管本体候选
吊带	载荷：2T；长度：1.5米		吊装索具/吊带	付	2T*1.5米吊带	A	
卸扣	载荷：2T		吊装索具/卸扣	个	2T卸扣	B	执行标准缺失
剪刀	类型：剪刀		工具器具/手动工具	个	剪刀	C	规格/用途缺失，无法区分剪刀类型
电焊快速接头	规格：35-50		焊接耗材/焊机配件	套	35-50电焊快速接头	A	
加厚铁合页	材质：铁；规格：4寸；特征：加厚		五金备件/门窗五金	付	4寸加厚铁合页	A	
加厚铁合页	材质：铁；规格：5寸；特征：加厚		五金备件/门窗五金	付	5寸加厚铁合页	A	
卷尺	品牌：得力；长度：3米		工具器具/测量工具	个	得力3米卷尺	A	
卷尺	品牌：得力；长度：5米		工具器具/测量工具	个	得力5米卷尺	A	
卷尺	品牌：得力；长度：10米		工具器具/测量工具	个	得力10米卷尺	A	
除胶剂	品牌：得力；容量：500ML		化工耗材/清洗剂	支	得力500ML除胶剂	A	
垃圾袋	规格：120*140；特征：厚		清洁用品/垃圾袋	个	120*140厚垃圾袋	A	
变压USB插座	品牌：公牛；输入：220V；输出：36V；功能：USB		电气材料/插头插座	套	公牛220V转36VUSB插座	A	
毛刷	规格：3寸		工具器具/涂装工具	支	3寸毛刷	A	
钢丝刷	类型：刀型		工具器具/打磨工具	支	刀型钢丝刷	A	
拖把	规格：大		清洁用品/清洁工具	支	大拖把	B	输入提示单位待统一，暂保留原单位
锂电池电钻	品牌：大艺；电压：21V；动力：锂电池		工具器具/电动工具	台	21V大艺锂电池电钻	A	
锂电池角磨机	品牌：大艺；动力：锂电池		工具器具/电动工具	台	大艺锂电池角磨机	C	电压缺失，可能影响锂电池角磨机SKU区分
电池	电压：9V		电气材料/电池	个	9V电池	A	
卸扣	载荷：4T		吊装索具/卸扣	个	4T卸扣	B	执行标准缺失
螺丝	规格：16*50		五金备件/紧固件	套	16*50螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
LED防爆机床方形灯	长度：1220MM；类型：LED；功能：防爆；形状：方形；用途：机床		电气材料/防爆照明	套	1220MMLED防爆机床方形灯	C	功率缺失，可能影响灯具SKU区分
螺丝	规格：14*50		五金备件/紧固件	套	14*50螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
弓形卸扣	载荷：6.5吨；标准：国标；形状：弓形		吊装索具/卸扣	个	6.5吨国标弓形卸扣	A	
热水器挂钩	用途：热水器		工程材料/水暖五金	个	热水器挂钩	C	规格缺失，可能影响挂钩SKU区分
排风扇	规格：50*50		电气材料/通风设备	个	50*50排风扇；排气扇	A	按输入提示统一命名为排风扇
塑料方凳	材质：塑料；规格：50CM；特征：加厚		办公生活用品/家具	个	加厚50CM塑料方凳	A	
不锈钢弯头	材质：不锈钢；规格：250；类型：弯头		工程材料/管件	个	250不锈钢弯头	C	壁厚/角度缺失，可能影响管件SKU区分
发泡胶	品牌：雨虹；特性：高倍		化工耗材/填缝剂	支	雨虹高倍发泡胶	C	容量缺失，可能影响发泡胶SKU区分
重油污清洗剂	用途：去重油污		清洁用品/清洁剂	公斤	去重油污清洗剂	B	品牌未提供，按用途候选
电池	规格：5号		电气材料/电池	个	5号电池	A	
电焊眼镜	用途：电焊		劳保耗材/眼面防护	付	电焊眼镜	A	
内六角扳手	规格：19		工具器具/手动工具	支	19内六角扳手	A	
等离子割嘴	型号：P80；类型：割嘴		焊接耗材/等离子切割配件	个	P80等离子割嘴	A	
槽钢	规格：200B		金属材料/型材	米	200B槽钢	C	材质/标准缺失，可能影响型材SKU区分
槽钢	规格：160B		金属材料/型材	米	160B槽钢	C	材质/标准缺失，可能影响型材SKU区分
水泥砖	材质：水泥		建筑材料/砌块砖	块	水泥砖	C	尺寸缺失，无法区分水泥砖规格
砖刀	用途：砌砖/切砖		工具器具/施工工具	个	砖刀	A	
灰刀	用途：抹灰		工具器具/施工工具	个	灰刀	A	
防水网线接头	功能：防水；用途：网线连接		电气材料/弱电材料	个	防水网线接头连接	A	
防锈润滑剂	品牌/型号：WD-40；容量：500		化工耗材/润滑防锈	支	WD-40500防锈润滑剂	B	容量单位缺失，原始仅写500
螺丝	规格：8*250		五金备件/紧固件	套	8*250螺丝	C	原始规格未明确是否为M8；材质/强度等级缺失
调和油漆	颜色：铁红		化工耗材/涂料	桶	铁红油漆	C	容量缺失，可能影响油漆SKU区分
