标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
排水异径补心	品牌：公元；规格：75*50；类型：补心/异径		工程材料/排水管件	个	公元75*50补心	B	材质需按同批胶管确认
排水弯头	品牌：公元；规格：75；类型：弯头		工程材料/排水管件	个	公元75弯头	B	材质需按同批胶管确认
排水三通	品牌：公元；规格：50；类型：三通		工程材料/排水管件	个	公元50三通	B	材质需按同批胶管确认
排水弯头	品牌：公元；规格：50；类型：弯头		工程材料/排水管件	个	公元50弯头	B	材质需按同批胶管确认
排水异径三通	品牌：公元；规格：75*50；类型：三通		工程材料/排水管件	个	公元75*50三通	B	材质需按同批胶管确认
金属软管	材质：金属；长度：80公分		工程材料/水暖五金	个	80公分金属软管	C	接口规格缺失，无法区分接口 SKU
金属软管	材质：金属；长度：40公分		工程材料/水暖五金	个	40公分金属软管	C	接口规格缺失，无法区分接口 SKU
生料带	类型：密封带		工程材料/水暖辅材	个	生料带	A	
PPR阀门	品牌：公元；规格：25；类型：阀门		工程材料/PPR管件	个	公元25PPR阀门	A	
记号笔	类型：记号笔		办公低耗/文具	个	记号笔	C	颜色缺失，无法区分颜色 SKU
PPR弯头	规格：25；类型：弯头		工程材料/PPR管件	个	25PPR弯头	B	原始未提供品牌；需复核是否与同类 PPR 弯头合并
羊毛刷	规格：4寸		工具器具/涂装工具	支	4寸羊毛刷	B	与其他批次同物料单位待统一
冲击钻头	规格：6厘		工具器具/工具配件	支	6厘冲击钻头	A	
冲击钻头	规格：20厘		工具器具/工具配件	支	20厘冲击钻头	A	
美工刀	品牌：得力		工具器具/手动工具	支	得力美工刀	A	
玻璃刮	类型：玻璃刮		清洁用品/清洁工具	支	玻璃刮	A	
膨胀螺丝	规格：14*120		五金备件/紧固件	支	14*120膨胀螺丝	A	
不锈钢洗脸盆	材质：不锈钢；规格：120*80；特征：加厚		工程材料/洁具	套	不锈钢120*80加厚洗脸盆	A	
插头	品牌：德力西；电流：16A		电气材料/插头插座	个	德力西16A插头	C	极数/孔型缺失，无法区分插头 SKU
BV电线	型号：BV；截面积：2.5平方		电气材料/电线电缆	米	BV2.5平方电线	B	原始未提供品牌；需复核是否与同类 BV 电线合并
PPR给水管	规格：32；用途：给水		工程材料/PPR管件	米	32PPR给水管	B	品牌缺失
铜止回阀	品牌：埃美柯；材质：铜；规格：32；类型：止回阀		工程材料/阀门	个	32埃美柯铜止回阀	A	
蹲便器	类型：平面蹲厕		工程材料/洁具	个	平面蹲厕	C	尺寸/排水方式缺失，无法区分洁具 SKU
冲水水箱	用途：冲水		工程材料/洁具配件	个	冲水水箱	C	容量/安装方式缺失，无法区分水箱 SKU
小便斗	类型：小便斗		工程材料/洁具	个	小便斗	C	规格/感应方式缺失，无法区分小便斗 SKU
按压水龙头	类型：按压		工程材料/水暖五金	个	按压龙头	C	材质/接口规格缺失，无法区分龙头 SKU
玻璃胶枪	用途：打玻璃胶		工具器具/涂装工具	个	玻璃胶枪	A	
钢圈	材质：钢；规格：100*108*5；加工：是		加工件/金属加工件	个	加工100*108*5钢圈	C	加工件图纸/材质牌号缺失
重油污清洗剂	品牌：宝雅；用途：重油污		清洁用品/清洁剂	KG	宝雅重油污清洗剂	A	
不锈钢角阀	材质：不锈钢；规格：4分		工程材料/阀门	个	4分不锈钢角阀	A	
不锈钢内接	材质：不锈钢；规格：4分；连接：内接		工程材料/水暖管件	个	4分不锈钢内接	A	
不锈钢外接	材质：不锈钢；规格：4分；连接：外接		工程材料/水暖管件	个	4分不锈钢外接	A	
不锈钢三通	材质：不锈钢；规格：4分；类型：三通		工程材料/水暖管件	个	4分不锈钢三通	A	
拖把	规格：大		清洁用品/清洁工具	个	大拖把	A	
洗脸盆龙头	用途：洗脸盆		工程材料/水暖五金	个	洗脸盆龙头	C	材质/接口规格缺失，无法区分龙头 SKU
