标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
门锁	用途：办公室门		五金备件/门锁锁具	个	办公室门锁	C	锁体型号/开孔规格缺失，无法区分不同门锁SKU
漏电断路器	品牌：施耐德；极数：4P；电流：250A；类型：漏电二合一		电气材料/低压电器	个	4P*250A施耐德漏电二合一	A	
热缩管	规格：3cm		电气材料/绝缘材料	米	3CM热缩管	A	
热缩管	规格：2cm		电气材料/绝缘材料	米	2CM热缩管	A	
热缩管	规格：1.5cm		电气材料/绝缘材料	米	1.5CM热缩管	A	
电工胶布	品牌：3M；颜色：透明		电气材料/绝缘材料	个	3M透明电胶布	A	
聚氨酯堵漏剂	包装规格：20kg		化工耗材/堵漏剂	桶	聚氨酯堵漏剂20KG	A	
灯管	功率：36W		电气材料/照明	套	36W灯管	C	灯管类型（LED/荧光）及长度缺失，36W不足以唯一确定SKU
USB插座	品牌：公牛；USB电流：2.1A		电气材料/插座开关	个	2.1AUSB公牛插座；2.1ASUB公牛插座	B	输入别名疑似将USB写作SUB，按名称和规格归一为USB
线盒	安装方式：明装		电气材料/电气辅材	个	明装线盒	C	规格尺寸缺失，明装线盒无法按尺寸区分SKU
电箱	型号/规格：P230		电气材料/配电箱	个	P230电箱	B	P230语义未明，按原型号/规格保留
五孔插座	品牌：公牛；类型：五孔		电气材料/插座开关	个	公牛五孔插座	C	明装/暗装未说明，可能影响插座SKU区分
四位开关	品牌：公牛；位数：4位		电气材料/插座开关	个	公牛4位开关	C	明装/暗装未说明，可能影响开关SKU区分
一位开关	品牌：公牛；位数：1位		电气材料/插座开关	个	公牛1位开关	C	明装/暗装未说明，可能影响开关SKU区分
二位开关	品牌：公牛；位数：2位		电气材料/插座开关	个	公牛2位开关	C	明装/暗装未说明，可能影响开关SKU区分
LED灯泡	品牌：公牛；功率：40W		电气材料/照明	个	40WLED公牛灯泡	C	色温/灯头规格缺失，可能影响LED灯泡SKU区分
BV电线	品牌：起帆；型号：BV；截面积：2.5平方		电气材料/电线电缆	米	起帆BV2.5平方电线；BV2.5起帆平方电线	C	颜色缺失，BV电线通常需按颜色区分SKU
BV电线	品牌：起帆；型号：BV；截面积：10平方		电气材料/电线电缆	米	起帆BV10平方电线	C	颜色缺失，BV电线通常需按颜色区分SKU
BV电线	品牌：起帆；型号：BV；截面积：25平方		电气材料/电线电缆	米	起帆BV25平方电线	C	颜色缺失，BV电线通常需按颜色区分SKU
紧线器	额定载荷：1T		工具器具/电力工具	套	1T紧线器	A	
木方	规格：4*9		建筑材料/模板木方	米	4*9木方	B	输入规格单位未确认，按原4*9保留
木方	规格：4*4		建筑材料/模板木方	米	4*4木方	B	输入规格单位未确认，按原4*4保留
铁钉	长度：2寸		五金备件/紧固件	斤	2寸铁钉	A	
不锈钢合页	材质：不锈钢；规格：4寸		五金备件/门窗五金	套	4寸不锈钢合页	A	
墙纸	包装/规格：大卷		装修材料/墙面材料	卷	墙纸大卷	C	款式/材质缺失，大卷墙纸不足以区分SKU
热水壶	类型：热水壶		办公生活用品/小电器	个	热水壶	C	容量/品牌缺失，热水壶无法唯一确定SKU
PPR管	品牌：公元；规格：25		工程材料/PPR管件	米	公元25PPR管	A	
PPR直通	品牌：公元；规格：25；类型：直通		工程材料/PPR管件	个	公元25PPR直通	A	
PPR弯头	品牌：公元；规格：25；类型：弯头		工程材料/PPR管件	个	公元25PPR弯头	A	
PPR热熔机	品牌：公元；用途：PPR热熔		工具器具/管道工具	个	公元热熔机	C	型号缺失，PPR热熔机按品牌和用途低精度建候选
PPR管剪刀	品牌：公元；用途：PPR管剪切		工具器具/管道工具	个	公元PPR剪刀	A	
石子	粒径：4-6mm		建筑材料/水泥砂石	斤	4-6MM石子	A	
工业插头	品牌：公牛；电压：380V；电流：25A		电气材料/插头插座	个	公牛380V*25A插头	C	极数/插脚数缺失，工业插头可能无法唯一确定SKU
电工胶布	品牌：3M		电气材料/绝缘材料	个	3M电胶布	C	颜色缺失，电工胶布通常需按颜色区分SKU
