标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
吊钩保险扣	适配：行车吊钩；额定载荷：20T；部件：保险扣		吊装索具/吊钩配件	个	行车吊钩保险扣20T	C	适配吊钩型号/材质缺失，会影响吊钩保险扣SKU区分
吊钩保险扣	适配：行车吊钩；额定载荷：16T；部件：保险扣		吊装索具/吊钩配件	个	行车吊钩保险扣16T	C	适配吊钩型号/材质缺失，会影响吊钩保险扣SKU区分
不锈钢单向阀	材质：不锈钢；规格：1寸；类型：单向阀		阀门/单向阀	只	不锈钢单向阀1寸	C	压力等级/连接形式缺失，会影响单向阀SKU区分
阻燃挤塑板	特性：阻燃；尺寸：2.2m*0.6m*0.1m	数量描述：116块	保温材料/挤塑板	平方	阻燃挤塑板2.2m*0.6m*0.1m*116块	C	阻燃等级/密度缺失，会影响挤塑板SKU区分
阻燃挤塑板	特性：阻燃；尺寸：2.2m*0.6m*0.05m	数量描述：64块	保温材料/挤塑板	平方	阻燃挤塑板2.2m*0.6m*0.05m*64块	C	阻燃等级/密度缺失，会影响挤塑板SKU区分
开关底盒	品牌：公牛；安装方式：明装；部件：底盒底座		电气/开关插座辅材	套	公牛明装开关底盒底座	C	规格/孔位缺失，会影响开关底盒SKU区分
硅晶板	颜色：透明；尺寸：0.8m*0.45m*0.05m		板材/硅晶板	块	透明硅晶板0.8m*0.45m*0.05m	C	材质等级/用途缺失，会影响硅晶板SKU区分
墙纸	颜色：白色；尺寸：3m*0.325m		建筑装饰材料/墙纸	块	白色墙纸3m*0.325m	C	材质/胶面缺失且单位是否按块采购需确认
多层实木板	材质：多层实木；尺寸：2.44m*1.22m*0.018m		木材板材/实木板	张	多层实木板2.44m*1.22m*0.018m	C	等级/环保等级缺失，会影响实木板SKU区分
油漆滚筒	用途：油漆		涂装工具/滚筒	包	油漆滚筒	C	每包数量/尺寸缺失，会影响油漆滚筒按包采购的SKU区分
滚筒柄	部件：滚筒柄		涂装工具/滚筒配件	把	滚筒柄	C	适配滚筒宽度/柄长缺失，会影响滚筒柄SKU区分
钻头	适用材质：不锈钢；直径：3.2mm		工具/钻头	支	不锈钢钻头3.2mm	C	钻头材质/柄型缺失，会影响钻头SKU区分
镀锌板剪刀	材质：合金钢；用途：镀锌板；规格：20寸		工具/剪切工具	把	合金钢镀锌板剪刀20寸	C	剪切厚度/品牌缺失，会影响镀锌板剪刀SKU区分
铣刀钻头	适用材质：不锈钢；直径：4mm		工具/钻铣刀具	支	不锈钢铣刀钻头4mm	C	刀具类型/柄径缺失，会影响钻铣刀具SKU区分
铣刀钻头	适用材质：不锈钢；直径：10mm		工具/钻铣刀具	支	不锈钢铣刀钻头10mm	C	刀具类型/柄径缺失，会影响钻铣刀具SKU区分
管型接线端子	类型：管型；适配线径：4平方		电气/接线端子	包	管型接线端子4平方	C	每包数量/颜色/端头形式缺失，会影响接线端子SKU区分
切割片	直径：Φ355		磨具磨料/切割片	片	切割片Φ355	C	厚度/孔径/材质缺失，会影响切割片SKU区分
钢丝刷	柄材质：铁柄；类型：钢丝刷		涂装工具/刷子	个	铁柄钢丝刷	C	尺寸/形制缺失，会影响钢丝刷SKU区分
钻头	适用材质：不锈钢；直径：6mm		工具/钻头	支	不锈钢钻头6mm	C	钻头材质/柄型缺失，会影响钻头SKU区分
钻头	适用材质：不锈钢；直径：4mm		工具/钻头	支	不锈钢钻头4mm	C	钻头材质/柄型缺失，会影响钻头SKU区分
电钻夹头钥匙	适配：电钻夹头；部件：钥匙		电动工具/电钻配件	把	电钻夹头钥匙	C	适配夹头规格缺失，会影响电钻夹头钥匙SKU区分
防水乳胶漆	品牌：立邦；特性：防水；包装：18KG		油漆涂料/乳胶漆	桶	立邦防水乳胶漆18KG	C	颜色/型号缺失，会影响乳胶漆SKU区分
