标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
铁丝	材质：铁		五金耗材/金属丝	公斤	铁丝	C	线径/表面处理缺失，无法唯一确定铁丝SKU
高压清洗喷枪	用途：高压清洗；类型：喷枪		清洗设备/高压清洗机配件	把	高压清洗喷枪	C	压力等级/接口/适配型号缺失，无法稳定区分高压清洗喷枪SKU
镀锌补心	规格：80*65；表面处理：镀锌；类型：补心		管件/镀锌管件	个	80*65镀锌补心	C	螺纹标准/材质缺失，无法稳定区分镀锌补心SKU
振动电机套装	进口：是；类型：振动电机；配置：整套		设备备件/电机	套	进口振动电机整套	C	品牌/功率/型号缺失，无法唯一确定振动电机套装SKU
泥浆比重计	用途：泥浆比重测量		工具/测量工具	套	泥浆比重计	C	量程/精度缺失，无法稳定区分泥浆比重计SKU
高压胶管	规格：100；形态：胶管		液压/高压管路	米	100高压胶管	C	压力等级/层数缺失，无法稳定区分高压胶管SKU
高压接头	规格：100；类型：接头		液压/高压管路	个	100高压接头	C	螺纹/连接形式/压力等级缺失，无法稳定区分高压接头SKU
加厚铝合金扣	规格：100；材质：铝合金；特征：加厚		液压/高压管路	个	100加厚铝合金扣	C	连接形式/适配对象缺失，无法稳定区分铝合金扣SKU
加厚铜接头	规格：100；材质：铜；特征：加厚		液压/高压管路	个	100加厚铜头	C	连接形式/螺纹或接口缺失，无法稳定区分铜接头SKU
高强度螺丝	规格：M30*100；强度等级：12.9		紧固件/螺丝	个	M30*100/12.9级螺丝	C	头型/材质/表面处理缺失，无法稳定区分高强度螺丝SKU
螺母	规格：M30		紧固件/螺母	个	30螺母	C	材质/强度等级缺失，无法稳定区分螺母SKU
垫片	规格：M30		紧固件/垫圈	个	30垫片	C	平垫/弹垫/材质缺失，无法稳定区分垫片SKU
隔环加工件	加工：是；型号/规格：2350；部件：隔环		定制件/机械加工件	个	加工隔环2350	C	图纸/材质/完整尺寸缺失，定制件无法唯一确定SKU
无缝钢管	外径：76mm；壁厚：8mm		钢材/钢管	米	76*8MM无缝管	B	材质/执行标准缺失，按外径和壁厚先建候选
高强度螺丝	规格：M30*80；强度等级：10.8		紧固件/螺丝	个	M30*80/10.8级螺丝	C	头型/材质/表面处理缺失，无法稳定区分高强度螺丝SKU
扁平吊装带	额定载荷：2T；长度：2米；颜色：彩色		吊装索具/吊带	条	彩色吊带2T*2米	B	材质/安全系数缺失，按载荷和长度先建候选
手拉葫芦	额定载荷：2T；链长：3米		吊装索具/葫芦	台	2T*3米手拉葫芦	B	品牌/认证标准缺失，按载荷和链长先建候选
垃圾袋	规格：120		行政后勤/清洁用品	个	120垃圾袋	C	完整尺寸/厚度/包装数量缺失，无法稳定区分垃圾袋SKU
金属测绳	材质：金属；类型：测绳		工具/测量工具	米	金属测绳	C	量程/刻度精度缺失，单位按原表米保留需复核
扁平吊装带	执行标准：国标；额定载荷：5T；长度：8米；颜色：彩色		吊装索具/吊带	条	国标彩色吊带5T*8米	B	材质/安全系数缺失，按载荷、长度和国标描述先建候选
安全网	尺寸：6*1.8米；特征：加厚		安全防护/防护网	张	6*1.8米加厚安全网	C	材质/网孔/执行标准缺失，无法稳定区分安全网SKU
清洗剂泵头	品牌：黑猫；用途：清洗剂；部件：泵头		清洗设备/配件	个	黑猫清洗剂泵头	C	适配型号/接口缺失，无法稳定区分泵头SKU
游标卡尺	品牌：得力；量程：300mm；精度等级：高精度		工具/测量工具	支	300mm得力高精度卡尺	B	具体精度/型号缺失，按品牌、量程和高精度描述先建候选
尼龙绳	规格：16；材质：尼龙		绳索/尼龙绳	米	16尼龙绳	C	规格16未说明直径/单位，承载/编织结构缺失
高压胶水带	规格：65；颜色：蓝色；特征：加厚		液压/高压管路	米	65加厚蓝色胶水带	C	“胶水带”是否为胶水管/胶管需确认，压力等级缺失
