标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
电动油脂泵	容量：6L；出口数：3出口；配置：带时控器		润滑设备/油脂泵	台	电动油脂泵6L-3出口带时控器	C	电压/压力/品牌缺失，会影响电动油脂泵SKU区分
泥浆泵活塞	适配型号：BW-250；部件：活塞		设备备件/泥浆泵配件	只	泥浆泵活塞BW-250	B	材质/厂家缺失，按适配型号先建候选
泥浆泵活塞	适配型号：BW-150；部件：活塞		设备备件/泥浆泵配件	只	泥浆泵活塞BW-150	B	材质/厂家缺失，按适配型号先建候选
电柜散热风机	用途：电柜散热；类型：风机		电气/配电柜散热	只	电柜散热风机	C	电压/尺寸/风量缺失，会影响电柜散热风机SKU区分
水下连接器	环境：水下；结构：四电二光		电气/水下连接器	套	水下连接器四电二光	C	防水等级/接口/耐压深度缺失，会影响水下连接器SKU区分
水下连接器堵头	适配：水下连接器；类型：堵头		电气/水下连接器	套	水下连接器堵头	C	适配型号/防水等级缺失，会影响堵头SKU区分
双电源转换器	电压：220V；极数：2P；电流：20A		电气/低压电器	只	双电源转换器220V-2P-20A	B	切换方式/型号缺失，按电压/极数/电流先建候选
光纤交换机	端口：二光四电		弱电安防/网络设备	台	光纤交换机二光四电	C	速率/品牌/供电方式缺失，会影响光纤交换机SKU区分
变焦摄像头	功能：变焦		弱电安防/监控设备	个	变焦摄像头	C	品牌/分辨率/焦距缺失，无法稳定区分摄像头SKU
双电源转换器	电压：24V		电气/低压电器	只	双电源转换器24V	C	极数/电流/型号缺失，无法稳定区分双电源转换器SKU
漏电保护器	品牌：德力西；极数：2P；额定电流：20A		电气/低压电器	只	德力西漏保开关2P/20A	C	漏电动作电流/分断能力缺失，会影响漏电保护器SKU区分
棉口罩	材质：棉；类型：口罩		劳保耗材/呼吸防护	只	棉口罩	C	层数/防护等级缺失，会影响口罩SKU区分；与既有同类可合并需复核
护目镜	类型：护目眼镜		劳保耗材/眼面防护	付	护目眼镜	C	防护等级缺失，会影响护目镜SKU区分；与既有同类可合并需复核
焊工手套	用途：焊工防护		劳保耗材/手套	付	焊工手套	C	材质/长度/耐温等级缺失，会影响焊工手套SKU区分
