标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
除胶剂	类型：除胶剂		清洁化学品/除胶剂	瓶	除胶剂	C	品牌/容量缺失，无法区分包装SKU；SDS需验收复核
泡沫清洗剂	类型：泡沫清洗剂		清洁化学品/清洗剂	瓶	泡沫清洗剂	C	品牌/容量缺失，无法区分包装SKU；SDS需验收复核
接地桩套件	表面处理：镀锌；规格：18*1m；配置：带螺丝		电气/接地材料	根	镀锌接地桩18*1m带螺丝	B	输入为套件但单位为根，材质/镀层厚度缺失
地毯刷	用途：地毯清洁		清洁工具/刷子	个	地毯刷	C	尺寸/材质缺失，无法区分地毯刷SKU
毛巾	材质：棉；类型：毛巾		行政后勤/生活用品	条	棉毛巾	C	尺寸/克重缺失，无法区分毛巾SKU
竹梯	材质：竹；长度：6米		工具/登高工具	部	6米竹梯	C	承载/节数缺失，登高工具关键规格不足
安全带	类型：全身式；挂钩：大钩		安全防护/安全带	条	全身大钩安全带	C	执行标准/承载等级缺失，坠落防护用品关键规格不足
折叠圆桌	直径：1.5米；结构：折叠；形状：圆形		行政后勤/办公家具	张	1.5米折叠圆桌	B	材质缺失
办公桌	材质：实木；尺寸：1.4米*0.6米		行政后勤/办公家具	张	实木办公桌1.4米*0.6米	B	高度/款式缺失
玻璃胶	品牌：道康宁		胶粘剂/玻璃胶	支	道康宁玻璃胶	C	型号/颜色/容量缺失，无法区分玻璃胶SKU
钻头	品牌：博世；柄型：方柄；直径：Φ14；长度：280		工具/钻头	支	博世方柄钻头Φ14*280	B	材质/适配设备缺失
钻头	品牌：博世；柄型：方柄；直径：Φ12；长度：260		工具/钻头	支	博世方柄钻头Φ12*260	B	材质/适配设备缺失
灭火器	灭火剂重量：2kg		安全消防/灭火器	只	2KG灭火器	C	灭火剂类型/年检状态缺失，无法稳定区分灭火器SKU
灭火器箱	用途：灭火器存放		安全消防/灭火器配件	个	灭火器箱子	C	“灭火器箱子”按灭火器箱归一；适配灭火器规格/材质缺失
PVC管	品牌：公元；材质：PVC；直径：Φ100		管材/PVC管	米	公元PVCΦ100管	C	压力等级/壁厚缺失，无法区分PVC管SKU
PVC弯头	品牌：公元；材质：PVC；直径：Φ100；类型：弯头		管件/PVC管件	只	公元PVCΦ100弯头	C	角度/压力等级缺失，无法区分PVC弯头SKU
PVC止回阀	品牌：公元；材质：PVC；直径：Φ100；类型：止回阀		阀门/PVC阀门	个	公元PVCΦ100止回阀	C	压力等级/连接方式缺失，无法区分PVC阀门SKU
PVC三通	品牌：公元；材质：PVC；直径：Φ100；类型：三通		管件/PVC管件	只	公元PVCΦ100三通	C	压力等级/等径或异径口径缺失，无法区分PVC三通SKU
镀锌水管加工件	加工：是；表面处理：镀锌；规格：4分；连接：两端丝；长度：3米		定制件/管路加工件	根	加工4分镀锌两端丝水管3米	C	定制加工件，材质/压力等级缺失
内丝直接	表面处理：镀锌；规格：4分；连接：内丝；类型：直接		管件/镀锌管件	只	镀锌4分内丝直接头	B	材质/压力等级缺失
手持吸尘器	品牌：小米；类型：手持	特征：大功率	行政后勤/清洁设备	台	小米大功率手持吸尘器	C	型号/功率缺失，无法区分吸尘器SKU
排烟罩	定制：是；材质：不锈钢；尺寸：500*600		定制件/排烟罩	个	订做不锈钢排烟罩500*600	C	定制件图纸/板厚/接口缺失
变径接头	定制：是；材质：不锈钢；规格：450*450；类型：变径接头		定制件/管路接头	个	订做不锈钢变径接头450*450	C	变径两端规格/图纸缺失，450*450口径需复核
空气净化器	品牌：小米；类型：空气净化器		行政后勤/空气净化设备	台	小米空气净化机	C	原名空气净化机按空气净化器归一；型号/适用面积缺失
木方	截面：50*100；长度：4m		建筑材料/木材	根	木方50*100*4m	B	木材材质/等级缺失
自攻螺丝	长度：60mm		紧固件/自攻螺丝	盒	自攻螺丝60mm	C	直径/每盒数量缺失，无法区分自攻螺丝SKU
钻尾螺丝	长度：60mm		紧固件/钻尾螺丝	盒	钻尾螺丝60mm	C	直径/每盒数量缺失，无法区分钻尾螺丝SKU
电工包	品牌：得力；用途：电工		工具/工具包	个	得力电工包	C	型号/尺寸/格数缺失，无法区分工具包SKU
钻头	品牌：博世；柄型：圆柄；直径：Φ10；长度：350		工具/钻头	只	博世圆柄钻头Φ10*350	B	材质/适配设备缺失
钻头	品牌：博世；柄型：二坑二槽；直径：Φ12；长度：350		工具/钻头	只	博世二坑二槽钻头Φ12*350	B	材质/适配设备缺失
钻头	品牌：博世；柄型：二坑二槽；直径：Φ14；长度：350		工具/钻头	只	博世二坑二槽钻头Φ14*350	B	材质/适配设备缺失
钻头	品牌：博世；柄型：二坑二槽；直径：Φ16；长度：350		工具/钻头	只	博世二坑二槽钻头Φ16*350	B	材质/适配设备缺失
二保焊机分流器	适配：500型二保焊机；部件：分流器；材质/类型：陶瓷型		焊接耗材/焊枪配件	只	500型二保焊机分流器陶瓷型	B	适配焊枪型号缺失
二保焊机分流器	适配：350型二保焊机；部件：分流器；材质/类型：陶瓷型		焊接耗材/焊枪配件	只	350型二保焊机分流器陶瓷型	B	适配焊枪型号缺失
水平尺	长度：1m		工具/测量工具	根	水平尺1m	B	精度/材质缺失
水平尺	长度：0.6m		工具/测量工具	根	水平尺0.6m	B	精度/材质缺失
LED灯泡	类型：LED；功率：30W；接口：螺口		电气/照明灯具	只	LED30W螺口灯泡	C	螺口规格/色温缺失，无法区分LED灯泡SKU
高强度全牙螺丝	强度等级：12.9级；规格：M27*100；螺纹：全牙		紧固件/螺丝	套	12.9级M27*100全芽螺丝	C	原表“全芽”疑似全牙并已归一；套件内容缺失
氧气软管	介质：氧气；类型：软管		焊接工具/气体软管	卷	氧气管	C	内径/长度/压力等级缺失，无法区分气体软管SKU
乙炔软管	介质：乙炔；类型：软管		焊接工具/气体软管	卷	乙炔管	C	内径/长度/压力等级缺失，无法区分气体软管SKU
垃圾桶	容量：240L；配置：带盖、带轮		行政后勤/清洁用品	个	240L垃圾桶带盖轮	B	材质/颜色缺失
吊装带	额定载荷：3T；长度：2m		吊装索具/吊带	根	吊带3T*2m	B	材质/安全系数缺失
吊装带	额定载荷：2T；长度：2m		吊装索具/吊带	根	吊带2T*2m	B	与同类可合并为同一标准名称；材质/安全系数缺失
电缆	品牌：起帆；规格：3*2.5+1*1.5		电气/电线电缆	米	起帆电缆线3*2.5+1*1.5	C	电缆型号/电压等级缺失，无法区分电缆SKU
消防水带	特性：防爆；直径：Φ80		安全消防/消防水带	米	防爆消防水带Φ80	C	压力等级/接口标准缺失，无法区分消防水带SKU
消防接头	材质：铝合金；直径：Φ80		安全消防/消防接头	套	铝合金消防接头Φ80	C	接口标准/密封件缺失，无法区分消防接头SKU
抱箍	规格：80；类型：抱箍		管夹/卡箍	只	抱箍80	C	材质/适配管径缺失，规格80口径需复核
高压水带	直径：Φ80；类型：高压水带		管材/高压水带	米	高压水带Φ80	C	压力等级/材质缺失，无法区分高压水带SKU
软玻璃门帘	结构：磁吸式；颜色：透明；尺寸：2.55m*1.46m；厚度：3mm		行政后勤/门帘	付	磁吸式透明软玻璃门帘2.55m*1.46m*3mm	B	材质等级缺失
铁丝	材质：铁；规格：12#		五金耗材/金属丝	KG	铁丝12#	B	表面处理/线径换算缺失
