标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
气管自锁接头	类型：自锁接头		气动元件/气管接头	套	气管自锁接头	C	口径/公母头/螺纹缺失，无法区分气管接头SKU
镀锌方管	规格：3*3*3；表面：镀锌		钢材/型材	米	镀锌方管3*3*3	B	规格单位/材质未明确，按原规格保留
镀锌角钢	规格：4*4*0.5；表面：镀锌		钢材/型材	米	4*4*0.5镀锌角铁	B	规格单位未明确；角铁按角钢归一
后备套夹子	定制：是；部件：后备套夹子		定制件/金属加工件	个	加工后备套夹子	C	名称含义/图纸缺失，定制件低精度候选
螺杆泵电机套装	功率：2.2kW；材质：不锈钢；组成：螺杆泵+电机		设备备件/泵	套	2.2千瓦不锈钢螺杆泵和电机	C	品牌/流量/扬程/电压缺失，无法区分泵组SKU
螺杆泵水封	品牌：耐驰；原装：是；适用设备：螺杆泵		备品备件/密封件	个	原装耐驰螺杆泵水封	C	型号/尺寸/材质缺失，无法区分水封SKU
焊接三通	规格：168；壁厚：10；连接：焊接	类型：三通	管件/焊接管件	个	168*10焊接三通	C	材质/执行标准缺失，无法区分管件SKU
管片螺丝	定制：是；用途：管片		定制件/紧固件	根	加工管片螺丝	C	规格/材质/图纸缺失，无法区分定制螺丝SKU
氧气瓶手推车	适用气体：氧气；轮型：大充气轮		焊割设备/气瓶搬运	台	大充气轮氧气车	B	承重/适配气瓶规格缺失，低精度候选
乙炔瓶手推车	适用气体：乙炔；轮型：大充气轮		焊割设备/气瓶搬运	台	大充气轮乙炔车	B	承重/适配气瓶规格缺失，低精度候选
垫片	规格：M27		紧固件/垫圈	个	M27垫片	C	平垫/弹垫/材质缺失，无法区分垫片SKU
氧气瓶手推车	适用气体：氧气；轮胎：43cm		焊割设备/气瓶搬运	台	43cm轮胎氧气车	B	承重/适配气瓶规格缺失；43cm轮胎是否等同大充气轮需确认
乙炔瓶手推车	适用气体：乙炔；轮胎：43cm		焊割设备/气瓶搬运	台	43cm轮胎乙炔车	B	承重/适配气瓶规格缺失；43cm轮胎是否等同大充气轮需确认
气动扳手	规格：大号		工具/气动工具	台	大气动扳手	C	接口规格/扭矩/品牌缺失，无法区分气动扳手SKU
加长六角螺丝	定制：是；规格：M27*100；头型：六角；特征：加长		定制件/紧固件	个	加工M27*100加长六角螺丝	C	材质/强度等级/图纸缺失，无法区分定制螺丝SKU
雨棚	尺寸：3*4.5m；规格：大		行政后勤/临时设施	套	3*4.5m大雨棚	C	材质/支架配置缺失，无法区分雨棚SKU
膨胀螺丝	规格：M20*150		紧固件/膨胀件	个	M20*150膨胀螺丝	C	材质/类型缺失，无法区分膨胀螺丝SKU
焊条	直径：2.5mm；包装重量：20kg		焊割耗材/焊材	件	2.5焊条20公斤	C	焊条牌号/材质缺失，无法区分焊条SKU
焊条	直径：3.2mm；包装重量：20kg		焊割耗材/焊材	件	3.2焊条20公斤	C	焊条牌号/材质缺失，无法区分焊条SKU
卡箍接头	定制：是；规格：168；类型：卡箍接头		定制件/管路接头	件	加工168卡箍接头	C	材质/图纸未明确；单位需与同类物料统一
消防水带	规格：65；特征：加厚		消防材料/消防水带	米	65加厚消防水带	C	压力等级/接口形式缺失，无法区分消防水带SKU
常闭气动阀	公称直径：DN50；状态：常闭；驱动：气动		气动元件/阀	套	DN50常闭气动阀	C	电磁阀配置/压力等级缺失，无法区分气动阀SKU
手拉葫芦	品牌/标识：三角；额定载荷：1T；链长：6米		吊装索具/葫芦	台	三角手拉葫芦1T*6米	B	认证标准未提供，按品牌/标识、载荷和链长候选
手拉葫芦	品牌/标识：三角；额定载荷：2T；链长：6米		吊装索具/葫芦	台	三角手拉葫芦2T*6米	B	认证标准未提供，按品牌/标识、载荷和链长候选
药芯焊丝	直径：1.2mm；类型：药芯焊丝		焊割耗材/焊材	件	1.2药芯焊丝	C	牌号/包装重量缺失，无法区分焊丝SKU
无缝钢管	外径：60mm；壁厚：4mm		钢材/钢管	根	60*4无缝管	C	长度/材质/执行标准缺失，无法区分钢管SKU
麻花钻头	规格：9厘；类型：麻花钻		工具耗材/钻头	支	9厘麻花钻头	C	材质/柄型缺失，无法区分钻头SKU
水管加工件	定制：是；规格：6分；用途：水管		定制件/管路接头	根	加工6分水管	C	材质/长度/螺纹缺失，无法区分定制水管件SKU
PPR球阀	品牌：公元；公称直径：DN50；材质：PPR；类型：球阀		PPR管件/阀门	个	公元DN50PPR球阀	B	压力等级缺失，低精度候选
一体式触摸屏	型号：TPC1570；结构：一体式		电气材料/工控配件	套	TPC1570一体式触摸屏	B	同型号触摸屏台/套单位需统一
加厚卡箍	定制：是；规格：89；特征：加厚		定制件/管路接头	个	加工89加厚卡箍	C	材质/图纸缺失，无法区分定制卡箍SKU
加厚卡箍	定制：是；规格：219；特征：加厚		定制件/管路接头	个	加工219加厚卡箍	C	材质/图纸/用途缺失，无法区分定制卡箍SKU
法兰软连接	规格：65*40；连接：法兰		管件/软连接	个	65*40法兰软连接	C	材质/压力等级/长度缺失，无法区分软连接SKU
法兰软连接	规格：65*50；连接：法兰		管件/软连接	个	65*50法兰软连接	C	材质/压力等级/长度缺失，无法区分软连接SKU
PPR三通	品牌：公元；规格：63；材质：PPR；类型：三通		PPR管件/三通	个	公元63 PPR三通	B	压力等级缺失，低精度候选
PPR直通	品牌：公元；规格：63；材质：PPR；类型：直通		PPR管件/直通	个	公元63 PPR直通	B	压力等级缺失，低精度候选
PPR弯头	品牌：公元；规格：63；材质：PPR；类型：弯头		PPR管件/弯头	个	公元63 PPR弯头	C	角度/压力等级缺失，无法区分PPR弯头SKU
PPR管	品牌：公元；规格：63；材质：PPR		PPR管材/管	米	公元63 PPR管	C	压力等级/壁厚缺失，无法区分PPR管SKU
快速接头胶垫	规格：63；适用：快速接头		密封材料/胶垫	个	63快速接头胶垫	C	材质/厚度缺失，无法区分胶垫SKU
PPR球阀	品牌：公元；规格：63；材质：PPR；类型：球阀		PPR管件/阀门	个	公元63PPR球阀	B	压力等级缺失，低精度候选
油布	品类：油布		劳保耗材/覆盖防护	平方	油布	C	材质/克重/幅宽缺失，无法区分油布SKU
胶垫	规格：50		密封材料/胶垫	个	50胶垫	C	材质/厚度/用途缺失，无法区分胶垫SKU
球阀	品牌：埃美柯；公称直径：DN15		阀门/球阀	个	DN15埃美柯球阀	C	材质/压力等级/连接方式缺失，无法区分球阀SKU
布手套	材质：布；结构：双层；特征：加厚		劳保耗材/手套	双	布加厚双层手套	B	布与帆布是否同材质需确认
电焊钳	额定电流：500A		焊割耗材/焊钳	把	500A电焊钳	C	品牌/结构缺失，无法区分电焊钳SKU
电焊钳	额定电流：800A		焊割耗材/焊钳	把	800A电焊钳	C	品牌/结构缺失，无法区分电焊钳SKU
乙炔减压表	适用气体：乙炔		焊割耗材/气体表具	个	乙炔表	C	压力范围/接口规格缺失，无法区分减压表SKU
氧气胶管	长度：30米；颜色：红色；执行标准：国标；适用气体：氧气		焊割耗材/气管	卷	30米国标红色氧气管	C	内径/压力等级缺失，无法区分氧气胶管SKU
端子排	规格：50mm		电气材料/接线端子	个	50mm端子排	C	位数/电流等级缺失，无法区分端子排SKU
电浮球阀	线长：10m；类型：电浮球阀		仪表/液位控制	个	10m长电浮球阀	C	电压/触点形式/材质缺失，无法区分电浮球阀SKU
