标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
铁丝	规格：14号		五金备件/金属丝材	公斤	14号铁丝	A	输入提示与其他记录同物料，单位按本行公斤保留
马路切割片	规格：400；用途：马路切割		工具器具/磨切耗材	块	400马路切片	C	厚度/孔径缺失，400不足以唯一确定切割片SKU
塞尺	材质：铜		工具器具/测量工具	个	铜塞尺	C	规格范围缺失，铜材质不足以唯一确定塞尺SKU
不锈钢球阀	规格：25；材质：不锈钢；类型：球阀		工程材料/阀门	个	25不锈钢球阀	B	压力等级/连接形式缺失，按规格和材质先建候选
电源线	长度：2米		电气材料/电线电缆	条	2米电源线	C	插头类型/线径缺失，2米长度不足以唯一确定电源线SKU
扫把	材质：塑料		劳保耗材/清洁工具	把	塑料扫把	A	
路由器	品牌：华为；速率：1000M		电气材料/网络设备	套	1000M华为路由器	C	型号/端口数缺失，品牌和速率不足以唯一确定路由器SKU
电视支架	适配尺寸：70寸		行政后勤/办公用品	个	70寸电视支架	C	安装方式/承重缺失，70寸适配尺寸不足以唯一确定电视支架SKU
变频空调	品牌：格力；匹数：3匹；类型：变频		设备/通用电器	台	格力3匹变频空调	C	冷暖类型/能效/安装方式或型号缺失，需复核后区分SKU
保险管	电流：32A		电气材料/低压电器	个	32A保险管	C	尺寸/电压/型号缺失，32A不足以唯一确定保险管SKU
打印机电源线	适用设备：打印机；类型：电源线		行政后勤/办公设备配件	条	打印机电源线	C	接口规格缺失，需确认打印机电源线端口类型
打印机数据线	适用设备：打印机；类型：数据线		行政后勤/办公设备配件	条	打印机数据线	C	接口类型/长度缺失，无法区分不同打印机数据线SKU
雾化喷头	用途：加湿；类型：雾化喷头		工程材料/喷淋配件	个	加湿雾化喷头	C	规格/孔径/材质缺失，无法区分不同雾化喷头SKU
泡沫双面胶	基材：泡沫；类型：双面胶		化工耗材/胶粘带	件	泡沫双面胶	C	宽度/长度/每件数量缺失，无法区分泡沫双面胶SKU
胶水	型号：101		化工耗材/胶粘剂	件	101胶水	C	包装容量/品牌缺失，101型号不足以唯一确定胶水SKU
