标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
记号笔	品类：记号笔		办公耗材/书写用品	个	记号笔	C	颜色/粗细缺失，无法稳定区分记号笔SKU；单位支/个需统一
油漆笔	品类：油漆笔		工具耗材/标记用品	个	油漆笔	C	颜色/规格缺失，无法稳定区分油漆笔SKU
透明钢丝软管	公称直径：50；特征：加厚、透明、钢丝增强		管材/软管	米	50加厚透明钢丝管	B	材质/压力等级缺失，按直径和特征先建候选
焊工手套	用途：焊工；特征：加长		劳保耗材/手套	双	加长焊工手套	C	材质/长度缺失，可能影响焊工手套SKU区分
全胶手套	类型：全胶		劳保耗材/手套	双	全胶手套	C	材质/尺码缺失，无法稳定区分手套SKU
油布	特征：加厚		劳保耗材/覆盖防护	平方	加厚油布；油布加厚	C	材质/克重/颜色缺失，无法稳定区分油布SKU
花纹钢板	厚度：3.0mm；表面：花纹		钢材/板材	平方	3.0花纹钢板	B	材质/宽长/理论重量单位需确认，按厚度和表面先建候选
冲孔不锈钢板	尺寸：250*250*3mm；材质：不锈钢；加工：冲孔		定制件/金属加工件	块	250*250*3不锈钢加工冲孔	C	孔径/孔距/材质牌号/图纸缺失，定制加工件需复核
木方垫板	尺寸：200*200*1500mm；加工：是；用途：垫板		定制件/木制加工件	根	加工200*200*1500木方垫板	C	木材种类/防腐要求缺失，定制木制加工件需复核
麻袋	尺寸：70*100		包装材料/袋类	个	70*100麻袋	C	材质/克重缺失，可能影响麻袋SKU区分
棉布	形态：大块		清洁耗材/擦拭材料	kg	大块棉布	C	材质含量/包装规格缺失，无法稳定区分棉布SKU
吸油棉	尺寸：40*50*5；用途：吸油		清洁耗材/吸附材料	个	40*50*5吸油棉	C	尺寸单位、材质和包装数量缺失；标准单位是否应为片需确认
一次性雨衣	类型：一次性；特征：加厚		劳保耗材/雨具	件	一次性加厚雨衣	C	尺码/材质缺失，无法稳定区分雨衣SKU
快硬水泥	类型：快速/快硬		建筑材料/水泥砂石	包	快速水泥	C	强度等级/包装重量缺失，无法稳定区分水泥SKU
雨衣套装	套装：是；特征：加厚		劳保耗材/雨具	套	加厚雨衣套装	C	尺码/材质缺失，无法稳定区分雨衣套装SKU
