标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
桶装水抽水器套装	品牌：子路；包含：抽水器+充电器		行政后勤/饮水设备	套	子路桶装水抽水器+充电器	C	型号/电池容量缺失，会影响抽水器套装SKU区分
工业防潮剂	用途：工业；包装：1KG		化工耗材/防潮剂	包	工业防潮剂1KG	C	成分/适用范围缺失，可能影响防潮剂SKU区分
太阳能4G监控套装	供电：太阳能；通信：4G；套装：三件套		弱电安防/监控设备	套	太阳能4G监控三件套	C	三件套明细/品牌/存储缺失，无法唯一确定监控套装SKU
变频器操作面板	适配设备：变频器；部件：操作面板		自动化/变频器配件	只	变频器操作面板	C	适配品牌/型号缺失，无法唯一确定操作面板SKU
胶管总成	规格：36*2H；层数：2层；长度：2.5米		液压/高压管路	根	胶管36*2H-2层-2.5米	C	长度不同需分SKU；H含义/压力等级/接头形式缺失
胶管总成	规格：36*2H；层数：2层；长度：1米		液压/高压管路	根	胶管36*2H-2层-1米	C	长度不同需分SKU；H含义/压力等级/接头形式缺失
胶管总成	规格：36*2H；层数：2层；长度：3.4米		液压/高压管路	根	胶管36*2H-2层-3.4米	C	长度不同需分SKU；H含义/压力等级/接头形式缺失
胶管总成	规格：36*2H；层数：2层；长度：12米		液压/高压管路	根	胶管36*2H-2层-12米	C	长度不同需分SKU；H含义/压力等级/接头形式缺失
胶管总成	规格：36*2H；层数：2层；长度：10米		液压/高压管路	根	胶管36*2H-2层-10米	C	长度不同需分SKU；H含义/压力等级/接头形式缺失
胶管总成	规格：36*2H；层数：2层；长度：11米		液压/高压管路	根	胶管36*2H-2层-11米	C	长度不同需分SKU；H含义/压力等级/接头形式缺失
胶管总成	规格：36*2H；层数：2层；长度：14米		液压/高压管路	根	胶管36*2H-2层-14米	C	长度不同需分SKU；H含义/压力等级/接头形式缺失
螺纹锁固胶	品牌：乐泰；型号：243		胶粘剂/螺纹锁固胶	只	乐泰243胶水	B	容量/包装单位需确认，按品牌和型号先建候选
百兆交换机	品牌：海康威视；端口：5口；速率：百兆		弱电安防/网络设备	台	海康威视5口百兆交换机	C	是否PoE/型号缺失，会影响交换机SKU区分
刀开关手柄	型号：HD13；额定电流：1000A；部件：手柄		电气/开关配件	套	HD13刀开关手柄1000A	C	适配刀开关规格/厂家缺失，可能影响配件匹配
带盖方桶	材质：牛筋；容量：6L；配置：带盖	地点备注：蕰川路	容器/塑料桶	只	牛筋带盖方桶6L（蕰川路）	B	地点备注不进标准名；尺寸/颜色缺失需确认
加厚油布	尺寸：12米*12米；特征：加厚		覆盖材料/油布	㎡	加厚油布12米*12米	C	材质/克重/防水等级缺失，无法稳定区分油布SKU
加厚油布	尺寸：10米*8米；特征：加厚		覆盖材料/油布	㎡	加厚油布10米*8米	C	材质/克重/防水等级缺失，无法稳定区分油布SKU
油漆滚筒	规格：大号；用途：油漆		涂装工具/滚筒	只	大油漆滚筒；油漆滚筒大号	C	尺寸/毛长缺失，仅大号无法稳定区分滚筒SKU
彩条布	颜色：三色；尺寸：4m*30m		覆盖材料/彩条布	㎡	三色彩条布4m*30m	C	克重/材质缺失，可能影响彩条布SKU区分
泥桶	用途：泥浆/砂浆		施工工具/桶具	只	泥桶	C	容量/材质缺失，无法稳定区分泥桶SKU
羊毛刷	规格：3寸；材质：羊毛		涂装工具/刷子	把	羊毛刷3寸	A	
防锈漆	品牌：立邦；颜色：桔黄色；包装：18kg		油漆涂料/防锈漆	桶	立邦桔黄色防锈漆18kg	B	型号/适用底材/SDS缺失，需后续确认
松香水	包装：12KG；类型：松香水		油漆涂料/稀释清洗剂	桶	松香水12KG	C	品牌/用途/SDS缺失，可能影响采购和验收
防锈漆	品牌：立邦；颜色：深黄；包装：18KG		油漆涂料/防锈漆	桶	立邦深黄防锈漆18KG	B	型号/适用底材/SDS缺失，需后续确认
防锈漆	品牌：立邦；颜色：黑色；包装：18KG		油漆涂料/防锈漆	桶	立邦黑色防锈漆18KG	B	型号/适用底材/SDS缺失，需后续确认
防锈漆	品牌：立邦；颜色：大红；包装：18KG		油漆涂料/防锈漆	桶	立邦大红防锈漆18KG	B	型号/适用底材/SDS缺失，需后续确认
防锈漆	品牌：立邦；颜色：淡黄灰；包装：18KG		油漆涂料/防锈漆	桶	立邦淡黄灰防锈漆18KG	B	型号/适用底材/SDS缺失，需后续确认
防锈漆	品牌：立邦；颜色：桔红；包装：18KG		油漆涂料/防锈漆	桶	立邦桔红防锈漆18KG	B	型号/适用底材/SDS缺失，需后续确认
防锈漆	品牌：立邦；颜色：铁红；包装：18KG		油漆涂料/防锈漆	桶	立邦铁红防锈漆18KG；立邦铁红防锈漆18kg	B	型号/适用底材/SDS缺失，需后续确认
稀释剂	包装：12KG		油漆涂料/稀释剂	桶	稀释剂12kg；稀释剂12KG	C	品牌/适配漆种/SDS缺失，会影响稀释剂SKU区分
油漆滚筒	规格：小号；用途：油漆		涂装工具/滚筒	只	小油漆滚筒；油漆滚筒小号	C	尺寸/毛长缺失，仅小号无法稳定区分滚筒SKU
羊毛刷	规格：2寸；材质：羊毛		涂装工具/刷子	把	羊毛刷2寸	A	
烟灰桶	材质：不锈钢；类型：烟灰桶		行政后勤/清洁用品	只	不锈钢烟灰桶	C	容量/尺寸缺失，无法稳定区分烟灰桶SKU
钢丝轮	用途：打磨；类型：钢丝轮		磨具磨料/钢丝轮	只	打磨钢丝轮	C	外径/孔径/丝径缺失，无法稳定区分钢丝轮SKU
护目镜	类型：多功能护目眼镜		劳保耗材/眼面防护	付	多功能护目眼镜	C	防护等级/材质缺失，可能影响护目镜SKU区分
帆布手套	材质：帆布		劳保耗材/手套	付	帆布手套	C	尺码缺失，可能影响手套SKU区分
橡胶手套	材质：橡胶		劳保耗材/手套	付	橡胶手套	C	尺码/长度/耐化学等级缺失，可能影响手套SKU区分
角磨机	品牌：东城；类型：角磨机		电动工具/角磨机	台	东城角磨机	C	功率/砂轮片规格/型号缺失，无法唯一确定角磨机SKU
防尘面罩	品牌：3M；类型：防尘面罩		劳保耗材/呼吸防护	只	3M防尘面罩	C	型号/防护等级缺失，会影响防尘面罩SKU区分
防尘面罩过滤芯	品牌：3M；适配：防尘面罩；部件：过滤芯		劳保耗材/呼吸防护	只	3M防尘面罩过滤芯	C	适配型号/过滤等级缺失，会影响过滤芯SKU区分
钢制铭牌	定制：是；材质：钢制		定制件/标识铭牌	件	定制铭牌钢制	C	尺寸/文字内容/图纸缺失，无法唯一确定定制铭牌SKU
槽钢	规格：10#		钢材/型钢	米	10#槽钢；10#型槽钢；槽钢10#	B	材质/执行标准缺失，需后续确认
槽钢	规格：8#		钢材/型钢	米	8#槽钢	B	材质/执行标准缺失，需后续确认
拖线板	品牌：公牛；线长：3m；插位：6位		电气/插排	只	公牛拖线板3m6位	C	额定电流/型号缺失，会影响拖线板SKU区分
牛筋手套	材质/俗称：牛筋		劳保耗材/手套	付	牛筋手套	C	牛筋可能为乳胶/橡胶俗称；尺码缺失
抹布	类型：抹布		清洁耗材/抹布	KG	抹布	C	材质/包装缺失，无法稳定区分抹布SKU
蛇皮袋	类型：蛇皮袋		包装材料/编织袋	条	蛇皮袋	C	尺寸/承重/材质缺失，无法稳定区分编织袋SKU
马夹袋	类型：马夹袋		包装材料/塑料袋	条	马夹袋	C	尺寸/厚度缺失，无法稳定区分塑料袋SKU
三脚插头	品牌：公牛；类型：三插头		电气/插头插座	只	公牛三插头	C	额定电流/型号缺失，会影响插头SKU区分
插线板	品牌：公牛；插位：6位；线长：3米		电气/插排	只	公牛6位对插线板3米	C	“对插线板”是否为拖线板需确认；额定电流/型号缺失
