标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
LED灯泡	品牌：公牛；功率：20W		电气材料/照明	个	公牛20WLED灯泡	C	灯头规格/色温缺失，可能影响LED灯泡SKU区分
焊条	型号：507；直径：3.2		焊接耗材/焊条	件	507*3.2焊条	B	包装重量缺失；直径单位按原始规格保留
蝶阀	品牌：埃美柯；规格：DN65；特征：加厚		工程材料/阀门	个	DN65埃美柯加厚蝶阀	C	材质缺失，可能影响阀门SKU区分
不锈钢球阀	品牌：埃美柯；规格：DN65；材质：不锈钢；特征：加厚		工程材料/阀门	个	DN65埃美柯加厚不锈钢球阀	A	
不锈钢球阀	品牌：埃美柯；规格：40；材质：不锈钢；特征：加厚		工程材料/阀门	个	40埃美柯加厚不锈钢球阀	A	
调和油漆	颜色：白色；类型：调和油漆		化工耗材/涂料	桶	白色调和油漆	C	容量缺失，可能影响油漆SKU区分
彩条布	规格：12*30米		工程材料/篷布油布	平方	12*30米彩条布	A	
漏电保护器	品牌：德力西；电流：400A；极数：4P		电气材料/低压电器	个	400A4P德力西漏电保护器	A	
漏电保护器	品牌：德力西；电流：250A；极数：4P		电气材料/低压电器	个	250A4P德力西漏电保护器	A	
太阳能4G摄像头	供电：太阳能；通信：4G；清晰度：4K		电气材料/安防监控	个	太阳能4G4K摄像头	C	品牌/存储规格缺失，可能影响摄像头SKU区分
不锈钢名牌	定制：是；材质：不锈钢；规格：120*60		定制件/标识铭牌	个	定做不锈钢名牌120*60	A	定制图文内容不作为物料规格
不锈钢名牌	定制：是；材质：不锈钢；规格：100*80		定制件/标识铭牌	个	定做不锈钢名牌100*80	A	定制图文内容不作为物料规格
不锈钢名牌	定制：是；材质：不锈钢；规格：30*60		定制件/标识铭牌	个	定做不锈钢名牌30*60	A	定制图文内容不作为物料规格
热水器隔电堵	用途：热水器；功能：隔电		工程材料/水暖五金	个	热水器隔电堵	C	接口规格缺失，无法区分不同隔电堵SKU
热水器安全阀	用途：热水器；类型：安全阀		工程材料/阀门	个	热水器安全阀	C	接口规格缺失，无法区分不同安全阀SKU
水龙头花洒套装	组合：水龙头+花洒		工程材料/水暖五金	套	水龙头花洒	C	材质、接口规格缺失，会影响套装SKU区分；输入单位为个，按套装规范为套，需与同物料统一
喷漆	品牌：三和；颜色：黄色		化工耗材/涂料	支	三和黄色喷漆	C	容量缺失，可能影响喷漆SKU区分
喷漆	品牌：三和；颜色：天蓝色		化工耗材/涂料	支	三和天蓝色喷漆	C	容量缺失，可能影响喷漆SKU区分
扫把	材质：高粱；规格：小		清洁用品/清洁工具	个	高粱小扫把	A	
帆布手套	材质：帆布；特征：加厚、双层		劳保耗材/手套	双	加厚双层帆布手套	A	
螺丝	规格：8*30		五金备件/紧固件	套	8*30螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
螺丝	规格：16*30		五金备件/紧固件	套	16*30螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
螺丝	规格：12*60		五金备件/紧固件	套	12*60螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
挂锁	材质：不锈钢；规格：40；品质：好		五金备件/锁具	个	40好不锈钢挂锁	B	“好”为原始品质描述，具体质量等级需确认
挂锁	材质：不锈钢；规格：40；品质：好；类型：通用		五金备件/锁具	个	40好不锈钢通用挂锁	B	“好”为原始品质描述；与同规格不锈钢挂锁是否合并需确认
螺丝	规格：12*50		五金备件/紧固件	套	12*50螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分；输入提示称与其他行同物料，未在本批合并
切割片	规格：100		工具器具/磨切耗材	块	100切割片	C	厚度/适用材质缺失，无法区分切割片SKU
磨光片	规格：100		工具器具/磨切耗材	块	100磨光片	C	粒度/适用材质缺失，无法区分磨光片SKU
乳胶手套	材质：乳胶；特征：加厚		劳保耗材/手套	双	加厚乳胶手套	A	
牛筋手套	材质/类型：牛筋；特征：加厚		劳保耗材/手套	双	牛筋加厚手套	A	
防护眼镜	颜色：透明		劳保耗材/眼面防护	付	透明防护眼镜	A	
美工刀	类型：美工刀		工具器具/手动工具	支	美工刀	C	品牌/刀片规格缺失，无法区分美工刀SKU
高压水枪过滤总成	适用设备：高压水枪；类型：过滤总成		设备备件/清洗设备配件	套	高压水枪过滤总成	C	适配型号缺失，无法区分清洗设备配件SKU
高压水枪滤芯	适用设备：高压水枪；类型：滤芯		设备备件/滤芯	个	高压水枪滤芯	C	适配型号缺失，无法区分滤芯SKU
垫片	定制：是；规格：12*600*5		定制件/金属加工件	个	定做12*600*5垫片	C	材质/图纸缺失，无法区分定制垫片SKU
碘伏	容量：500ml		劳保耗材/急救用品	瓶	碘伏500ml	A	
止血贴	类型：创可贴/止血贴		劳保耗材/急救用品	张	止血贴	C	尺寸/包装规格缺失，无法区分止血贴SKU
医用绷带	类型：绷带		劳保耗材/急救用品	卷	绷带	C	宽度/长度缺失，无法区分绷带SKU
插头	品牌：公牛；电流：10A		电气材料/插头插座	个	10A公牛插头	C	二插/三插或极数缺失，无法区分插头SKU
白布	材质：纯棉；颜色：白色		劳保耗材/擦拭材料	KG	纯棉大白布；纯棉白布	C	幅宽/等级缺失，可能影响白布SKU区分；输入提示称与其他行同物料，未在本批合并
毛刷	规格：3寸		工具器具/涂装工具	个	3寸毛刷	B	材质/柄型缺失，按3寸毛刷候选
羊毛刷	规格：4寸；材质：羊毛		工具器具/涂装工具	个	4寸羊毛刷	A	
一次性口罩	类型：一次性		劳保耗材/呼吸防护	个	一次性口罩	C	医用/工业及防护等级缺失，无法区分口罩SKU
旋转吊环	载荷：8吨；类型：旋转		吊装索具/吊环	个	8吨旋转吊环	C	螺纹规格缺失，无法区分旋转吊环SKU
防锈漆	颜色：铁红；类型：防锈漆		化工耗材/涂料	桶	铁红防锈漆	C	包装重量/容量及品牌缺失，可能影响防锈漆SKU区分
不锈钢卡扣接头	规格：DN6*6；材质：不锈钢		气动/高压管路	个	DN6*6不锈钢卡扣接头	B	压力等级缺失，需后续确认
不锈钢卡扣接头	规格：DN6*10；材质：不锈钢		气动/高压管路	个	DN6*10不锈钢卡扣接头	B	压力等级缺失，需后续确认
松香水	类型：稀释剂/清洗剂		化工耗材/稀释清洗	桶	松香水	C	包装容量/品牌缺失，无法区分松香水SKU
百叶砂轮片	规格：4寸		工具器具/磨切耗材	块	4寸百叶砂轮片	C	粒度/材质缺失，无法区分百叶砂轮片SKU
割枪	规格：30号		焊接耗材/焊割工具	支	30号割枪	B	气体类型/品牌缺失，需后续确认
