标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
内六角螺丝	规格：M14*120；头型：内六角		紧固件/螺丝	个	14*120内六角螺丝	C	材质/强度等级缺失，可能影响螺丝SKU区分
桶装水电动抽水器	用途：桶装水；驱动：电动		行政后勤/生活用品	个	桶装水电动抽水	B	电源方式/型号缺失，按用途和驱动方式先建候选
手锤	重量：6磅		工具/手动工具	支	6磅手锤	B	柄材质缺失，按重量先建候选
手锤	重量：8磅		工具/手动工具	支	8磅手锤	B	柄材质缺失，按重量先建候选
钉锤	规格：大号		工具/手动工具	支	大钉锤	C	重量/柄材质缺失，“大号”不足以稳定区分钉锤SKU
撬棍	长度：1.3m；规格：30		工具/手动工具	支	1.3m-30撬棍	B	“30”规格含义未明，材质缺失，按原规格保留
撬棍	长度：60cm		工具/手动工具	支	60cm撬棍	C	直径/材质缺失，仅长度不足以稳定区分撬棍SKU
电动扳手套筒	规格：36；适用：电动扳手		工具/套筒	个	36套筒电动	B	方榫规格/长度缺失，按套筒规格先建候选
螺丝组件	规格：M16*70；成套：是		紧固件/螺丝	套	M16*70螺丝	C	头型/强度等级/材质/套包含内容缺失，可能影响螺丝组件SKU区分
卸扣	额定载荷：3T		吊装索具/卸扣	个	3T卸扣	C	型式/销轴形式缺失，可能影响卸扣SKU区分
扁平吊装带	额定载荷：2T；长度：1.5m		吊装索具/吊带	个	2T*1.5m吊带	B	材质/宽度缺失，单位建议复核为条或根
扁平吊装带	额定载荷：1T；长度：1.5m		吊装索具/吊带	个	1T*1.5m吊带	B	材质/宽度缺失，单位建议复核为条或根
手扳葫芦	额定载荷：1.6T；链长：6米		吊装索具/葫芦	个	1.6T*6米手扳葫芦	B	品牌/标准缺失，单位建议复核为台
气管	外径：10mm		气动元件/气管	米	10mm气管	C	材质/颜色/耐压缺失，可能影响气管SKU区分
灭火器	规格：2kg		消防材料/灭火器	个	灭火器2KG	C	灭火剂类型/有效期缺失，无法稳定区分灭火器SKU
灭火器箱	类型：灭火器箱		消防材料/灭火器箱	个	灭火器箱子	C	容纳数量/材质/尺寸缺失，无法稳定区分灭火器箱SKU
气管	外径：16mm		气动元件/气管	米	16mm气管	C	材质/颜色/耐压缺失，可能影响气管SKU区分
钢丝钳	品牌：世达		工具/手动工具	个	世达老虎钳；老虎钳	C	规格长度缺失，无法稳定区分钢丝钳SKU
十字螺丝刀	规格：6*250；类型：十字		工具/手动工具	个	6*250十字螺丝刀	B	材质/品牌缺失，按规格和刀头类型先建候选
一字螺丝刀	规格：6*250；类型：一字		工具/手动工具	个	6*250一字螺丝刀	B	材质/品牌缺失，按规格和刀头类型先建候选
电工胶布	品牌：3M；类型：电工胶布		电气材料/绝缘材料	卷	3m电胶布	C	宽度/长度/颜色缺失，可能影响电工胶布SKU区分
防水电工胶布	宽度：25mm；功能：防水		电气材料/绝缘材料	卷	25mm电工防水胶布	C	长度/品牌/颜色缺失，可能影响防水电工胶布SKU区分
游标卡尺	品牌：得力；量程：300mm；精度：高精度		工具/测量工具	个	300mm得力高精度卡尺	B	精度值需确认，按品牌/量程/高精度描述先建候选
工业插头	电流：25A；电压：380V		电气材料/插头插座	个	25A380V插头	C	极数/防护等级缺失，可能影响工业插头SKU区分
铝合金梯子	定制：是；长度：4米；规格：5.2；材质：铝合金；特征：加厚		定制件/工具治具	个	定做4米*5.2加厚铝合金梯子	C	定制件承重/节数/图纸缺失，规格5.2含义需确认
高压内接头	定制：是；型号/规格：52H42；类型：内接高压		定制件/液压接头	个	定做52H42内接高压	C	定制件螺纹/压力等级/图纸缺失，无法稳定区分高压内接头SKU
高压内接头	定制：是；型号/规格：36H28；类型：内接高压		定制件/液压接头	个	定做36H28内接高压	C	定制件螺纹/压力等级/图纸缺失，无法稳定区分高压内接头SKU
高压内接头	定制：是；型号/规格：30H20；类型：内接高压		定制件/液压接头	个	定做30H20内接高压	C	定制件螺纹/压力等级/图纸缺失，无法稳定区分高压内接头SKU
高压内接头	定制：是；型号/规格：26H20；类型：内接高压		定制件/液压接头	个	定做26H20内接高压	C	定制件螺纹/压力等级/图纸缺失，无法稳定区分高压内接头SKU
雨鞋	品牌：回力；特征：加厚		劳保耗材/足部防护	双	回力加厚雨鞋	C	尺码缺失，无法稳定区分雨鞋SKU
垃圾袋	规格：100*120		行政后勤/清洁用品	个	100*120垃圾袋	C	厚度/每包数量缺失，可能影响垃圾袋SKU区分
硅胶枪	适用材料：玻璃胶/硅胶		工具/施胶工具	个	玻璃硅胶枪	C	结构类型/规格缺失，无法稳定区分硅胶枪SKU
高压内外牙弯头	定制：是；规格：52；连接：内外牙；类型：弯头		定制件/液压接头	个	定做52高压内外牙弯头	C	定制件螺纹/角度/压力等级/图纸缺失，无法稳定区分弯头SKU
创可贴	品类：创可贴		劳保耗材/急救用品	个	创可贴	B	包装规格需确认，按通用品类先建候选
立式灭火标志	类型：立式；用途：灭火标志		消防材料/消防标识	套	立式灭火标志	C	尺寸/材质缺失，无法稳定区分消防标识SKU
鼓风机	功率：2.2kW		设备备件/风机	个	2.2千瓦鼓风机	C	风量/风压/电压/型号缺失，无法稳定区分鼓风机SKU
电焊机套装	配置：含焊线		焊割设备/焊机	套	电焊机含线	C	型号/功率/电压/焊机类型缺失，无法稳定区分电焊机套装SKU
一次性雨衣	类型：一次性；特征：加厚		劳保耗材/雨具	个	一次性加厚雨衣	B	单位件/套/个需统一，按一次性加厚雨衣先建候选
高压清洗机	品牌：黑马；电压：380V；功率：5.5kW		清洗设备/高压清洗机	套	黑马380V*5.5千瓦高压清洗机	C	压力/流量/型号缺失，无法稳定区分高压清洗机SKU
五点式安全带	型式：五点式；缓冲：是		安全防护/高处防护	个	五点式缓冲安全带	C	认证标准/挂钩类型缺失，可能影响安全带SKU区分
氧气瓶手推车	适用气体：氧气；类型：手推车		焊割设备/气瓶搬运	个	氧气手推车	B	适配瓶规格/承重缺失，按适用气体和手推车类型先建候选
乙炔瓶手推车	适用气体：乙炔；类型：手推车		焊割设备/气瓶搬运	个	乙炔手推车	B	适配瓶规格/承重缺失，按适用气体和手推车类型先建候选
角钢	规格：40*5		钢材/型材	米	40*5角铁	C	材质/执行标准缺失，可能影响角钢SKU区分
无缝钢管	外径：48mm；壁厚：4mm		钢材/钢管	米	48*4厚无缝管	C	材质/执行标准缺失，可能影响无缝钢管SKU区分
竹扫把	规格：大号；材质：竹		行政后勤/清洁用品	个	大号竹扫把	B	长度缺失，按大号竹扫把先建候选
铁锹柄	部件：柄；适用：铁锹		工具备件/手动工具配件	个	铁锹柄	C	材质/长度缺失，无法稳定区分铁锹柄SKU
生料带	特征：加厚		管道耗材/密封材料	个	加厚生料带	C	宽度/长度/密度缺失，无法稳定区分生料带SKU
焊接异径接头	规格：168*89；类型：大小头；连接：焊接		管件/焊接管件	个	168*89焊接大小头	C	材质/壁厚/标准缺失，可能影响焊接异径接头SKU区分
焊接异径接头	规格：168*60；类型：大小头；连接：焊接		管件/焊接管件	个	168*60焊接大小头	C	材质/壁厚/标准缺失，可能影响焊接异径接头SKU区分
镀锌三通	公称直径：DN80；表面：镀锌；类型：三通		管件/镀锌管件	个	DN80镀锌三通	C	螺纹/沟槽/焊接连接方式需确认，可能影响镀锌三通SKU区分
