标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
玻璃纸	类型：玻璃纸		包装材料/薄膜纸品	米	玻璃纸	C	宽度/厚度缺失，按米计量时无法区分玻璃纸SKU
双面胶	类型：双面胶		化工耗材/胶粘带	卷	双面胶	C	宽度/长度/基材缺失，无法区分双面胶SKU
吊钩保险卡	载荷：16吨；特征：加厚		吊装索具/吊钩配件	个	16吨吊钩厚保险卡	C	适配吊钩型号/标准缺失，16吨加厚不足以唯一确定配件SKU
变压器	输出：24V 5A		电气材料/电源电器	个	24V5A变压器	C	输入电压/功率形式/安装方式缺失，可能影响变压器SKU区分
棉签	类型：棉签		劳保耗材/清洁用品	包	棉签	C	包装数量缺失，按包计量时无法区分SKU
布手套	特征：加厚、双层		劳保耗材/手套	双	加厚双层布手套	A	
铁丝	规格：12#		五金备件/金属丝材	KG	12#铁丝	B	材质/是否镀锌未说明，按12#铁丝候选
铁丝	规格：14#		五金备件/金属丝材	KG	14#铁丝	B	材质/是否镀锌未说明，按14#铁丝候选
焊接弯头	规格：159*8；特征：加厚；连接：焊接		工程材料/管件	个	159*8加厚弯头焊接	C	材质/角度/压力等级缺失，可能影响管件SKU区分
台式砂轮机	功率：1.1kW；类型：台式砂轮机		工具器具/电动工具	台	1.1千W台式沙轮机	B	别名“沙轮机”规范为砂轮机；砂轮规格/电压缺失
钨钢钻头	材质：钨钢；直径：8mm		工具器具/工具配件	支	钨钢钻头8厘	A	
钨钢钻头	材质：钨钢；直径：10mm		工具器具/工具配件	支	钨钢钻头10厘	A	
钨钢钻头	材质：钨钢；直径：12mm		工具器具/工具配件	支	钨钢钻头12厘	A	
钨钢钻头	材质：钨钢；直径：16mm		工具器具/工具配件	支	钨钢钻头16厘	A	
防盗门锁	材质：不锈钢；用途：防盗门		五金备件/锁具	个	防盗门锁不锈钢	C	锁体规格/开向缺失，无法区分防盗门锁SKU
导轨五孔插座	安装：导轨；类型：五孔插座		电气材料/插头插座	个	导轨5孔插座	B	额定电流/品牌缺失，按导轨五孔插座候选
螺母	规格：M4		五金备件/紧固件	个	M4螺母	C	材质/强度等级缺失，可能影响紧固件SKU区分
螺母	规格：M5		五金备件/紧固件	个	M5螺母	C	材质/强度等级缺失，可能影响紧固件SKU区分
槽钢	规格：80		原材料/型钢	米	80槽钢	C	材质牌号/执行标准缺失，可能影响型钢SKU区分
