标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
气体软管卡箍	适配对象：氧气/乙炔管；类型：卡箍		焊接工具/气体软管配件	只	氧气 乙炔管卡箍	C	适配管径/材质缺失，无法区分卡箍SKU
氧气减压阀	介质：氧气；类型：减压阀		焊接工具/气体仪表	只	氧气减压阀	C	量程/接口缺失，无法区分减压阀SKU
二氧化碳减压阀总成	介质：二氧化碳；类型：减压阀总成		焊接工具/气体仪表	套	二氧化碳减压阀总成	C	量程/接口/适配气瓶缺失，无法区分减压阀总成SKU
记号笔	颜色：黑色		办公用品/书写工具	支	黑色记号笔	C	品牌/粗细缺失，无法区分记号笔SKU
油漆	品牌：立邦；颜色：白色；包装：18KG		油漆涂料/油漆	桶	立邦白色油漆18KG	C	油漆类型/型号缺失，无法区分油漆SKU
滚筒伸缩杆	适配工具：滚筒；部件：伸缩杆		涂装工具/滚筒配件	根	滚筒伸缩杆	C	长度范围/接口缺失，无法区分伸缩杆SKU
边角刷伸缩杆	适配工具：边角刷；部件：伸缩杆		涂装工具/刷子配件	根	边角刷伸缩杆	C	长度范围/接口缺失，无法区分伸缩杆SKU
不锈钢割枪	品牌：华凌；型号：100#；特征：加长型；材质：不锈钢		焊接工具/气割工具	把	华凌加长型100#不锈钢割枪	B	适用气体/长度缺失
灰斗	材质：铁；类型：灰斗		施工工具/灰斗	个	铁灰斗	C	容量/尺寸缺失，无法区分灰斗SKU
警示反光胶带	品牌：3M；用途：警示；长度：50m		安全标识/反光材料	卷	3M警示反光胶带50m	C	宽度/颜色缺失，无法区分反光胶带SKU
警示反光踢脚板	用途：警示反光；规格：30cm		安全标识/反光材料	米	警示反光踢脚板30cm	C	30cm维度口径不清，材质/颜色缺失
建筑模板	表面/颜色：黑膜；尺寸：1.22m*2.44m；厚度：15mm		建筑材料/模板	块	黑膜板1.22m*2.44m*15mm	B	黑膜板按建筑模板归一；材质/周转次数缺失
方木	截面：30*30；长度：3m		建筑材料/木材	根	方木30*30*3m	B	木材等级/材质缺失
加气块	尺寸：200*300*600		建材/砌块	块	加气块200*300*600	C	强度等级/容重缺失，无法区分加气块SKU
自喷漆	品牌：威粤；颜色：白色；类型：自喷漆		油漆涂料/自喷漆	瓶	威粤白色自动喷漆	C	自动喷漆按自喷漆归一；容量/色号缺失
挂锁	材质：不锈钢；特性：防水；类型：通用挂锁		五金/锁具	把	不锈钢通用防水挂锁	C	规格/锁梁尺寸缺失，无法区分挂锁SKU
红花油	类型：红花油		劳保/急救用品	瓶	红花油	C	品牌/容量缺失，无法区分红花油SKU
膨胀螺丝	规格：Φ10*80		紧固件/膨胀螺丝	支	膨胀螺丝Φ10*80	B	材质/表面处理缺失
膨胀螺丝	规格：Φ10*110		紧固件/膨胀螺丝	支	膨胀螺丝Φ10*110	B	材质/表面处理缺失
膨胀螺丝	规格：Φ12*80		紧固件/膨胀螺丝	支	膨胀螺丝Φ12*80	B	材质/表面处理缺失
膨胀螺丝	规格：Φ8*70		紧固件/膨胀螺丝	支	膨胀螺丝Φ8*70	B	材质/表面处理缺失
膨胀螺丝	规格：Φ8*90		紧固件/膨胀螺丝	支	膨胀螺丝Φ8*90	B	材质/表面处理缺失
膨胀螺丝	规格：Φ12*110		紧固件/膨胀螺丝	支	膨胀螺丝Φ12*110	B	材质/表面处理缺失
门板插销	材质：不锈钢；用途：门板；类型：插销		五金/门窗五金	付	不锈钢门板插销	C	尺寸/孔距缺失，无法区分插销SKU
十字螺丝	头型：十字；规格：Φ5*60		紧固件/螺丝	套	十字螺丝Φ5*60	C	单位为套但套件内容缺失，材质缺失
螺丝套件	强度等级：8.8；规格：M16*50；包含：平垫+弹垫		紧固件/螺丝套件	套	8.8级M16*50螺丝带平弹垫	C	螺母是否包含缺失，材质缺失
螺丝套件	强度等级：8.8；规格：M16*120；包含：平垫+弹垫		紧固件/螺丝套件	套	8.8级M16*120螺丝带平弹垫	C	螺母是否包含缺失，材质缺失
螺丝杆	强度等级：8.8；规格：M10*30		紧固件/螺杆	套	8.8级M10*30螺丝杆	C	单位为套但套件内容不明，材质缺失
防冻保温棉	特性：防冻；规格：Φ50		保温材料/保温棉	根	防冻保温棉Φ50	C	厚度/材质/长度缺失，无法区分保温棉SKU
电缆三角支架	用途：电缆；结构：三角支架；高度：0.45m		电气/电缆支架	只	电缆三角支架高0.45m	C	材质/承载缺失，无法区分电缆支架SKU
雨鞋	品牌：回力；尺码：41码；配置：带衬里		劳保耗材/雨具	双	41码回力雨鞋带衬里	B	材质/筒高缺失
油布	特征：加厚；尺寸：4m*4m		覆盖材料/油布	块	加厚油布4m*4m	C	材质/克重/防水等级缺失，无法区分油布SKU
油布	特征：加厚；尺寸：4m*8m		覆盖材料/油布	块	加厚油布4m*8m	C	材质/克重/防水等级缺失，无法区分油布SKU
混凝土振动棒	型号/规格：35型		施工设备/振动棒	根	35型振动棒	C	电压/长度/接口缺失，无法区分振动棒SKU
锂电电钻套装	品牌：东成；供电：锂电；配置：带螺丝刀套装		电动工具/手电钻	台	东成锂电电钻带螺丝刀套装	C	电压/电池配置缺失，无法区分电钻套装SKU
氧气检测表	介质：氧气；类型：检测表		仪表/气体检测仪表	只	氧气检测表	C	量程/精度缺失，无法区分检测表SKU
乙炔检测表	介质：乙炔；类型：检测表		仪表/气体检测仪表	只	乙炔检测表	C	量程/精度缺失，无法区分检测表SKU
吊装带	额定载荷：1T；长度：1.5m		吊装索具/吊带	根	吊带1T*1.5m	C	材质/安全系数缺失，吊装用品关键规格不足
吊装带	额定载荷：1T；长度：1m		吊装索具/吊带	根	吊带1T*1m	C	材质/安全系数缺失，吊装用品关键规格不足
高强度全螺纹螺丝套件	强度等级：12.9；规格：M24*60；螺纹：全螺纹；包含：平垫+弹垫		紧固件/螺丝套件	套	12.9级M24*60全芽螺丝带平弹垫	C	“全芽”按全牙/全螺纹理解；螺母是否包含缺失
抗振储气式压力表	特性：抗振；结构：储气式；类型：压力表		仪表/压力仪表	只	抗振储气式压力表	C	量程/接口/表径缺失，无法区分压力表SKU
镀锌三通	表面处理：镀锌；规格：3寸；类型：三通		管件/镀锌管件	只	镀锌三通3寸	C	材质/压力等级缺失，无法区分三通SKU
镀锌弯头	表面处理：镀锌；规格：2寸；类型：弯头		管件/镀锌管件	只	镀锌弯头2寸	C	角度/压力等级缺失，无法区分弯头SKU
圆珠笔	类型：圆珠笔		办公用品/书写工具	支	圆珠笔	C	颜色/品牌缺失，无法区分圆珠笔SKU
记号笔	颜色：白色		办公用品/书写工具	支	白色记号笔	C	品牌/粗细缺失，无法区分记号笔SKU
焊机地线夹	适配设备：焊机；类型：地线夹		焊接工具/焊机配件	把	焊机地线夹	C	电流等级缺失，无法区分地线夹SKU
电缆	品牌：起帆；规格：3*4+1*2.5		电气/电线电缆	米	起帆电缆线3*4+1*2.5	C	型号/电压等级缺失，无法区分电缆SKU
不锈钢两片式球阀	品牌：埃美柯；材质：304；结构：两片式；公称通径：DN50		阀门/球阀	只	埃美柯304两片式球阀DN50	C	压力等级/连接方式缺失，无法区分球阀SKU
焊接变径接头	连接方式：焊接；规格：325/159；类型：变径接头		管件/焊接管件	只	焊接变径接头325/159	C	材质/壁厚/压力等级缺失，无法区分变径接头SKU
合金两半扣	材质：合金；规格：DN50；类型：两半扣		液压/管路扣件	套	合金两半扣DN50	C	适配管件/压力等级缺失，无法区分两半扣SKU
