标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
割嘴	规格：30号		焊接耗材/焊割配件	个	30号割嘴	C	气体类型/孔径缺失，可能影响割嘴SKU区分
三脚插头	品牌：公牛；电流：10A；类型：三插		电气材料/插头插座	个	10A公牛三插	A	
毛刷	规格：4寸		工具器具/涂装工具	支	4寸毛刷	A	
不锈钢加长接头	规格：8*6；材质：不锈钢；特征：加长		气动/高压管路	个	8*6不锈钢加长接头	B	连接形式/压力等级缺失
不锈钢加长弯头	规格：8*6；材质：不锈钢；特征：加长；类型：弯头		气动/高压管路	个	8*6不锈钢加长弯头	B	连接形式/压力等级缺失
链条扳手	类型：链条扳手		工具器具/手动工具	个	链条扳手	C	规格/夹持范围缺失，无法区分链条扳手SKU
碳棒	直径：6mm		焊接耗材/气刨耗材	支	碳棒6MM	B	包装规格缺失
吨袋	规格：大号		包装材料/吨袋	个	大吨袋	C	容量/尺寸/承重缺失，无法区分吨袋SKU
铁丝	规格：12号		五金备件/金属丝材	KG	12号铁丝；12铁丝	C	材质/镀锌与否缺失，可能影响铁丝SKU区分
铁丝	规格：14号		五金备件/金属丝材	KG	14号铁丝；14铁丝	C	材质/镀锌与否缺失，可能影响铁丝SKU区分
调和漆	颜色：白色；类型：调和漆		化工耗材/涂料	桶	白色调和油漆	C	包装重量/品牌缺失，可能影响涂料SKU区分
不锈钢卡套接头	规格：6*8；材质：不锈钢		气动/高压管路	个	卡6*8不锈钢接头	B	“卡”按卡套接头整理，压力等级缺失
不锈钢卡套接头	规格：6*12；材质：不锈钢		气动/高压管路	个	卡6*12不锈钢接头	B	“卡”按卡套接头整理，压力等级缺失
不锈钢黄油嘴接头	材质：不锈钢；类型：接头		润滑系统/黄油嘴配件	个	不锈钢黄油嘴接头	C	螺纹规格缺失，无法区分黄油嘴接头SKU
不锈钢黄油嘴弯头	材质：不锈钢；类型：弯头		润滑系统/黄油嘴配件	个	不锈钢黄油嘴弯头	C	螺纹规格/角度缺失，无法区分黄油嘴弯头SKU
高压加厚接头	定制：是；规格：52；特征：加厚		定制件/液压接头	个	定做52高压加厚接头	C	定制件图纸/螺纹/压力等级缺失
鱼尾螺丝	规格：M10*60		五金备件/紧固件	套	M10*60鱼尾螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
鱼尾螺丝	规格：M14*70		五金备件/紧固件	套	M14*70鱼尾螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
鱼尾螺丝	规格：M16*90		五金备件/紧固件	套	M16*90鱼尾螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
角钢	规格：50*50*6；标准：国标		原材料/型钢	米	50*50*6国标角铁	C	材质牌号缺失，可能影响型钢SKU区分
电焊钳	电流：500A		焊接耗材/焊割工具	把	500A电焊钳	B	品牌缺失
电焊钳	电流：800A		焊接耗材/焊割工具	把	800A电焊钳	B	品牌缺失
电焊线	品牌：起帆；截面积：35平方		电气材料/电线电缆	米	35平方起帆电焊线	B	芯数/材质缺失
电焊线	品牌：起帆；截面积：50平方		电气材料/电线电缆	米	50平方起帆电焊线	B	芯数/材质缺失
医用胶带	类型：医用胶带		劳保耗材/急救用品	卷	医用胶带	C	宽度/长度缺失，无法区分医用胶带SKU
锂电角磨机	品牌：大艺；供电：锂电池		工具器具/电动工具	台	大艺锂电池角磨机	C	电压/电池容量/规格缺失，无法区分锂电角磨机SKU
砂纸	粒度：600		工具器具/磨切耗材	张	600砂纸	C	尺寸缺失，可能影响砂纸SKU区分
砂纸	粒度：80		工具器具/磨切耗材	张	80砂纸	C	尺寸缺失，可能影响砂纸SKU区分
钢丝绳	直径：6mm		吊装索具/钢丝绳	米	6MM钢丝绳	C	结构/强度等级缺失，可能影响钢丝绳SKU区分
钢丝绳卡扣	适配直径：6mm		吊装索具/钢丝绳配件	个	6MM钢丝绳扣子	C	材质/形式缺失，可能影响钢丝绳卡扣SKU区分
卡箍丝牙接头	加工：是；规格：60；连接：一头卡箍一头丝牙；特征：加厚		定制件/管路接头	个	加工加厚60一头卡箍一头丝牙	C	定制件图纸/材质/压力等级缺失
双头抱箍接头	加工：是；规格：60；连接：两头抱箍；特征：加厚		定制件/管路接头	个	加工加厚60两头抱箍	C	定制件图纸/材质/压力等级缺失
三通抱箍	加工：是；长度：1.15米；特征：加厚；类型：三通抱箍		定制件/管路接头	根	加工加厚1.15米三通抱箍	C	定制件图纸/口径/材质缺失
不锈钢条	规格：65*20*1；材质：不锈钢		原材料/不锈钢材料	条	65*20*1不锈钢条	C	材质牌号/长度缺失，可能影响不锈钢条SKU区分
骑马螺丝	规格：14*75		五金备件/紧固件	套	14*75骑马螺丝	C	材质/强度等级缺失，可能影响紧固件SKU区分
不锈钢卡套三通	规格：6*12；材质：不锈钢；类型：三通		气动/高压管路	个	卡6*12不锈钢三通	B	连接形式/压力等级缺失
重油污清洗剂	用途：重油污清洗		化工耗材/清洗剂	KG	重油污清洗剂	B	品牌/浓度/包装缺失
自封袋	规格：10#		包装材料/自封袋	个	10#自封袋	A	
毛刷	规格：2寸		工具器具/涂装工具	个	2寸毛刷	B	材质缺失；同类毛刷单位需复核
电缆防水接头	规格：M50		电气材料/电缆附件	个	M50电缆防水接头	B	材质/IP等级缺失
电缆防水接头	规格：M40		电气材料/电缆附件	个	M40电缆防水接头	B	材质/IP等级缺失
电缆防水接头	规格：M32		电气材料/电缆附件	个	M32电缆防水接头	B	材质/IP等级缺失
自喷漆	品牌：三和；颜色：灰色；类型：自喷漆		化工耗材/涂料	瓶	灰色三和喷漆	C	容量缺失，可能影响自喷漆SKU区分
自喷漆	品牌：三和；颜色：黑色；类型：自喷漆		化工耗材/涂料	瓶	黑色三和喷漆	C	容量缺失，可能影响自喷漆SKU区分
脱漆剂	类型：高效脱漆剂		化工耗材/清洗剂	瓶	高效脱漆剂	C	品牌/容量/成分缺失，无法区分脱漆剂SKU
门锁	用途：大门		五金备件/锁具	把	大门锁	C	规格/锁体类型缺失，无法区分门锁SKU
电力清洗剂	用途：电力设备清洗		化工耗材/清洗剂	KG	电力清洗剂	C	品牌/绝缘等级/包装缺失，可能影响电力清洗剂SKU区分
多点黄油泵	容量：8升；出口数：4出口		润滑系统/油脂泵	台	8升4出口多点黄油泵	C	电压/驱动方式/品牌缺失，可能影响油脂泵SKU区分
AB胶	品牌/型号：卡夹特；类型：AB胶		化工耗材/胶粘剂	套	卡夹特AB胶	C	包装容量/配比缺失，可能影响AB胶SKU区分
气泡膜	特征：加厚		包装材料/缓冲包装	米	加厚气泡膜	C	宽度/厚度缺失，无法区分气泡膜SKU
