标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
挂锁	材质：不锈钢；规格：50		五金备件/锁具	个	50不锈钢挂锁	A	
插销	材质：不锈钢		五金备件/门窗五金	个	不锈钢插销	C	尺寸缺失，无法区分不同不锈钢插销 SKU
插销	材质：不锈钢；功能：带锁		五金备件/门窗五金	个	不锈钢插销带锁	C	尺寸缺失，无法区分不同带锁插销 SKU
涂料	品牌：立邦；系列：5合1；特征：环保		化工耗材/涂料	桶	立邦环保涂料5合1	C	容量、颜色缺失，会影响涂料 SKU 区分
滚筒刷	规格：4寸		工具器具/涂装工具	个	4寸滚筒	A	
插销	规格：4寸		五金备件/门窗五金	付	4寸插销	C	材质缺失，会影响插销 SKU 区分
合页	材质：不锈钢；规格：4寸；特征：加厚		五金备件/门窗五金	付	4寸不锈钢加厚合页	A	
抽锁	材质：不锈钢；规格：5寸		五金备件/锁具	个	5寸不锈钢抽锁	A	
扫把	材质：塑料		清洁用品/清洁工具	个	塑料扫把	A	
挂锁	材质：不锈钢；规格：40		五金备件/锁具	个	40不锈钢挂锁	A	
扫把	材质/类型：高粱		清洁用品/清洁工具	把	高粱扫把	A	
地板胶	材质：PVC；特征：加厚		装修材料/地面材料	平方	加厚PVC地板胶	C	厚度缺失，会影响 PVC 地板胶 SKU 区分
墙布	特征：厚、环保		装修材料/墙面材料	平方	厚环保墙布	C	材质、花色缺失，会影响墙布 SKU 区分
水壶	材质：不锈钢；容量：6.5升		办公生活用品/小电器	个	6.5升不锈钢水壶	A	
电钻	动力：锂电池		工具器具/电动工具	台	锂电池电钻	C	品牌、电压缺失，会影响锂电池电钻 SKU 区分
水桶	规格：未注明		办公生活用品/容器	个	水桶	C	容量缺失，无法区分不同水桶 SKU
水龙头花洒套装	组合：水龙头+花洒		工程材料/水暖五金	套	水龙头花洒	C	材质、接口规格缺失，会影响套装 SKU 区分；输入提示称与其他行同物料，未在本批合并
闭门器	规格：大		五金备件/门窗五金	套	闭门器大	B	适用门重、型号缺失，需后续确认
插销	材质：不锈钢		五金备件/门窗五金	套	不锈钢插销	C	尺寸缺失；输入提示称同名物料存在单位差异，需统一单位
水龙头	规格：未注明		工程材料/水暖五金	个	水龙头	C	材质、接口规格缺失，无法区分不同水龙头 SKU
空调插座	品牌：公牛；电流：16A；用途：空调		电气材料/插头插座	个	公牛16A空调插座；16A公牛空调插座	B	明装/暗装未说明，需后续确认；输入提示称与其他行同物料，未在本批合并
插排	品牌：公牛；线长：3米；孔位：8孔		电气材料/插头插座	个	公牛插座3米*8孔	A	
启辉器	类型：启辉器		电气材料/照明配件	个	启辉器	C	适配灯管规格缺失，无法区分不同启辉器 SKU
灯头	接口：螺口		电气材料/照明配件	个	螺口灯头	C	E27/E14 等接口规格缺失，无法区分不同螺口灯头 SKU
排气扇	规格：50*50		电气材料/通风设备	台	50*50排气扇	A	
漏电保护器	品牌：施耐德；极数：2P；电流：63A		电气材料/低压电器	个	2P*63A施耐德漏电保护器	A	
空气开关	品牌：施耐德；极数：3P；电流：63A		电气材料/低压电器	个	3P*63A施耐德空气开关	A	
洗脸盆	材质：不锈钢；长度：2米；特征：加厚		工程材料/洁具	台	2米加厚不锈钢洗脸盆	A	
水龙头	类型：大弯		工程材料/水暖五金	个	大弯水龙头	C	材质、接口规格缺失，无法区分不同大弯水龙头 SKU
洗脸盆下水管	用途：洗脸盆；类型：下水管		工程材料/洁具配件	套	洗脸盆下水管	B	材质、接口规格未注明，需后续确认；输入提示称与其他行同物料，未在本批合并
沙子	包装：大包		建筑材料/水泥砂石	包	大包沙子	C	粒径、重量缺失，无法区分不同沙子 SKU
石子	包装：大包		建筑材料/水泥砂石	包	大包石子	C	粒径、重量缺失，无法区分不同石子 SKU
帆布手套	类型：双重/双层帆布		劳保耗材/手套	双	双重帆布手套	A	
挂锁	材质：铜		五金备件/锁具	个	铜挂锁	C	规格尺寸缺失，无法区分不同铜挂锁 SKU
扫把	规格：未注明		清洁用品/清洁工具	个	扫把	C	材质缺失，无法区分不同扫把 SKU
断点检测电笔	功能：找断点/测电		工具器具/电工工具	个	找断点电笔	B	输入提示称同物料存在单位差异，需统一单位
剥线钳	品牌：世达；类型：多功能剥线钳		工具器具/手动工具	个	世达多功能剥线钳	B	输入提示称同物料存在单位差异，需统一单位
水龙头	规格：4分；类型：冷热		工程材料/水暖五金	个	4分冷热水龙头	B	材质缺失，需后续确认；输入提示称与其他行同物料，未在本批合并
PPR过桥弯	品牌：公元；规格：25；类型：过桥弯		工程材料/PPR管件	个	公元25PPR过桥弯	A	
PPR异径直接	规格：32*25；类型：大小头/异径		工程材料/PPR管件	个	PPR32*25大小头	A	
电缆	品牌：起帆；规格：3*6+1		电气材料/电线电缆	米	3*6+1起帆电缆	C	电缆型号如 YJV/RVV 缺失，无法区分不同电缆 SKU
铜鼻子	规格：100A；材质：铜		电气材料/接线端子	个	100A铜鼻子	A	
铜鼻子	规格：200A；材质：铜		电气材料/接线端子	个	200A铜鼻子	A	
垃圾袋	规格：大		清洁用品/垃圾袋	个	大垃圾袋	C	厚度、尺寸缺失，无法区分不同垃圾袋 SKU
防护眼镜	用途：打磨		劳保耗材/眼面防护	个	打磨眼镜	A	
PPR三通	规格：25；类型：三通		工程材料/PPR管件	个	25PPR三通	B	品牌缺失，需后续确认
PPR内牙弯头	规格：PPR25*4分；连接：内牙；类型：弯头		工程材料/PPR管件	个	PPR25*4内牙弯头	A	
镀锌角铁	材质/表面：镀锌；规格：4*4*0.5		金属材料/型材	米	4*4*0.5镀锌角铁	B	规格单位需确认，原始规格未说明 cm/mm
羊毛刷	规格：4寸		工具器具/涂装工具	个	4寸羊毛刷	A	
排水三通	品牌：公元；规格：75；类型：三通		工程材料/排水管件	个	公元75三通；三通	C	材质需按同批胶管确认，缺失时无法区分管件 SKU
