标准名称	必填规格	辅助规格	标准分组	标准单位	别名/土名	放行等级	整理依据
两半扣	材质：合金；规格：DN80；类型：两半扣		液压/管路扣件	套	合金两半扣DN80	B	适配管件/压力等级缺失
钳形万用表	品牌：世达；类型：钳形万用表		仪表/电气仪表	只	世达钳型万用表	B	量程/精度缺失
镀锌外丝六角直接	表面处理：镀锌；连接：外丝；结构：六角；规格：2寸		管件/镀锌管件	只	镀锌外丝六角直接2寸	B	材质/压力等级缺失
混凝土振动棒	电压：380V；直径：Φ50；长度：6m		施工设备/振动棒	根	振动棒380V-Φ50-6m	B	功率/接口缺失
镀锌钢丝绳	表面处理：镀锌；直径：Φ12		吊装索具/钢丝绳	米	镀锌钢丝绳Φ12	C	结构/破断拉力缺失，会影响钢丝绳SKU区分
镀锌膨胀钩	表面处理：镀锌；规格：M16*130		紧固件/膨胀件	只	镀锌膨胀钩M16*130	B	承载/材质缺失
镀锌花兰螺丝	表面处理：镀锌；规格：M14*350		紧固件/拉紧件	只	镀锌花兰螺丝m14*350	B	材质/结构形式缺失
镀锌花兰扣	表面处理：镀锌；规格：M14		紧固件/拉紧件	只	镀锌花兰扣m14	C	长度/结构形式缺失，会影响花兰扣SKU区分
镀锌内丝直接	表面处理：镀锌；连接：内丝；规格：2寸		管件/镀锌管件	只	镀锌内丝直接2寸	B	材质/压力等级缺失；提示与同类候选可合并
电缆	品牌：起帆；规格：3*16+1*10		电气/电线电缆	米	起帆电缆线3*16+1*10	C	型号/电压等级/护套材质缺失，无法稳定区分电缆SKU
圆头螺丝套件	头型：圆头；规格：M5*70；套件组成：平垫+弹垫		紧固件/螺丝套件	套	圆头螺丝m5*70带平 弹垫	C	材质/强度等级/是否含螺母缺失，会影响螺丝套件SKU区分
不锈钢潜水搅拌机	材质：304不锈钢；电压：380V；功率：4kW		环保设备/搅拌设备	台	304不锈钢潜水搅拌机380V-4KW	C	品牌/叶轮形式/安装方式缺失，会影响设备选型
LED强光手电筒	供电方式：充电式；光源：LED；类型：强光		工具/照明工具	只	充电式LED强光手电筒	C	品牌/亮度/续航缺失，会影响手电筒SKU区分
塑料凳	材质：塑料；特征：加厚		行政后勤/家具用品	个	加厚塑料凳子	B	尺寸/承重缺失，按加厚塑料凳先建候选
硅酸盐水泥	品牌：海螺；强度等级：42.5		建材/水泥	包	海螺42.5水泥	C	类型/每包重量缺失，按包采购无法稳定区分水泥SKU
铁丝	材质：铁；规格：14#		金属材料/铁丝	KG	铁丝14#	B	表面处理/线径换算缺失；提示与同类候选可合并
钢丝绳	直径：Φ20；长度：6m		吊装索具/钢丝绳	根	钢丝绳Φ20*6m	C	结构/破断拉力/安全标准缺失，会影响钢丝绳SKU区分
插线板	品牌：公牛；线长：3m；结构：双排		电气/插座插排	只	公牛3m双排插线板	C	原单位“根”疑似按线计，建议按只；孔位数/额定电流缺失
黄砂	类型：黄砂		建材/砂石	吨	黄砂	C	粒径/含泥量/用途缺失，会影响砂石验收和SKU区分
加气混凝土砌块	尺寸：200*300*600		建材/砌块	块	加气块200*300*600	C	强度等级/密度等级缺失，会影响砌块SKU区分
