item_code	reviewed_rate	currency	unit	confidence	price_basis	review_notes
FAST-000025	0.80	CNY	个	high	按单个 M8*45 12.9级发黑内六角螺丝常见工程采购价估算	品牌不明，按国产普通高强度螺丝
FAST-000106	0.20	CNY	只	high	按单只 M5*60 镀锌十字自攻螺丝散采价估算	无
PIPE-000088	0.80	CNY	个	high	按单个 4分 PPR 热熔直接常见工程采购价估算	品牌不明，按国产普通品牌
PIPE-000430	18.00	CNY	个	medium	按单个 2寸镀锌内丝直接工程管件采购价估算	壁厚和品牌不明，按普通镀锌玛钢件
PIPE-000174	12.00	CNY	个	medium	按单个 3/4英寸钢制高压堵头液压接头采购价估算	压力等级未给具体数值，按常见高压堵头
PIPE-000064	650.00	CNY	个	low	按单个 DN325 碳钢卡槽接头定制加工件采购价估算	定制尺寸和加工要求不完整，波动较大
PIPE-000228	260.00	CNY	个	low	按单个 DN52 碳钢高压弯头定制加工件采购价估算	压力等级和连接形式未明，按小批量定制
PIPE-000105	1280.00	CNY	个	medium	按单个埃美柯 DN80 铜质法兰止回阀采购价估算	具体阀型和压力等级未明
TOOL-000066	28.00	CNY	支	high	按单支 16mm 短型高速钢麻花钻头采购价估算	品牌不明，按国产普通高速钢
ELEC-000132	35.00	CNY	个	medium	按单个 4分 220V 10A 压力开关常见采购价估算	品牌和调压范围未明
CHEM-000135	520.00	CNY	桶	medium	按单桶立邦 18kg 金属漆工程采购价估算	具体漆系和颜色未明
MAT-000040	35.00	CNY	个	high	按单个标准尺寸普通枕头后勤采购价估算	材质档次未明，按普通款
ELEC-000215	58.00	CNY	个	high	按单个公牛 3m 10A 双排插线板零采价估算	无
PIPE-000074	1.80	CNY	个	high	按单个 32mm UPVC 90度弯头常见管件价估算	品牌不明，按国产普通品牌
ELEC-000137	5.50	CNY	支	high	按单支铜 6mm² 200mm 接地跨接线采购价估算	端子形式未明，按常规压接端子
SPARE-000083	120.00	CNY	根	medium	按单根 200*200*1500mm 木方垫木加工采购价估算	木材等级和防腐处理未明
PIPE-000098	8.50	CNY	个	high	按单个 110mm 碳钢管卡抱箍采购价估算	表面处理未明，按普通镀锌件
HW-LOCK-000013	12.00	CNY	套	high	按单套普通不锈钢门扣锁扣采购价估算	规格尺寸未明
METAL-000123	125.00	CNY	米	high	按每米 20#B Q235B 槽钢工程采购价估算	按常见理论重量和普通钢材行情
