item_code	reviewed_rate	currency	unit	confidence	price_basis	review_notes
FAST-000067	8.50	CNY	个	medium	按单个 M30*80 10.8级发黑高强度螺栓常见工程采购价估算	品牌不明，按国产普通高强度螺栓
SPARE-000031	1.20	CNY	个	high	按单个 M10*40 12.9级发黑内六角螺丝常见采购价估算	品牌不明，按国产普通品牌
PIPE-000288	95.00	CNY	套	medium	按单套 DN100 橡胶软接头常见管道采购价估算	连接方式写胶接，按普通橡胶软接头估算
PIPE-000050	32.00	CNY	个	medium	按单个 6*12 不锈钢卡套三通液压接头采购价估算	规格表达略简，按国产 304/不锈钢卡套件
PIPE-000368	28.00	CNY	只	medium	按单只 1寸碳钢高压外丝液压接头采购价估算	压力等级未给具体数值，按常规高压接头
PIPE-000187	260.00	CNY	个	low	按单个 6路不锈钢定制气源分配器加工采购价估算	定制尺寸和接口未明，价格波动较大
METAL-000146	24.00	CNY	个	high	按单个 3分 304不锈钢内外丝球阀常见采购价估算	品牌不明，按国产普通品牌
TOOL-000050	78.00	CNY	支	medium	按单支 12mm*90mm 钨钢钻头采购价估算	用途和刃型未明，按普通硬质合金钻头
TOOL-000344	32.00	CNY	支	high	按单支博世 Φ14*160 二坑二槽电锤钻头采购价估算	无
ELEC-000223	38.00	CNY	个	high	按单个人民 CJX2-1810 18A 交流接触器采购价估算	无
ADMIN-000001	58.00	CNY	个	high	按单个 2L 不锈钢电热水壶普通办公采购价估算	品牌不明，按国产普通品牌
ELEC-000158	7.50	CNY	个	high	按单个公牛 10A 三脚插头零售采购价估算	无
PIPE-000363	360.00	CNY	根	low	按单根 36*2H 双层 3米带两端接头胶管总成估算	接头规格和压力等级未明，按液压胶管总成
PIPE-000252	85.00	CNY	个	medium	按单个 89mm*10mm 碳钢焊接弯头工程采购价估算	弯曲半径和材质牌号未明
PIPE-000366	120.00	CNY	个	low	按单个 35mm 六联碳钢定制管夹加工价估算	定制结构和表面处理未明
SAFE-000043	0.80	CNY	个	high	按单个通用不锈钢钢丝球日常采购价估算	无
ELEC-000205	10.00	CNY	包	high	按每包 100只 2.5平方铜管型端子采购价估算	无
METAL-000081	58.00	CNY	米	low	按每米 Q235 镀锌方钢 6*6*5 常见型钢采购价估算	规格可能为 60*60*5，尺寸口径存在歧义
TOOL-000270	260.00	CNY	套	medium	按一套莱赛 2线激光水平仪采购价估算	具体配置和附件未明
CHEM-000045	4.50	CNY	瓶	high	按单瓶 101 胶水 20g 常见采购价估算	无
TOOL-000131	68.00	CNY	套	high	按一套世达 1.5-10mm 9件内六角扳手采购价估算	无
ELEC-TIE-000002	45.00	CNY	包	medium	按一包 10*500mm 尼龙扎带常见大包装采购价估算	每包数量未明，按常见 100只装
FAST-000042	12.00	CNY	个	medium	按单个 M24*150 镀锌膨胀锚栓采购价估算	品牌和锚栓型式未明
PIPE-000206	12.00	CNY	个	high	按单个 16mm 铜镀镍快插气管三通采购价估算	无
MAT-000005	120.00	CNY	套	medium	按一套不锈钢水龙头花洒软管组合采购价估算	品牌和花洒配置未明
TOOL-000202	65.00	CNY	把	high	按一把 450mm 普通管钳采购价估算	品牌不明，按国产普通品牌
SAFE-000005	5.50	CNY	双	high	按一双加厚双层帆布手套劳保采购价估算	无
SPARE-000140	680.00	CNY	台	medium	按一台 220V 0.75kW DN25 供水增压泵采购价估算	品牌和扬程流量未明
CHEM-000122	260.00	CNY	件	medium	按 1m宽 10mm厚 1米长橡胶平板输送带采购价估算	材质等级和层数未明
CONST-000013	28.00	CNY	平方米	medium	按每平方米 3.0绿色人工草皮普通采购价估算	草高 3.0 口径不完全明确
CONST-000042	135.00	CNY	根	medium	按单根 48*3.5mm 6m Q235 脚手架钢管采购价估算	按新管普通工程采购口径
TOOL-000070	60.00	CNY	个	high	按单个 20L 铁质汽油桶常见采购价估算	无
METAL-000095	880.00	CNY	根	low	按单根 50mm*4m 6×37+FC 定做钢丝绳采购价估算	是否含编插压套和吊装认证未明
SPARE-000136	120.00	CNY	只	medium	按单只 BW-250 泥浆泵活塞配件采购价估算	配套厂家和材质未明
SAFE-000023	60.00	CNY	个	high	按单个 1米橡胶路锥采购价估算	无
SPARE-000074	1200.00	CNY	套	low	按一套不锈钢推进泵吸轮定制加工件估算	图纸尺寸和加工精度未明
SAFE-000015	65.00	CNY	条	medium	按一条欧式小钩五点式安全带采购价估算	认证等级和品牌未明
WELD-000036	380.00	CNY	台	medium	按一台乙炔气瓶手推车 43cm轮胎 150kg 采购价估算	车架材质和轮胎配置未明
FAST-000086	5.50	CNY	米	medium	按每米 5mm×30mm 橡胶膨胀止水条采购价估算	品牌和膨胀倍率未明
CHEM-000129	48.00	CNY	卷	high	按一卷哑银 PET 30mm*10mm 5000张不干胶标签采购价估算	无
TOOL-000294	15.00	CNY	个	high	按单个 500A 焊机地线夹采购价估算	无
TOOL-000083	180.00	CNY	片	medium	按单片 400mm 金刚石马路切割片采购价估算	品牌和切割材质等级未明
MAT-000114	620.00	CNY	台	medium	按一台三角 2T 6米手拉葫芦采购价估算	具体系列和链条等级未明
MAT-000163	1180.00	CNY	套	low	按一套太阳能 4G 监控三件套采购价估算	摄像头清晰度、流量卡和电池容量未明
CHEM-000087	3.50	CNY	个	high	按单个 63 快速接头胶垫密封件采购价估算	无
MAT-000244	12.00	CNY	只	high	按单只 M14 镀锌花篮螺丝采购价估算	无
TOOL-000107	10.00	CNY	支	high	按单支 1.2米木质铁锹柄采购价估算	无
ADMIN-000022	1800.00	CNY	台	medium	按一台惠普激光多功能一体机办公采购价估算	具体型号未明，按入门办公激光一体机
ELEC-000112	260.00	CNY	台	medium	按一台 FAD40-400 方形排气扇采购价估算	品牌未明，按国产普通 400mm 排风扇
MAT-000068	2200.00	CNY	套	low	按一套 4*4米加厚 PC 雨棚材料采购价估算	结构形式、支架和安装是否包含未明
MAT-000204	680.00	CNY	套	medium	按一套 2m*2m*0.6m 加厚仓储货架采购价估算	层数和承重未明，按常见中型货架
MAT-000190	780.00	CNY	块	medium	按单块 500×500×60mm 尼龙吊车垫块采购价估算	尼龙等级和承载认证未明
METAL-000159	12000.00	CNY	个	low	按单个 5T 圆形不锈钢聚氨酯保温水箱采购价估算	不锈钢牌号、板厚和运输安装未明
PIPE-000186	320.00	CNY	个	medium	按单个 DN80 法兰 Y型过滤器采购价估算	材质和压力等级未明，按普通工程阀件
