item_code	reviewed_rate	currency	unit	confidence	price_basis	review_notes
FAST-000053	4.50	CNY	个	medium	按单个 M20×130 8.8级镀锌碳钢外六角螺栓常见工程采购价估算	未注明标准和是否含螺母垫片，按单螺栓估算
SPARE-000019	1.10	CNY	个	high	按单个 M12×60 8.8级镀锌碳钢螺栓常见工程采购价估算	未注明标准和是否含螺母垫片，按单螺栓估算
PIPE-000171	36.00	CNY	个	medium	按单个 80×50 碳钢焊接异径接头普通壁厚工程采购价估算	壁厚和执行标准不明，按常规国产管件
PIPE-000464	2.20	CNY	个	high	按单个 DN32 PPR 热熔直接常见工程采购价估算	品牌不明，按国产普通品牌
PIPE-000349	58.00	CNY	套	medium	按单套 M36×2 高压液压外丝转内丝碳钢转换接头估算	密封形式和压力等级未细分，按常规高压接头
PIPE-000146	68.00	CNY	个	low	按单个 DN89 加厚碳钢卡槽加工件小批量加工价估算	定制结构和厚度不明，加工费波动较大
METAL-000013	168.00	CNY	个	medium	按单个埃美柯 DN40 加厚不锈钢球阀工程采购价估算	阀体材质牌号和接口形式不明，按常见内螺纹球阀
PIPE-000493	28.00	CNY	个	medium	按单个 DN10 304 不锈钢小口径球阀采购价估算	品牌不明，按国产普通品牌
TOOL-000201	12.50	CNY	支	medium	按单支 9mm 高速钢加长麻花钻头零星采购价估算	品牌不明，按普通高速钢钻头
ELEC-000201	18.00	CNY	只	medium	按单只 AC220V 红绿组合按钮开关常见采购价估算	型号和安装孔径不明，按国产通用按钮
CHEM-000157	420.00	CNY	桶	medium	按单桶立邦 18kg 白色油漆或涂料零星采购价估算	具体系列和漆种不明，价格差异较大
ELEC-000012	12.00	CNY	个	high	按单个公牛一位墙壁开关常见零售采购价估算	无
PIPE-000344	155.00	CNY	根	medium	按根 36×2 两层 1.2米液压胶管总成含两端接头估算	接头形式和胶管压力级别不明
PIPE-000148	320.00	CNY	个	low	按单个 325mm 碳钢焊接 90度弯头普通壁厚采购价估算	壁厚和弯曲半径不明，大口径价格波动较大
