item_code	reviewed_rate	currency	unit	confidence	price_basis	review_notes
FAST-000022	0.45	CNY	套	medium	按单套 M6*25 8.8级镀锌螺丝套件常见工程采购价估算	套件组成未明，按螺栓配常规垫件口径
FAST-000096	0.50	CNY	套	low	按单套 M5*10 内六角螺丝配平垫弹垫小规格采购价估算	材质与12.9级发黑表述不完全一致，按普通小规格套件
SPARE-000082	5.80	CNY	个	medium	按单个 M16×160 8.8级镀锌高强螺栓常见采购价估算	是否含螺母垫片未明
PIPE-000428	68.00	CNY	个	medium	按单个 3寸镀锌外丝直接工程管件采购价估算	壁厚和长度未明，按普通镀锌管件
PIPE-000155	180.00	CNY	套	medium	按 DN25 碳钢液压快速接头成套采购价估算	品牌不明，按国产普通液压接头
PIPE-000410	95.00	CNY	套	low	按 DN100 合金两半扣液压管夹类配件采购价估算	结构标准和材质牌号未明
PIPE-000210	85.00	CNY	根	low	按 DN25 无缝管单头外丝定尺加工件单根采购价估算	长度按短管加工件估算，实际定尺影响较大
METAL-000160	1250.00	CNY	个	medium	按 DN100 4寸不锈钢法兰球阀工程采购价估算	材质牌号和压力等级未明，按国产304普通法兰球阀
TOOL-000053	9.80	CNY	支	high	按单支 8*100 合金钻头常见五金采购价估算	无
ELEC-000079	85.00	CNY	个	medium	按 36V 400W 交流输入开关电源常见采购价估算	品牌不明，按国产普通电源
CHEM-000120	420.00	CNY	桶	medium	按立邦 18kg 蓝色油漆单桶工程采购价估算	油漆体系未明，按常规调色涂料
ADMIN-000012	120.00	CNY	个	medium	按单人海绵床垫普通后勤采购价估算	厚度和尺寸未明，按普通单人款
ELEC-000164	18.00	CNY	套	high	按公牛 10A 明装五孔插座单套零星采购价估算	无
PIPE-000381	780.00	CNY	根	medium	按 36*2 两层液压胶管 11米含两端接头总成采购价估算	接头规格和压力等级未明
ELEC-000105	95.00	CNY	米	medium	按 YJV 3*25 铜芯电力电缆每米工程采购价估算	铜价波动较大，按普通国标电缆
SPARE-000051	5200.00	CNY	个	low	按 4立方定制钢箱含下料焊接制作单件采购价估算	钢板厚度和结构要求未明
PIPE-000094	1.20	CNY	个	high	按单个 PVC 40mm 管卡常见采购价估算	无
ELEC-000225	12.00	CNY	包	high	按 OT4-6 铜冷压端子 100只/包常见采购价估算	无
METAL-000105	75.00	CNY	米	medium	按 14# Q235 工字钢每米钢材采购价估算	钢材价格随地区和批量波动
PIPE-000219	16.00	CNY	米	medium	按 50mm 加厚橡胶水带 1.0MPa 每米采购价估算	品牌和耐压等级细节未明
CHEM-000082	130.00	CNY	桶	low	按 5kg 管片密封胶单桶工程胶粘剂采购价估算	胶种和性能等级未明
TOOL-000297	78.00	CNY	把	high	按世达 10寸活动扳手单把采购价估算	无
MAT-000047	68.00	CNY	个	medium	按 8.5T 卸扣单个吊装索具采购价估算	弓形或直形及标准未明
FAST-000113	0.85	CNY	个	high	按单个 M8*90 镀锌膨胀锚栓常见采购价估算	无
CHEM-000006	59.00	CNY	瓶	high	按 WD-40 500ml 防锈润滑剂单瓶采购价估算	无
METAL-000002	2200.00	CNY	台	low	按 2米加厚不锈钢洗脸盆定制成品采购价估算	厚度、槽数和安装附件未明
FAST-000007	0.85	CNY	个	high	按单个 M27 平垫圈常见紧固件采购价估算	无
SAFE-000113	5.50	CNY	双	high	按 35cm 浸胶劳保手套单双采购价估算	无
ELEC-000084	45.00	CNY	个	medium	按充电式 LED 头灯普通劳保照明采购价估算	亮度和电池容量未明
SPARE-000085	38.00	CNY	条	medium	按 BLI1753 传动皮带普通工业皮带采购价估算	品牌和截面标准未明
TOOL-000175	12.00	CNY	个	high	按 1/4英寸 6mm 加长六角套筒单个采购价估算	无
PIPE-000120	22.00	CNY	米	high	按 32*4.5 碳钢无缝钢管每米采购价估算	无
WELD-000043	120.00	CNY	卷	medium	按内径8mm 30米氧气胶管整卷采购价估算	品牌不明，按国标普通氧气管
METAL-000164	7.50	CNY	米	high	按 12mm 镀锌 6×37+FC 钢丝绳每米采购价估算	无
WELD-000007	2.50	CNY	支	high	按 6mm×355mm 碳弧气刨碳棒单支采购价估算	无
SAFE-000065	38.00	CNY	卷	high	按 10cm×50m 黄黑 PVC 反光警示带单卷采购价估算	无
PIPE-000040	180.00	CNY	米	medium	按 DN51 4SH 高压液压油管每米采购价估算	接头不含，品牌和压力认证未明
SAFE-000101	3.20	CNY	米	high	按 Φ14 尼龙安全绳每米采购价估算	无
