batch_id	top_group	material_family	item_code	item_name	required_specs	optional_specs	stock_uom	aliases	quality_level	governance_note
batch_002	化工胶粘涂料	油漆涂料	CHEM-000002	涂料	品牌：立邦；系列：5合1；特征：环保		桶	立邦环保涂料5合1	needs_review	缺失规格：容量；颜色；整理依据：容量、颜色缺失，会影响涂料 SKU 区分；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；立邦涂料归涂料类。；二级物料族人工预览：合并 -> 化工胶粘涂料/油漆涂料；置信度：高；判断：旧族“涂料”是油漆、喷漆、乳胶漆或配套涂料，品牌、颜色、包装和用途应作为 SKU 属性，符合“油漆涂料”。；下一步：合并到“油漆涂料”，第三层保留“涂料”，后续治理颜色、容量、类型、适用基材和品牌型号。
batch_002	化工胶粘涂料	油漆涂料	CHEM-000007	调和油漆	颜色：铁红		桶	铁红油漆	needs_review	缺失规格：容量；整理依据：容量缺失，可能影响油漆SKU区分；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；调和油漆属于涂料。；二级物料族人工预览：合并 -> 化工胶粘涂料/油漆涂料；置信度：高；判断：旧族“油漆”是油漆、喷漆、乳胶漆或配套涂料，品牌、颜色、包装和用途应作为 SKU 属性，符合“油漆涂料”。；下一步：合并到“油漆涂料”，第三层保留“油漆”，后续治理颜色、容量、类型、适用基材和品牌型号。
batch_002	化工胶粘涂料	油漆涂料	CHEM-000008	调和油漆	颜色：白色；类型：调和油漆		桶	白色调和油漆	needs_review	缺失规格：容量；整理依据：容量缺失，可能影响油漆SKU区分；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；调和油漆属于涂料。；二级物料族人工预览：合并 -> 化工胶粘涂料/油漆涂料；置信度：高；判断：旧族“油漆”是油漆、喷漆、乳胶漆或配套涂料，品牌、颜色、包装和用途应作为 SKU 属性，符合“油漆涂料”。；下一步：合并到“油漆涂料”，第三层保留“油漆”，后续治理颜色、容量、类型、适用基材和品牌型号。
batch_002	化工胶粘涂料	油漆涂料	CHEM-000009	喷漆	品牌：三和；颜色：黄色		支	三和黄色喷漆	needs_review	缺失规格：容量；整理依据：容量缺失，可能影响喷漆SKU区分；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；自喷漆属涂料，颜色为规格属性。；二级物料族人工预览：合并 -> 化工胶粘涂料/油漆涂料；置信度：高；判断：旧族“喷漆”是油漆、喷漆、乳胶漆或配套涂料，品牌、颜色、包装和用途应作为 SKU 属性，符合“油漆涂料”。；下一步：合并到“油漆涂料”，第三层保留“喷漆”，后续治理颜色、容量、类型、适用基材和品牌型号。
batch_002	化工胶粘涂料	油漆涂料	CHEM-000010	喷漆	品牌：三和；颜色：天蓝色		支	三和天蓝色喷漆	needs_review	缺失规格：容量；整理依据：容量缺失，可能影响喷漆SKU区分；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；自喷漆属涂料，颜色为规格属性。；二级物料族人工预览：合并 -> 化工胶粘涂料/油漆涂料；置信度：高；判断：旧族“喷漆”是油漆、喷漆、乳胶漆或配套涂料，品牌、颜色、包装和用途应作为 SKU 属性，符合“油漆涂料”。；下一步：合并到“油漆涂料”，第三层保留“喷漆”，后续治理颜色、容量、类型、适用基材和品牌型号。
batch_002	化工胶粘涂料	油漆涂料	CHEM-000011	防锈漆	颜色：铁红；类型：防锈漆		桶	铁红防锈漆	needs_review	缺失规格：品牌；包装重量；容量；整理依据：包装重量/容量及品牌缺失，可能影响防锈漆SKU区分；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；防锈漆为防腐涂料，旧化工耗材口径过泛。；二级物料族人工预览：合并 -> 化工胶粘涂料/油漆涂料；置信度：高；判断：旧族“防锈漆”是油漆、喷漆、乳胶漆或配套涂料，品牌、颜色、包装和用途应作为 SKU 属性，符合“油漆涂料”。；下一步：合并到“油漆涂料”，第三层保留“防锈漆”，后续治理颜色、容量、类型、适用基材和品牌型号。
batch_002	化工胶粘涂料	油漆涂料	CHEM-000013	调和漆	颜色：白色；类型：调和漆		桶	白色调和油漆	needs_review	缺失规格：品牌；包装重量；整理依据：包装重量/品牌缺失，可能影响涂料SKU区分；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；调和漆属于涂料。；二级物料族人工预览：合并 -> 化工胶粘涂料/油漆涂料；置信度：高；判断：旧族“调和漆”是油漆、喷漆、乳胶漆或配套涂料，品牌、颜色、包装和用途应作为 SKU 属性，符合“油漆涂料”。；下一步：合并到“油漆涂料”，第三层保留“调和漆”，后续治理颜色、容量、类型、适用基材和品牌型号。
batch_002	化工胶粘涂料	油漆涂料	CHEM-000017	自喷漆	品牌：三和；颜色：灰色；类型：自喷漆		瓶	灰色三和喷漆	needs_review	缺失规格：容量；整理依据：容量缺失，可能影响自喷漆SKU区分；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；自喷漆为涂料类化工材料。；二级物料族人工预览：合并 -> 化工胶粘涂料/油漆涂料；置信度：高；判断：旧族“自喷漆”是油漆、喷漆、乳胶漆或配套涂料，品牌、颜色、包装和用途应作为 SKU 属性，符合“油漆涂料”。；下一步：合并到“油漆涂料”，第三层保留“自喷漆”，后续治理颜色、容量、类型、适用基材和品牌型号。
batch_002	化工胶粘涂料	油漆涂料	CHEM-000018	自喷漆	品牌：三和；颜色：黑色；类型：自喷漆		瓶	黑色三和喷漆	needs_review	缺失规格：容量；整理依据：容量缺失，可能影响自喷漆SKU区分；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；自喷漆为涂料类化工材料。；二级物料族人工预览：合并 -> 化工胶粘涂料/油漆涂料；置信度：高；判断：旧族“自喷漆”是油漆、喷漆、乳胶漆或配套涂料，品牌、颜色、包装和用途应作为 SKU 属性，符合“油漆涂料”。；下一步：合并到“油漆涂料”，第三层保留“自喷漆”，后续治理颜色、容量、类型、适用基材和品牌型号。
batch_002	化工胶粘涂料	油漆涂料	CHEM-000023	调和漆	颜色：黄色；类型：调和漆		桶	黄色调和漆	needs_review	缺失规格：品牌；包装重量；整理依据：包装重量/品牌缺失，影响涂料SKU区分；原提示提及可与历史同物料合并；导入口径：do_not_import_missing_specs；重分类：化工耗材/涂料 -> 化工胶粘涂料/涂料；分类置信度：high；调和漆属于涂料。；二级物料族人工预览：合并 -> 化工胶粘涂料/油漆涂料；置信度：高；判断：旧族“调和漆”是油漆、喷漆、乳胶漆或配套涂料，品牌、颜色、包装和用途应作为 SKU 属性，符合“油漆涂料”。；下一步：合并到“油漆涂料”，第三层保留“调和漆”，后续治理颜色、容量、类型、适用基材和品牌型号。
