batch_id	top_group	material_family	item_code	item_name	required_specs	optional_specs	stock_uom	aliases	quality_level	governance_note
batch_008	焊接切割	气体减压附件	PIPE-000172	氧气管接头	规格：8厘；适用气体：氧气		个	8厘氧气管接头	needs_review	缺失规格：材质；整理依据：材质/连接形式缺失，可能影响气管接头SKU区分；导入口径：do_not_import_missing_specs；重分类：焊割耗材/气管接头 -> 焊接切割/气瓶附件；分类置信度：high；氧气管接头为焊割气体管路附件。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：氧气管接头用于焊割氧气气路连接，属于气路附件。；下一步：合并到气体减压附件，第三层保留氧气管接头并补接口、适配管径、材质。
batch_008	焊接切割	气体减压附件	PIPE-000472	氧气软管	介质：氧气；类型：软管		卷	氧气管	needs_review	缺失规格：压力等级；长度；整理依据：内径/长度/压力等级缺失，无法区分气体软管SKU；导入口径：do_not_import_missing_specs；重分类：焊接工具/气体软管 -> 焊接切割/气瓶附件；分类置信度：high；氧气软管属于焊割气体附件。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：氧气软管用于焊割氧气气路输送，属于气路附件。；下一步：合并到气体减压附件，第三层保留氧气软管并补长度、内径、耐压、执行标准。
batch_008	焊接切割	气体减压附件	PIPE-000473	乙炔软管	介质：乙炔；类型：软管		卷	乙炔管	needs_review	缺失规格：压力等级；长度；整理依据：内径/长度/压力等级缺失，无法区分气体软管SKU；导入口径：do_not_import_missing_specs；重分类：焊接工具/气体软管 -> 焊接切割/气瓶附件；分类置信度：high；乙炔软管用于焊割气体连接，归气瓶附件。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：乙炔软管用于焊割乙炔气路输送，属于气路附件。；下一步：合并到气体减压附件，第三层保留乙炔软管并补长度、内径、耐压、执行标准。
batch_008	焊接切割	气体减压附件	PIPE-000476	气体软管卡箍	适配对象：氧气/乙炔管；类型：卡箍		只	氧气 乙炔管卡箍	needs_review	缺失规格：材质；整理依据：适配管径/材质缺失，无法区分卡箍SKU；导入口径：do_not_import_missing_specs；重分类：焊接工具/气体软管配件 -> 焊接切割/气瓶附件；分类置信度：medium；氧气乙炔管卡箍为焊割气体管路附件。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：气体软管卡箍用于焊割气路软管固定，属于气路附件。；下一步：合并到气体减压附件，第三层保留气体软管卡箍并补适配管径、材质、规格。
batch_008	焊接切割	气体减压附件	TOOL-000246	氩气减压表	介质：氩气；类型：减压表		只	氩气表	needs_review	缺失规格：量程；整理依据：量程/接口缺失，会影响氩气减压表SKU区分；导入口径：do_not_import_missing_specs；重分类：焊接工具/气体仪表 -> 焊接切割/气瓶附件；分类置信度：high；氩气减压表用于焊接保护气瓶。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：氩气减压表属于焊接保护气减压附件，目标气体减压附件承接。；下一步：合并到气体减压附件，第三层保留氩气减压表并补压力范围、接口规格。
batch_008	焊接切割	气体减压附件	TOOL-000333	二氧化碳减压阀总成	介质：二氧化碳；类型：减压阀总成		套	二氧化碳减压阀总成	needs_review	缺失规格：量程；整理依据：量程/接口/适配气瓶缺失，无法区分减压阀总成SKU；导入口径：do_not_import_missing_specs；重分类：焊接工具/气体仪表 -> 焊接切割/气瓶附件；分类置信度：high；二氧化碳减压阀总成属于焊接气瓶附件。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：二氧化碳减压阀总成是保护气减压附件，目标气体减压附件承接。；下一步：合并到气体减压附件，第三层保留二氧化碳减压阀总成并补压力范围、接口规格。
batch_008	焊接切割	气体减压附件	WELD-000015	二氧化碳减压表	适用气体：二氧化碳；类型：压力表/减压表		个	二氧化碳表	needs_review	缺失规格：量程；整理依据：量程/接口缺失，无法唯一确定二氧化碳减压表SKU；导入口径：do_not_import_missing_specs；重分类：焊接耗材/气体配件 -> 焊接切割/气瓶附件；分类置信度：high；二氧化碳减压表用于焊接气体系统，归气瓶附件。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：二氧化碳减压表属于焊接保护气减压附件，目标气体减压附件承接。；下一步：合并到气体减压附件，第三层保留二氧化碳减压表并补压力范围、接口规格。
batch_008	焊接切割	气体减压附件	WELD-000016	乙炔减压表	适用气体：乙炔；类型：压力表/减压表		个	乙炔表	needs_review	缺失规格：量程；整理依据：输入提示与其他记录同物料，量程/接口缺失，无法唯一确定乙炔减压表SKU；导入口径：do_not_import_missing_specs；重分类：焊接耗材/气体配件 -> 焊接切割/气瓶附件；分类置信度：high；乙炔减压表用于气瓶减压计量，归焊接切割气瓶附件。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：乙炔减压表属于焊割气体减压和压力显示附件，目标气体减压附件承接。；下一步：合并到气体减压附件，第三层保留乙炔减压表并补压力范围、接口规格。
batch_008	焊接切割	气体减压附件	WELD-000017	氧气减压表	适用气体：氧气；类型：压力表/减压表		个	氧气表	needs_review	缺失规格：量程；整理依据：量程/接口缺失，无法唯一确定氧气减压表SKU；导入口径：do_not_import_missing_specs；重分类：焊接耗材/气体配件 -> 焊接切割/气瓶附件；分类置信度：high；氧气减压表用于焊割气瓶减压。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：氧气减压表属于焊割气体减压和压力显示附件，目标气体减压附件承接。；下一步：合并到气体减压附件，第三层保留氧气减压表并补压力范围、接口规格。
batch_008	焊接切割	气体减压附件	WELD-000021	二氧化碳减压表	适用气体：二氧化碳		个	二氧化碳表	needs_review	缺失规格：规格；整理依据：压力范围/接口规格缺失，无法稳定区分减压表SKU；导入口径：do_not_import_missing_specs；重分类：焊割耗材/气体表具 -> 焊接切割/气瓶附件；分类置信度：high；二氧化碳减压表用于焊接气体系统，归气瓶附件。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：二氧化碳减压表属于焊接保护气减压附件，目标气体减压附件承接。；下一步：合并到气体减压附件，第三层保留二氧化碳减压表并补压力范围、接口规格。
batch_008	焊接切割	气体减压附件	WELD-000022	氧气减压表	适用气体：氧气		个	氧气表	needs_review	缺失规格：规格；整理依据：压力范围/接口规格缺失，无法稳定区分减压表SKU；导入口径：do_not_import_missing_specs；重分类：焊割耗材/气体表具 -> 焊接切割/气瓶附件；分类置信度：high；氧气减压表用于焊割气瓶减压。；二级物料族人工预览：合并 -> 焊接切割/气体减压附件；置信度：高；判断：氧气减压表属于焊割气体减压和压力显示附件，目标气体减压附件承接。；下一步：合并到气体减压附件，第三层保留氧气减压表并补压力范围、接口规格。
