batch_id	top_group	material_family	item_code	item_name	required_specs	optional_specs	stock_uom	aliases	quality_level	governance_note
batch_010	吊装索具	钢丝绳	METAL-000023	钢丝绳	直径：6mm		米	6MM钢丝绳	needs_review	缺失规格：强度等级；整理依据：结构/强度等级缺失，可能影响钢丝绳SKU区分；导入口径：do_not_import_missing_specs；二级物料族人工预览：保留 -> 吊装索具/钢丝绳；置信度：高；判断：当前旧族为钢丝绳本体，包含不锈钢钢丝绳等材质变体，目标二级族一致。；下一步：保留为钢丝绳，第三层补直径、结构、长度、破断拉力和表面处理。
batch_010	吊装索具	钢丝绳	METAL-000024	钢丝绳卡扣	适配直径：6mm		个	6MM钢丝绳扣子	needs_review	缺失规格：材质；整理依据：材质/形式缺失，可能影响钢丝绳卡扣SKU区分；导入口径：do_not_import_missing_specs；重分类：吊装索具/钢丝绳配件 -> 吊装索具/钢丝绳；分类置信度：high；钢丝绳卡扣是钢丝绳配件，归吊装索具。；二级物料族人工预览：合并 -> 吊装索具/钢丝绳；置信度：高；判断：钢丝绳夹是钢丝绳配套夹扣，目标钢丝绳二级族定义已包含钢丝绳夹。；下一步：合并到钢丝绳，第三层保留钢丝绳夹、钢丝绳卡扣、夹头等。
batch_010	吊装索具	钢丝绳	METAL-000036	钢丝绳	直径：16mm		米	16厘钢丝绳	needs_review	缺失规格：强度等级；整理依据：结构、强度等级缺失，无法区分钢丝绳SKU；导入口径：do_not_import_missing_specs；二级物料族人工预览：保留 -> 吊装索具/钢丝绳；置信度：高；判断：当前旧族为钢丝绳本体，包含不锈钢钢丝绳等材质变体，目标二级族一致。；下一步：保留为钢丝绳，第三层补直径、结构、长度、破断拉力和表面处理。
batch_010	吊装索具	钢丝绳	METAL-000037	钢丝绳夹头	规格：M10		个	M10钢丝绳夹头	usable	缺失规格：材质；直径；整理依据：适配钢丝绳直径/材质缺失；导入口径：confirm_then_import；重分类：吊装索具/钢丝绳配件 -> 吊装索具/钢丝绳；分类置信度：high；夹头是钢丝绳端部固定配件。；二级物料族人工预览：合并 -> 吊装索具/钢丝绳；置信度：高；判断：钢丝绳夹是钢丝绳配套夹扣，目标钢丝绳二级族定义已包含钢丝绳夹。；下一步：合并到钢丝绳，第三层保留钢丝绳夹、钢丝绳卡扣、夹头等。
batch_010	吊装索具	钢丝绳	METAL-000042	钢丝绳铝扣	材质：铝；用途：钢丝绳扣压		个	钢丝绳铝扣	needs_review	缺失规格：直径；整理依据：适配钢丝绳直径缺失，无法区分铝扣SKU；导入口径：do_not_import_missing_specs；重分类：吊装索具/钢丝绳配件 -> 吊装索具/钢丝绳；分类置信度：high；铝扣用于钢丝绳扣压成套。；二级物料族人工预览：合并 -> 吊装索具/钢丝绳；置信度：高；判断：钢丝绳铝扣是钢丝绳扣压配套件，目标钢丝绳族可承接。；下一步：合并到钢丝绳，第三层保留钢丝绳铝扣并补适配直径、材质、扣压方式。
batch_010	吊装索具	钢丝绳	METAL-000049	不锈钢钢丝绳	材质：不锈钢		米	不锈钢钢丝绳	needs_review	缺失规格：直径；整理依据：直径/结构缺失，无法区分不锈钢钢丝绳SKU；导入口径：do_not_import_missing_specs；二级物料族人工预览：保留 -> 吊装索具/钢丝绳；置信度：高；判断：当前旧族为钢丝绳本体，包含不锈钢钢丝绳等材质变体，目标二级族一致。；下一步：保留为钢丝绳，第三层补直径、结构、长度、破断拉力和表面处理。
batch_010	吊装索具	钢丝绳	METAL-000091	钢丝绳	直径：10厘		米	10厘钢丝绳	needs_review	缺失规格：强度等级；整理依据：结构、强度等级缺失，无法区分钢丝绳SKU；导入口径：do_not_import_missing_specs；二级物料族人工预览：保留 -> 吊装索具/钢丝绳；置信度：高；判断：当前旧族为钢丝绳本体，包含不锈钢钢丝绳等材质变体，目标二级族一致。；下一步：保留为钢丝绳，第三层补直径、结构、长度、破断拉力和表面处理。
batch_010	吊装索具	钢丝绳	METAL-000092	钢丝绳夹	规格：10厘		个	10厘卡扣；钢丝绳卡扣	needs_review	缺失规格：材质；整理依据：由卡扣归一为钢丝绳夹；材质、标准缺失；导入口径：do_not_import_missing_specs；重分类：吊装索具/钢丝绳夹 -> 吊装索具/钢丝绳；分类置信度：high；钢丝绳夹用于固定钢丝绳端头。；二级物料族人工预览：合并 -> 吊装索具/钢丝绳；置信度：高；判断：钢丝绳夹是钢丝绳配套夹扣，目标钢丝绳二级族定义已包含钢丝绳夹。；下一步：合并到钢丝绳，第三层保留钢丝绳夹、钢丝绳卡扣、夹头等。
batch_010	吊装索具	钢丝绳	METAL-000093	钢丝绳	规格：50；长度：6米		根	50*6米钢丝绳	needs_review	缺失规格：强度等级；整理依据：规格50未说明单位，结构、强度等级缺失；导入口径：do_not_import_missing_specs；二级物料族人工预览：保留 -> 吊装索具/钢丝绳；置信度：高；判断：当前旧族为钢丝绳本体，包含不锈钢钢丝绳等材质变体，目标二级族一致。；下一步：保留为钢丝绳，第三层补直径、结构、长度、破断拉力和表面处理。
batch_010	吊装索具	钢丝绳	METAL-000095	钢丝绳	定制：是；规格：50；长度：4米		根	定做50*4米钢丝绳	needs_review	缺失规格：直径；整理依据：定制件直径单位/结构/强度/证书缺失，无法唯一确定钢丝绳SKU；导入口径：do_not_import_missing_specs；重分类：定制件/吊装索具 -> 吊装索具/钢丝绳；分类置信度：high；样例均为吊装用钢丝绳或扣压长度，定制只影响规格。；二级物料族人工预览：保留 -> 吊装索具/钢丝绳；置信度：高；判断：当前旧族为钢丝绳本体，包含不锈钢钢丝绳等材质变体，目标二级族一致。；下一步：保留为钢丝绳，第三层补直径、结构、长度、破断拉力和表面处理。
